backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.129643,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.131641,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.136532,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.144287,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.148514,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.222126,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.199682,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.133967,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.129918,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.120854,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.137313,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.130576,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.135675,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.128786,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.122846,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.128052,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.133602,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.156653,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.128941,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.125836,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.139782,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.12536,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.119301,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.124416,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.120052,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.117331,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.118735,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.135329,1425
GKO,omp,CG,BiCGStab,BJ,0,1,0.589143,2.130885,1425
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.505394,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.518248,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.511413,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.418143,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.41383,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.424894,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.522493,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.435075,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.427879,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.525619,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.520704,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.418516,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.435477,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.524153,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.514645,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.50649,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.507788,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.507474,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.514317,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.502027,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.532016,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.528687,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.522233,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.406309,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.512162,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.419442,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.512623,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.426634,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.50326,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.427746,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.441753,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.533581,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.415448,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.502423,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.422583,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.510376,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.49353,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.502868,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.421538,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.437076,1424
GKO,omp,CG,BiCGStab,BJ,0,2,0.474811,1.518614,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.074194,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.098607,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.088375,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.094959,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.109929,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.099582,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.09015,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.089426,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.090276,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.093195,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.080071,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.105578,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.099057,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.104435,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.100889,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.097937,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.098072,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.09731,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.091459,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.098426,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.101065,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.086796,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.081792,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.094855,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.106502,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.095713,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.086279,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.09436,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.096875,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.084378,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.100043,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.093471,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.097751,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.114929,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.102101,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.099025,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.099224,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.091472,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.090386,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.090817,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.094406,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.101412,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.098639,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.090692,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.099089,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.100721,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.097011,1424
GKO,omp,CG,BiCGStab,BJ,0,4,0.410463,1.102759,1424
