backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.523236,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.568749,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.55312,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.554306,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.561477,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.537933,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.543425,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.536222,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.558806,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.55823,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.541791,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.556439,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.548238,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.552069,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.562826,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.554082,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.552721,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.547425,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.555976,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.556047,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.554855,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.543459,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.550847,4805
GKO,omp,CG,BiCGStab,none,0,1,0.707944,2.562126,4805
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.187616,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.209056,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.21103,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.898715,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.925958,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.222214,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.238757,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.903755,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.240326,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.249735,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.90246,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.223826,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.934756,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.235331,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.247656,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.244804,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.233071,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.917186,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.267431,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.264105,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.893902,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.896562,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.275894,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.207548,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.202379,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.255088,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.89917,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,2.229079,4802
GKO,omp,CG,BiCGStab,none,0,2,0.585562,1.908372,4802
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.840471,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.85097,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.861587,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.804313,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.845093,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.839355,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.815968,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.83485,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.846621,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.881487,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.836016,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.842213,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.867229,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.848294,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.863105,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.852659,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.843691,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.843375,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.825569,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.872949,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.832526,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.820254,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.859279,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.849242,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.758581,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.754483,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.72964,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.852423,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.82894,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.83407,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.841918,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.848229,4776
GKO,omp,CG,BiCGStab,none,0,4,0.527943,1.856409,4776
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.709982,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.788834,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.797882,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.810171,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.768937,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.776945,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.771003,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.795723,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.744871,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.730382,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.730948,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.790963,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.770328,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.819758,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.76702,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.8157,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.80463,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.767068,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.78822,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.791617,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.789273,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.743238,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.772943,4811
GKO,omp,CG,BiCGStab,none,0,8,0.515846,1.777858,4811
