backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.564649,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.57591,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.511645,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.528265,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.530469,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.549554,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.549306,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.553045,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.557589,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.550147,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.546633,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.537468,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.545532,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.554454,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.542847,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.53878,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.550166,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.549657,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.540117,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.553887,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.554758,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.540969,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.554592,4805
GKO,omp,CG,BiCGStab,none,0,1,0.737039,2.585448,4805
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.224399,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.913282,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.282701,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.923568,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.230413,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.938493,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.261211,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.161528,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.430429,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.25228,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.192709,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.928496,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.909585,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.217053,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.220525,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.213989,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.221845,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.953308,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.234557,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.934093,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.932306,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.226027,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.196173,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.253781,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.240617,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.236247,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,1.935539,4802
GKO,omp,CG,BiCGStab,none,0,2,0.581513,2.34291,4802
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.863201,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.868261,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.810279,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.761169,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.830349,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.840788,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.855097,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.850349,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.820384,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.815552,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.801753,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.851816,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.905511,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.924301,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.79579,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.862068,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.846775,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.826425,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.827037,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.844474,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.848791,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.831087,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.814095,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.813823,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.830309,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.850794,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.876871,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.851997,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.846532,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.865365,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.737214,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.84718,4778
GKO,omp,CG,BiCGStab,none,0,4,0.532963,1.828109,4778
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.733948,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.7636,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.716388,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.702837,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.795474,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.721401,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.705772,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.70935,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.727919,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.719488,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.705184,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.697259,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.695349,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.778557,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.710454,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.790521,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.722113,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.706864,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.720429,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.73971,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.781048,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.762661,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.74826,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.775611,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.748446,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.783152,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.761048,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.770117,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.700019,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.813328,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.73604,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.758217,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.749315,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.765895,4802
GKO,omp,CG,BiCGStab,none,0,8,0.508816,1.739075,4802
GKO,omp,CG,BiCGStab,none,0,16,0.530786,1.807758,4809
GKO,omp,CG,BiCGStab,none,0,16,0.530786,1.821074,4809
