backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.234,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.258294,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.277469,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.278876,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.263306,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.260497,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.256727,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.251799,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.258332,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.258522,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.248559,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.255567,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.257392,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.267491,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.253341,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.256935,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.252762,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.263857,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.249268,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.258822,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.258841,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.259095,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.261017,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.254162,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.245776,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.255044,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.254645,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.256553,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.257429,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.256672,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.254434,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.25319,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.244651,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.255869,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.253176,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.257375,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.25488,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.254147,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.251207,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.251886,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.256567,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.260917,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.261261,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.259432,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.253008,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.255372,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.255831,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.424158,1.254971,4990
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.302482,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.300251,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.301787,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.292932,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.301235,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.313602,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.302783,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.292598,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.290479,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.300849,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.29345,4953
OF,reference,BiCGStab,BiCGStab,none,1,1,1.34477,5.304355,4953
OF,reference,BiCGStab,BiCGStab,none,2,1,5.942354,26.304328,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,5.942354,26.459172,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,5.942354,26.543233,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,5.942354,26.433909,4833
OF,reference,BiCGStab,BiCGStab,none,2,1,5.942354,26.460386,4833
OF,reference,BiCGStab,BiCGStab,none,3,1,28.658153,133.868548,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,28.658153,133.287954,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,28.658153,134.011606,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,28.658153,133.352532,4792
OF,reference,BiCGStab,BiCGStab,none,3,1,28.658153,133.271953,4792
