backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.253964,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.277621,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.271926,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.272592,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.270055,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.278428,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.262245,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.273083,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.262226,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.272902,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.263228,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.263233,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.257978,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.275459,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.269724,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.267839,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.259066,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.245738,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.247106,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.248215,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.255304,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.270574,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.255863,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.242073,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.251784,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.247951,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.261711,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.270056,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.272961,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.268152,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.270371,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.274103,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.257535,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.26573,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.270701,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.272825,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.282536,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.273877,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.27706,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.250166,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.272418,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.268898,4990
OF,reference,BiCGStab,BiCGStab,none,0,1,0.45463,1.264508,4990
