backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.869679,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.857189,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.867094,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.869234,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.853915,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.864864,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.851821,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.866775,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.864304,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.866448,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.86693,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.852943,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.84727,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.857765,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.8647,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.851472,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.847397,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.840916,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.854401,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.859904,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.850748,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.851255,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.86717,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.870269,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.865483,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.867234,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.854385,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.870917,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.856488,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.865331,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.851955,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.870086,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.871648,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.857015,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.864797,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.852759,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.86511,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.869416,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.86726,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.862409,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.849191,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.848587,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.860561,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.852806,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.86716,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.865245,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.855973,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.847681,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.841405,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.850623,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.854349,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.848501,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.859471,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.866988,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.864273,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.86643,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.868551,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.854785,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.862894,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.856456,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.869881,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.856103,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.864074,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.863884,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.852992,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.866079,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.857558,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.881107,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.870549,4987
OF,reference,CG,BiCGStab,none,0,1,0.358977,0.861709,4987
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.301972,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.378876,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.364633,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.316512,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.333949,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.273635,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.329603,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.345111,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.346766,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.317866,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.385984,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.370891,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.37894,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.364203,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.374259,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.375243,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.374587,4956
OF,reference,CG,BiCGStab,none,1,1,0.914938,3.319863,4956
OF,reference,CG,BiCGStab,none,2,1,3.793013,16.418685,4892
OF,reference,CG,BiCGStab,none,2,1,3.793013,15.983107,4892
OF,reference,CG,BiCGStab,none,2,1,3.793013,16.051409,4892
OF,reference,CG,BiCGStab,none,2,1,3.793013,16.010833,4892
OF,reference,CG,BiCGStab,none,2,1,3.793013,16.400984,4892
OF,reference,CG,BiCGStab,none,3,1,17.457049,78.296272,4863
OF,reference,CG,BiCGStab,none,3,1,17.457049,79.718345,4863
OF,reference,CG,BiCGStab,none,3,1,17.457049,80.773185,4863
OF,reference,CG,BiCGStab,none,3,1,17.457049,78.300915,4863
OF,reference,CG,BiCGStab,none,3,1,17.457049,78.364994,4863
