backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.865823,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.892512,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.862528,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.87595,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864435,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.862152,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.850562,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.85115,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.855643,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861564,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861699,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.853459,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.851969,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.851574,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860708,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.859236,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.858175,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.869278,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860683,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.8659,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864838,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860049,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.85998,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.858366,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860131,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.862926,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861396,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.854292,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861128,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860084,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861111,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.85713,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.868685,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.86239,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.865671,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864283,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.858952,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864367,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.859306,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.854984,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860223,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.865987,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.855614,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.848093,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.856784,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861749,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.859648,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860971,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.865194,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.867014,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.865131,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.858108,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860738,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861351,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.863554,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.860245,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.859242,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864697,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.861228,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.858792,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.862508,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864687,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.857873,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.864553,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.868628,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.86954,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.858551,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.867463,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.857952,4987
OF,reference,CG,BiCGStab,none,0,1,0.390381,0.870219,4987
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.317351,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.30159,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.329526,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.339128,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.335379,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.328834,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.37634,4956
OF,reference,CG,BiCGStab,none,1,1,0.908766,3.309976,4956
