backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BJ,0,1,1.479699,1.88069,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.590714,1500
GKO,cuda,CG,BJ,0,1,1.479699,2.647167,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.52986,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.538367,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.839352,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.589085,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.63379,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.550122,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.58549,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.655088,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.544106,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.679756,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.622641,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.883429,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.53677,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.557139,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.546683,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.665149,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.535158,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.721723,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.551402,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.681183,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.903666,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.579802,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.552127,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.535644,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.911013,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.548401,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.829084,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.560041,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.567595,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.555678,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.53875,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.623879,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.555493,1500
GKO,cuda,CG,BJ,0,1,1.479699,1.913471,1500
GKO,cuda,CG,BJ,1,1,1.768126,2.606647,3984
GKO,cuda,CG,BJ,1,1,1.768126,3.03614,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.920083,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.75481,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.650615,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.631246,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.605002,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.851766,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.643909,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.781382,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.623398,3984
GKO,cuda,CG,BJ,1,1,1.768126,3.133867,3984
GKO,cuda,CG,BJ,1,1,1.768126,3.080202,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.640216,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.62207,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.61892,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.817474,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.631344,3984
GKO,cuda,CG,BJ,1,1,1.768126,3.108478,3984
GKO,cuda,CG,BJ,1,1,1.768126,3.098478,3984
GKO,cuda,CG,BJ,1,1,1.768126,3.230173,3984
GKO,cuda,CG,BJ,1,1,1.768126,2.631306,3984
GKO,cuda,CG,BJ,2,1,4.413138,6.551962,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.749256,4000
GKO,cuda,CG,BJ,2,1,4.413138,7.42865,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.571504,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.536982,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.557277,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.541022,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.535294,4000
GKO,cuda,CG,BJ,2,1,4.413138,6.627075,4000
GKO,cuda,CG,BJ,3,1,13.214248,23.11122,4000
GKO,cuda,CG,BJ,3,1,13.214248,22.877185,4000
GKO,cuda,CG,BJ,3,1,13.214248,23.410922,4000
GKO,cuda,CG,BJ,3,1,13.214248,23.534428,4000
GKO,cuda,CG,BJ,3,1,13.214248,23.64459,4000
