backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.606076,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.609362,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.606757,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.601618,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.61087,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.610592,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.608115,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.607254,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.613908,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.610378,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.612386,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.61761,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.606485,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.612621,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.599207,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.604876,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.62269,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.605732,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.609285,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.604301,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.602322,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.603874,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.605229,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.607396,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.603141,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.606428,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.599731,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.60451,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.615693,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.600393,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.604045,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.59496,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.608488,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.611925,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.6033,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.615993,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.604163,1021
GKO,cuda,BiCGStab,BJ,0,1,1.224632,1.608373,1021
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.118178,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.112253,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.11572,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.110092,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.103062,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.112948,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.119749,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.127638,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.109249,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.117182,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.109801,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.106783,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.114661,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.108132,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.100704,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.12778,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.122385,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.107948,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.1317,3464
GKO,cuda,BiCGStab,BJ,1,1,1.792948,3.12362,3464
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.41202,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.371877,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.30008,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.229913,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.332181,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.20226,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.303094,4000
GKO,cuda,BiCGStab,BJ,2,1,4.172292,8.406092,4000
GKO,cuda,BiCGStab,BJ,3,1,13.78123,27.828749,4000
GKO,cuda,BiCGStab,BJ,3,1,13.78123,28.107739,4000
GKO,cuda,BiCGStab,BJ,3,1,13.78123,27.762857,4000
GKO,cuda,BiCGStab,BJ,3,1,13.78123,27.979986,4000
GKO,cuda,BiCGStab,BJ,3,1,13.78123,28.022176,4000
