backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,none,0,1,1.481871,2.725499,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.724289,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.727,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.717504,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.71637,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.717131,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.733125,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.727191,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.7286,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.717805,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.708434,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.7198,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.725098,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.719023,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.717672,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.714942,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.728566,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.734482,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.718095,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.714216,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.724563,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.709958,3973
GKO,cuda,BiCGStab,none,0,1,1.481871,2.717355,3973
GKO,cuda,BiCGStab,none,1,1,1.887869,3.329983,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.352464,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.358049,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.343006,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.323894,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.509536,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.348164,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.33177,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.327642,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.331029,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.334903,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.338698,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.345742,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.336597,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.351959,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.325122,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.359453,4000
GKO,cuda,BiCGStab,none,1,1,1.887869,3.350678,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.903695,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.861047,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.890121,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.990855,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,8.006529,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.959822,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.970914,4000
GKO,cuda,BiCGStab,none,2,1,4.080444,7.851822,4000
GKO,cuda,BiCGStab,none,3,1,13.432835,26.502813,4000
GKO,cuda,BiCGStab,none,3,1,13.432835,26.263769,4000
GKO,cuda,BiCGStab,none,3,1,13.432835,26.49043,4000
GKO,cuda,BiCGStab,none,3,1,13.432835,26.529667,4000
GKO,cuda,BiCGStab,none,3,1,13.432835,26.454787,4000
