backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,CG,none,0,1,1.334642,2.001932,4000
GKO,cuda,CG,none,0,1,1.334642,2.015839,4000
GKO,cuda,CG,none,0,1,1.334642,2.001913,4000
GKO,cuda,CG,none,0,1,1.334642,2.008088,4000
GKO,cuda,CG,none,0,1,1.334642,2.017579,4000
GKO,cuda,CG,none,0,1,1.334642,2.012574,4000
GKO,cuda,CG,none,0,1,1.334642,2.006843,4000
GKO,cuda,CG,none,0,1,1.334642,2.009937,4000
GKO,cuda,CG,none,0,1,1.334642,2.018444,4000
GKO,cuda,CG,none,0,1,1.334642,2.011313,4000
GKO,cuda,CG,none,0,1,1.334642,2.014053,4000
GKO,cuda,CG,none,0,1,1.334642,2.010873,4000
GKO,cuda,CG,none,0,1,1.334642,2.005121,4000
GKO,cuda,CG,none,0,1,1.334642,2.01346,4000
GKO,cuda,CG,none,0,1,1.334642,1.993555,4000
GKO,cuda,CG,none,0,1,1.334642,1.998488,4000
GKO,cuda,CG,none,0,1,1.334642,1.993285,4000
GKO,cuda,CG,none,0,1,1.334642,1.992167,4000
GKO,cuda,CG,none,0,1,1.334642,1.993006,4000
GKO,cuda,CG,none,0,1,1.334642,1.999163,4000
GKO,cuda,CG,none,0,1,1.334642,2.008801,4000
GKO,cuda,CG,none,0,1,1.334642,2.002128,4000
GKO,cuda,CG,none,0,1,1.334642,2.003585,4000
GKO,cuda,CG,none,0,1,1.334642,1.997123,4000
GKO,cuda,CG,none,0,1,1.334642,2.004723,4000
GKO,cuda,CG,none,0,1,1.334642,1.997573,4000
GKO,cuda,CG,none,0,1,1.334642,2.005797,4000
GKO,cuda,CG,none,0,1,1.334642,2.005804,4000
GKO,cuda,CG,none,0,1,1.334642,2.001072,4000
GKO,cuda,CG,none,0,1,1.334642,2.000616,4000
GKO,cuda,CG,none,1,1,1.731917,2.613017,4000
GKO,cuda,CG,none,1,1,1.731917,2.599682,4000
GKO,cuda,CG,none,1,1,1.731917,2.614224,4000
GKO,cuda,CG,none,1,1,1.731917,2.6011,4000
GKO,cuda,CG,none,1,1,1.731917,2.604026,4000
GKO,cuda,CG,none,1,1,1.731917,2.60679,4000
GKO,cuda,CG,none,1,1,1.731917,2.598396,4000
GKO,cuda,CG,none,1,1,1.731917,2.61406,4000
GKO,cuda,CG,none,1,1,1.731917,2.603255,4000
GKO,cuda,CG,none,1,1,1.731917,2.601421,4000
GKO,cuda,CG,none,1,1,1.731917,2.615653,4000
GKO,cuda,CG,none,1,1,1.731917,2.598023,4000
GKO,cuda,CG,none,1,1,1.731917,2.616976,4000
GKO,cuda,CG,none,1,1,1.731917,2.605623,4000
GKO,cuda,CG,none,1,1,1.731917,2.606443,4000
GKO,cuda,CG,none,1,1,1.731917,2.601534,4000
GKO,cuda,CG,none,1,1,1.731917,2.60449,4000
GKO,cuda,CG,none,1,1,1.731917,2.61371,4000
GKO,cuda,CG,none,1,1,1.731917,2.609814,4000
GKO,cuda,CG,none,1,1,1.731917,2.602279,4000
GKO,cuda,CG,none,1,1,1.731917,2.606694,4000
GKO,cuda,CG,none,1,1,1.731917,2.604297,4000
GKO,cuda,CG,none,1,1,1.731917,2.619909,4000
GKO,cuda,CG,none,1,1,1.731917,2.600439,4000
GKO,cuda,CG,none,2,1,3.769483,6.259446,4000
GKO,cuda,CG,none,2,1,3.769483,6.269119,4000
GKO,cuda,CG,none,2,1,3.769483,6.325568,4000
GKO,cuda,CG,none,2,1,3.769483,6.327679,4000
GKO,cuda,CG,none,2,1,3.769483,6.265733,4000
GKO,cuda,CG,none,2,1,3.769483,6.306284,4000
GKO,cuda,CG,none,2,1,3.769483,6.26621,4000
GKO,cuda,CG,none,2,1,3.769483,6.277903,4000
GKO,cuda,CG,none,2,1,3.769483,6.273929,4000
GKO,cuda,CG,none,2,1,3.769483,6.304415,4000
GKO,cuda,CG,none,3,1,12.674821,22.485065,4000
GKO,cuda,CG,none,3,1,12.674821,22.489755,4000
GKO,cuda,CG,none,3,1,12.674821,22.504377,4000
GKO,cuda,CG,none,3,1,12.674821,22.225114,4000
GKO,cuda,CG,none,3,1,12.674821,22.223624,4000
