backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,IR,none,0,1,1.408292,2.381192,8
GKO,cuda,IR,none,0,1,1.408292,2.366215,8
GKO,cuda,IR,none,0,1,1.408292,2.369816,8
GKO,cuda,IR,none,0,1,1.408292,2.370161,8
GKO,cuda,IR,none,0,1,1.408292,2.365784,8
GKO,cuda,IR,none,0,1,1.408292,2.361484,8
GKO,cuda,IR,none,0,1,1.408292,2.375574,8
GKO,cuda,IR,none,0,1,1.408292,2.361048,8
GKO,cuda,IR,none,0,1,1.408292,2.375963,8
GKO,cuda,IR,none,0,1,1.408292,2.377735,8
GKO,cuda,IR,none,0,1,1.408292,2.361151,8
GKO,cuda,IR,none,0,1,1.408292,2.367767,8
GKO,cuda,IR,none,0,1,1.408292,2.363707,8
GKO,cuda,IR,none,0,1,1.408292,2.370315,8
GKO,cuda,IR,none,0,1,1.408292,2.371639,8
GKO,cuda,IR,none,0,1,1.408292,2.369631,8
GKO,cuda,IR,none,0,1,1.408292,2.372206,8
GKO,cuda,IR,none,0,1,1.408292,2.379916,8
GKO,cuda,IR,none,0,1,1.408292,2.360379,8
GKO,cuda,IR,none,0,1,1.408292,2.373338,8
GKO,cuda,IR,none,0,1,1.408292,2.376416,8
GKO,cuda,IR,none,0,1,1.408292,2.364882,8
GKO,cuda,IR,none,0,1,1.408292,2.361789,8
GKO,cuda,IR,none,0,1,1.408292,2.372987,8
GKO,cuda,IR,none,0,1,1.408292,2.377093,8
GKO,cuda,IR,none,0,1,1.408292,2.373255,8
GKO,cuda,IR,none,1,1,2.063046,4.088052,8
GKO,cuda,IR,none,1,1,2.063046,4.075687,8
GKO,cuda,IR,none,1,1,2.063046,4.089466,8
GKO,cuda,IR,none,1,1,2.063046,4.087898,8
GKO,cuda,IR,none,1,1,2.063046,4.079768,8
GKO,cuda,IR,none,1,1,2.063046,4.098072,8
GKO,cuda,IR,none,1,1,2.063046,4.085318,8
GKO,cuda,IR,none,1,1,2.063046,4.093284,8
GKO,cuda,IR,none,1,1,2.063046,4.092646,8
GKO,cuda,IR,none,1,1,2.063046,4.08037,8
GKO,cuda,IR,none,1,1,2.063046,4.094228,8
GKO,cuda,IR,none,1,1,2.063046,4.086509,8
GKO,cuda,IR,none,1,1,2.063046,4.08888,8
GKO,cuda,IR,none,1,1,2.063046,4.091167,8
GKO,cuda,IR,none,1,1,2.063046,4.082744,8
GKO,cuda,IR,none,2,1,5.190233,11.093776,9
GKO,cuda,IR,none,2,1,5.190233,11.101519,9
GKO,cuda,IR,none,2,1,5.190233,11.046003,9
GKO,cuda,IR,none,2,1,5.190233,11.082767,9
GKO,cuda,IR,none,2,1,5.190233,11.070184,9
GKO,cuda,IR,none,2,1,5.190233,11.082136,9
GKO,cuda,IR,none,3,1,22.169262,55.026007,9
GKO,cuda,IR,none,3,1,22.169262,55.497546,9
GKO,cuda,IR,none,3,1,22.169262,55.106069,9
GKO,cuda,IR,none,3,1,22.169262,55.156212,9
GKO,cuda,IR,none,3,1,22.169262,58.416976,9
