backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,IR,none,0,1,1.391571,2.378564,8
GKO,cuda,IR,none,0,1,1.391571,2.375736,8
GKO,cuda,IR,none,0,1,1.391571,2.36694,8
GKO,cuda,IR,none,0,1,1.391571,2.363181,8
GKO,cuda,IR,none,0,1,1.391571,2.331328,8
GKO,cuda,IR,none,0,1,1.391571,2.355336,8
GKO,cuda,IR,none,0,1,1.391571,2.372942,8
GKO,cuda,IR,none,0,1,1.391571,2.384881,8
GKO,cuda,IR,none,0,1,1.391571,2.340773,8
GKO,cuda,IR,none,0,1,1.391571,2.338026,8
GKO,cuda,IR,none,0,1,1.391571,2.346297,8
GKO,cuda,IR,none,0,1,1.391571,2.337287,8
GKO,cuda,IR,none,0,1,1.391571,2.343922,8
GKO,cuda,IR,none,0,1,1.391571,2.339512,8
GKO,cuda,IR,none,0,1,1.391571,2.377484,8
GKO,cuda,IR,none,0,1,1.391571,2.35235,8
GKO,cuda,IR,none,0,1,1.391571,2.358838,8
GKO,cuda,IR,none,0,1,1.391571,2.336087,8
GKO,cuda,IR,none,0,1,1.391571,2.340069,8
GKO,cuda,IR,none,0,1,1.391571,2.37794,8
GKO,cuda,IR,none,0,1,1.391571,2.33635,8
GKO,cuda,IR,none,0,1,1.391571,2.417812,8
GKO,cuda,IR,none,0,1,1.391571,2.326951,8
GKO,cuda,IR,none,0,1,1.391571,2.339984,8
GKO,cuda,IR,none,0,1,1.391571,2.342305,8
GKO,cuda,IR,none,0,1,1.391571,2.327627,8
GKO,cuda,IR,none,1,1,2.004044,4.05639,8
GKO,cuda,IR,none,1,1,2.004044,4.03719,8
GKO,cuda,IR,none,1,1,2.004044,4.030554,8
GKO,cuda,IR,none,1,1,2.004044,4.075187,8
GKO,cuda,IR,none,1,1,2.004044,4.123663,8
GKO,cuda,IR,none,1,1,2.004044,4.078382,8
GKO,cuda,IR,none,1,1,2.004044,4.036708,8
GKO,cuda,IR,none,1,1,2.004044,4.039966,8
GKO,cuda,IR,none,1,1,2.004044,4.04122,8
GKO,cuda,IR,none,1,1,2.004044,4.038856,8
GKO,cuda,IR,none,1,1,2.004044,4.032699,8
GKO,cuda,IR,none,1,1,2.004044,4.106085,8
GKO,cuda,IR,none,1,1,2.004044,4.050342,8
GKO,cuda,IR,none,1,1,2.004044,4.033748,8
GKO,cuda,IR,none,1,1,2.004044,4.026441,8
GKO,cuda,IR,none,2,1,5.143864,10.944548,9
GKO,cuda,IR,none,2,1,5.143864,11.004655,9
GKO,cuda,IR,none,2,1,5.143864,10.936516,9
GKO,cuda,IR,none,2,1,5.143864,10.955836,9
GKO,cuda,IR,none,2,1,5.143864,10.998224,9
GKO,cuda,IR,none,2,1,5.143864,10.953444,9
GKO,cuda,IR,none,3,1,21.992977,54.91357,9
GKO,cuda,IR,none,3,1,21.992977,54.845837,9
GKO,cuda,IR,none,3,1,21.992977,54.625637,9
GKO,cuda,IR,none,3,1,21.992977,54.72667,9
GKO,cuda,IR,none,3,1,21.992977,54.782028,9
