backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.695769,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.66746,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.634964,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.638713,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.676489,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.692823,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.695432,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.698828,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.695747,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.684149,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.697173,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.625849,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.614106,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.699096,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.706021,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.697329,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.695381,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.692424,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.706237,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.702865,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.701608,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.685546,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.68872,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.694292,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.68731,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.689243,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.697454,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.694753,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.687965,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.681812,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.686364,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.69166,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.683898,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.677632,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.721662,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.28867,1.691477,833
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.22449,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.351902,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.329284,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.339606,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.350697,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.32942,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.346114,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.305013,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.339907,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.34833,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.358394,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.352196,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.351789,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.265438,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.241319,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.328893,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.402261,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.337536,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.830898,3.35594,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.324622,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.197709,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.349541,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.352059,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.345944,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.294795,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.471375,9.264815,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.363232,31.829507,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.363232,31.732738,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.363232,31.656227,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.363232,31.743291,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.363232,32.019347,4080
