backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.618223,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.627146,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.614824,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.62519,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.616079,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.605776,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.610355,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.620816,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.613391,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.616092,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.604275,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.622015,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.602732,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.624743,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.618845,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.617561,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.618528,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.623234,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.610426,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.621912,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.616389,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.616035,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.623858,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.615289,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.615706,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.621241,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.620573,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.617334,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.619638,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.617396,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.616713,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.606626,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.624249,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.609638,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.611812,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.620004,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.616491,833
GKO,cuda,BiCGStab,BiCGStab,BJ,0,1,1.241841,1.61472,833
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.187457,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.153821,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.179665,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.17575,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.185827,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.178269,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.157113,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.179146,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.16691,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.190081,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.190758,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.169535,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.151987,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.190897,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.160209,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.179129,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.180687,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,3.306682,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,1,1,1.748352,20.059226,2869
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.268537,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.254654,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.368526,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.496138,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.551508,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.55144,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,2,1,4.501438,9.532964,3909
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.472066,32.30848,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.472066,32.358139,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.472066,32.191333,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.472066,32.325541,4080
GKO,cuda,BiCGStab,BiCGStab,BJ,3,1,15.472066,32.47923,4080
