backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.218823,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.231684,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.206399,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.215975,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.216245,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.223632,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.258781,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.255162,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.274967,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.226885,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.158226,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.218987,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.209821,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.259574,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.262104,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.247848,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.242976,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.260039,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.555806,3.234026,4731
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.083402,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.064869,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,3.920601,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.041175,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.06549,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.065914,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.041855,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.879399,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.075037,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.027356,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.044594,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.039551,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.047712,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,3.967815,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,2.081284,4.007729,4823
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,9.679493,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,9.654446,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,9.817641,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,9.595189,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,9.613589,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,10.131636,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.560652,9.936953,4758
GKO,cuda,BiCGStab,BiCGStab,none,3,1,15.039267,31.708305,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,15.039267,31.84519,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,15.039267,31.918801,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,15.039267,31.831751,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,15.039267,31.834495,4725
