backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.102224,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.081971,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.085348,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.078819,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.107645,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.06327,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.111191,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.094574,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.071443,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.075936,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.08516,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.06519,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.073999,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.073723,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.071251,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.095612,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.073159,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.082927,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.070943,4731
GKO,cuda,BiCGStab,BiCGStab,none,0,1,1.520884,3.074495,4731
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.871196,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.863897,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.855562,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.852477,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.834425,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.85692,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.863626,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.860315,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.875927,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.873184,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.86006,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.860748,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.850295,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.859704,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.869311,4823
GKO,cuda,BiCGStab,BiCGStab,none,1,1,1.963958,3.861781,4823
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.29384,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.514503,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.269383,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.313044,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.520117,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.5132,4758
GKO,cuda,BiCGStab,BiCGStab,none,2,1,4.350116,9.394814,4758
GKO,cuda,BiCGStab,BiCGStab,none,3,1,14.212096,30.817856,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,14.212096,30.912702,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,14.212096,30.748425,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,14.212096,30.795612,4725
GKO,cuda,BiCGStab,BiCGStab,none,3,1,14.212096,30.644026,4725
