backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.614028,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.600435,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.606518,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.604607,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.946876,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.643453,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.72381,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.606659,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.603696,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,2.001673,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,2.001738,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.818955,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.618839,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.839489,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.627967,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.632899,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.619022,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.802495,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.996387,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,2.030939,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.790093,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.959124,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.79225,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.617046,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.606576,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.866337,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.929435,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.634604,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.964647,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,2.030339,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.648414,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.614528,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.603526,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.591754,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.728071,1.712988,1418
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.824422,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.324596,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.861387,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.374779,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.853295,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.003057,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.989711,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.161443,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.270248,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.840454,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.820359,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.363548,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.165104,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.836386,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.828817,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.399295,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.851646,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.329794,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,3.277427,3841
GKO,cuda,CG,BiCGStab,BJ,1,1,1.746327,2.836437,3841
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,8.011261,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.641006,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.343135,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.33792,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.674312,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.567728,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.413337,4085
GKO,cuda,CG,BiCGStab,BJ,2,1,4.020535,7.398238,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,13.728445,25.855764,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,13.728445,26.037679,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,13.728445,25.942183,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,13.728445,25.791204,4085
GKO,cuda,CG,BiCGStab,BJ,3,1,13.728445,25.884793,4085
