backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.579558,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.587114,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.585309,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.588946,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.582001,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.597647,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.58605,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.581674,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.585789,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.574285,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.583816,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.589681,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.588162,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.593213,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.59062,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.588667,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.577589,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.593559,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.595446,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.587298,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.597768,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.574408,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.584098,1418
GKO,cuda,CG,BiCGStab,BJ,0,1,1.231316,1.580198,1418
