backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': False}
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.355984,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.370275,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.328483,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.279071,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.300091,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.305775,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.34142,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.298,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.308091,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.296144,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.333154,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.288965,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.317362,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.29954,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.297196,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.31252,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.295279,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.291121,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.309453,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.305898,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.317063,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.290547,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.320823,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.318382,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.301319,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.329452,2.316366,4793
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.085541,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.093924,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.084008,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.093976,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.094177,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.080035,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.090337,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.083481,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.082841,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.084099,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.075983,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.096712,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.101379,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.084076,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.084809,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.072452,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.077454,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.071845,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.095772,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.760327,3.089028,4834
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.682737,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.69836,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.703532,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.573304,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.5751,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.582803,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.606721,4807
GKO,cuda,CG,BiCGStab,none,2,1,3.931367,7.581643,4807
GKO,cuda,CG,BiCGStab,none,3,1,13.200739,26.285297,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.200739,26.266768,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.200739,26.422115,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.200739,26.276243,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.200739,26.417474,4765
