backend,executor,solver_p,solver_U,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.1', 'renumbered': True}
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.369301,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.350428,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.35251,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.370031,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.354666,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.364195,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.363978,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.361719,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.370149,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.384517,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.374218,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.367054,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.375482,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.35581,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.371147,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.359986,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.367867,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.354491,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.373242,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.367813,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.371794,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.366972,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.372796,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.355505,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.380045,4793
GKO,cuda,CG,BiCGStab,none,0,1,1.373539,2.356917,4793
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.127516,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.133798,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.152764,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.161269,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.121134,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.154852,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.14654,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.142378,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.153564,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.151457,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.147637,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.145295,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.145171,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.146498,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.176527,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.133983,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.134158,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.175612,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.149907,4834
GKO,cuda,CG,BiCGStab,none,1,1,1.821056,3.164284,4834
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.838635,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.87603,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.762585,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.74376,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.751985,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.73708,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.91398,4807
GKO,cuda,CG,BiCGStab,none,2,1,4.015697,7.855479,4807
GKO,cuda,CG,BiCGStab,none,3,1,13.36919,26.840379,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.36919,26.691309,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.36919,26.746864,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.36919,26.656825,4765
GKO,cuda,CG,BiCGStab,none,3,1,13.36919,26.724085,4765
