executor_p,solver_p,preconditioner_p,resolution,omp_threads,mpi_ranks,node,maxBlockSize,innerReductionFactor,processes,log_id,setup_time,run_time,number_iterations_p,number_iterations_U,init_linear_solve_p,linear_solve_p,init_linear_solve_U,linear_solve_U
#{'node_data': {'host': 'uc2n520.localdomain\n', 'top': ['top - 17:12:15 up 59 days,  5:43,  0 users,  load average: 0.22, 0.07, 0.02', 'Tasks: 1293 total,   1 running, 1292 sleeping,   0 stopped,   0 zombie', '%Cpu(s):  0.1 us,  0.1 sy,  0.0 ni, 99.8 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st', 'MiB Mem : 386622.4 total, 368689.5 free,  13512.4 used,   4420.5 buff/cache', 'MiB Swap:      0.0 total,      0.0 free,      0.0 used. 370553.0 avail Mem ', '', '    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND', '   2767 root      20   0       0      0      0 S   5.9   0.0  20:14.81 nv_queue', '1687177 nq7776    20   0   56900   5584   3596 R   5.9   0.0   0:00.02 top', '      1 root      20   0  253792  12188   8288 S   0.0   0.0   0:47.78 systemd', '      2 root      20   0       0      0      0 S   0.0   0.0   0:16.79 kthreadd', '      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp', '      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp', '      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd', '     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq'], 'uptime': ' 17:12:15 up 59 days,  5:43,  0 users,  load average: 0.22, 0.07, 0.02\n', 'libOGL.so': '089d390e214ef084611b0ef5270cce11  /home/kit/scc/nq7776/OpenFOAM/nq7776-8/platforms/linux64GccDPInt32Opt/lib/libOGL.so\n'}, 'OBR_REPORT_VERSION': '0.3.0', 'OBR_VERSION': '0.2.1'}
CUDA,CG,BJ,0,1,0,uc2n520.localdomain,16,None,1,30f7de17d6e7c0649203ac5a202127fb,1.144984,1.425052,0.0,50.0,1219.0,9786.0,816585.0,995247.0
CUDA,CG,BJ,0,1,0,uc2n520.localdomain,8,None,1,0f01b5dd90197fb805b229650faa6b9a,1.168948,1.437726,0.0,48.0,1232.0,9306.0,819206.0,1010571.0
CUDA,CG,BJ,0,1,0,uc2n520.localdomain,2,None,1,422bed1b0ac80fc8313a2a09cb958b05,1.149637,1.471406,0.0,50.0,1224.0,9582.0,826860.0,1033719.0
CUDA,CG,BJ,0,1,0,uc2n520.localdomain,4,None,1,3760382a9cb4a18075ef41685ff30be9,1.140702,1.449566,0.0,50.0,1233.0,9654.0,817763.0,1021717.0
CUDA,CG,BJ,0,1,0,uc2n520.localdomain,1,None,1,9d92c36408f6deaf462a7a05870a485b,1.148217,1.500282,0.0,52.0,1182.0,9699.0,824977.0,1061172.0
CUDA,CG,NoPrecond,0,1,0,uc2n520.localdomain,None,None,1,2afd7019d94fb0718bf59ce53726a937,1.199834,2.12114,0.0,54.0,1183.0,9919.0,876018.0,1604055.0
CUDA,IR,NoPrecond,0,1,0,uc2n520.localdomain,None,0.1,1,84b378deba1f92c97a6bc970fa47f1fd,1.238541,2.425578,0.0,48.0,1180.0,9251.0,910778.0,1901176.0
CUDA,IR,NoPrecond,0,1,0,uc2n520.localdomain,None,0.01,1,5763dec56f5fe72d98b132414f16a588,1.23336,2.321952,0.0,48.0,1213.0,9267.0,909365.0,1803714.0
CUDA,IR,NoPrecond,0,1,0,uc2n520.localdomain,None,0.05,1,9267a32b374f8388775a6053ff35385d,1.219192,2.050147,0.0,50.0,1215.0,9490.0,885539.0,1550194.0
CUDA,IR,NoPrecond,0,1,0,uc2n520.localdomain,None,0.001,1,fc5d1778a71fa56f15057bacdeb30fe8,1.270892,2.7333,0.0,48.0,1210.0,9299.0,944451.0,2191347.0
CUDA,CG,ILU,0,1,0,uc2n520.localdomain,None,None,1,8033ebb0be2bc8f5868ad2432bb7b0a3,1.151711,1.451201,0.0,56.0,1222.0,10273.0,825730.0,1018270.0
CUDA,CG,BJ,2,1,0,uc2n520.localdomain,16,None,1,30c6a07b3372765f96555b1887870b56,3.555658,7.37269,0.0,72.0,23825.0,210086.0,1925435.0,3741853.0
CUDA,CG,BJ,2,1,0,uc2n520.localdomain,8,None,1,2fa798b3fdefb7561fe7571958d68be3,3.551356,7.338932,0.0,72.0,23946.0,210196.0,1921820.0,3652179.0
CUDA,CG,BJ,2,1,0,uc2n520.localdomain,2,None,1,63bc8dc87a17dd39630c2b9cf3541e5d,3.553842,7.142629,0.0,72.0,23469.0,207801.0,1922867.0,3563163.0
CUDA,CG,BJ,2,1,0,uc2n520.localdomain,4,None,1,7fb06b566f702bb8b653c0fa84154273,3.556141,7.220163,0.0,72.0,24517.0,215197.0,1923684.0,3575006.0
CUDA,CG,BJ,2,1,0,uc2n520.localdomain,1,None,1,26fa5a459ad2cded7c92f5e9a604da87,3.519555,7.124292,0.0,72.0,24496.0,216749.0,1897467.0,3486950.0
CUDA,CG,NoPrecond,2,1,0,uc2n520.localdomain,None,None,1,a079854c32376a86394b0c9525fd2694,3.689841,8.993804,0.0,72.0,24429.0,219515.0,2053594.0,5313375.0
CUDA,IR,NoPrecond,2,1,0,uc2n520.localdomain,None,0.1,1,d4e1c753e19df58c63ff1b3d48dbaf5c,3.864885,11.147492,0.0,72.0,23755.0,210181.0,2257003.0,7023679.0
CUDA,IR,NoPrecond,2,1,0,uc2n520.localdomain,None,0.01,1,c7290f2f713345cedf9f36d931cae61c,3.829584,10.750253,0.0,72.0,24577.0,219926.0,2215078.0,6730630.0
CUDA,IR,NoPrecond,2,1,0,uc2n520.localdomain,None,0.05,1,5f85060dd71b8907eedc3317388701d5,3.718088,9.23517,0.0,72.0,23517.0,207112.0,2115008.0,5425193.0
CUDA,IR,NoPrecond,2,1,0,uc2n520.localdomain,None,0.001,1,193c663944578a633b429cd20c55cd18,4.096764,13.165093,0.0,72.0,24445.0,215828.0,2475201.0,8908485.0
CUDA,CG,ILU,2,1,0,uc2n520.localdomain,None,None,1,d6f5aa543b8750d04677c73bc1258865,3.632057,9.427079,0.0,72.0,23815.0,210528.0,1998517.0,5611238.0
