backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,8,1,0.219506,1,614
OF,reference,CG,none,8,1,0.127738,1,614
OF,reference,CG,none,8,1,0.122073,1,614
OF,reference,CG,none,8,1,0.120179,1,614
OF,reference,CG,none,8,1,0.117479,1,614
OF,reference,CG,none,8,1,0.117087,1,614
OF,reference,CG,none,8,1,0.119265,1,614
OF,reference,CG,none,8,1,0.119066,1,614
OF,reference,CG,none,8,1,0.116883,1,614
OF,reference,CG,none,8,1,0.118218,1,614
OF,reference,CG,none,8,1,0.117106,1,614
OF,reference,CG,none,8,1,0.121807,1,614
OF,reference,CG,none,8,1,0.121372,1,614
OF,reference,CG,none,8,1,0.115305,1,614
OF,reference,CG,none,8,1,0.115834,1,614
OF,reference,CG,none,8,1,0.116525,1,614
OF,reference,CG,none,8,1,0.111508,1,614
OF,reference,CG,none,8,1,0.115503,1,614
OF,reference,CG,none,8,1,0.127699,1,614
OF,reference,CG,none,8,1,0.116996,1,614
OF,reference,CG,none,8,1,0.123806,1,614
OF,reference,CG,none,8,1,0.125114,1,614
OF,reference,CG,none,8,1,0.132932,1,614
OF,reference,CG,none,8,1,0.114712,1,614
OF,reference,CG,none,8,1,0.120818,1,614
OF,reference,CG,none,8,1,0.121221,1,614
OF,reference,CG,none,8,1,0.117187,1,614
OF,reference,CG,none,8,1,0.123177,1,614
OF,reference,CG,none,8,1,0.119001,1,614
OF,reference,CG,none,8,1,0.11526,1,614
OF,reference,CG,none,8,1,0.11939,1,614
OF,reference,CG,none,8,1,0.116945,1,614
OF,reference,CG,none,8,1,0.12326,1,614
OF,reference,CG,none,8,1,0.122403,1,614
OF,reference,CG,none,8,1,0.122451,1,614
OF,reference,CG,none,8,1,0.116761,1,614
OF,reference,CG,none,8,1,0.117133,1,614
OF,reference,CG,none,8,1,0.117783,1,614
OF,reference,CG,none,8,1,0.114946,1,614
OF,reference,CG,none,8,1,0.125533,1,614
OF,reference,CG,none,8,1,0.121963,1,614
OF,reference,CG,none,8,1,0.116913,1,614
OF,reference,CG,none,8,1,0.114754,1,614
OF,reference,CG,none,8,1,0.11938,1,614
OF,reference,CG,none,8,1,0.118702,1,614
OF,reference,CG,none,8,1,0.127195,1,614
OF,reference,CG,none,8,1,0.125602,1,614
OF,reference,CG,none,8,1,0.114999,1,614
OF,reference,CG,none,8,1,0.11399,1,614
OF,reference,CG,none,8,1,0.115245,1,614
OF,reference,CG,none,8,1,0.118684,1,614
OF,reference,CG,none,8,1,0.119366,1,614
OF,reference,CG,none,8,1,0.119326,1,614
OF,reference,CG,none,8,1,0.12127,1,614
OF,reference,CG,none,8,1,0.120873,1,614
OF,reference,CG,none,8,1,0.112898,1,614
OF,reference,CG,none,8,1,0.119276,1,614
OF,reference,CG,none,8,1,0.118917,1,614
OF,reference,CG,none,8,1,0.119166,1,614
OF,reference,CG,none,8,1,0.122046,1,614
OF,reference,CG,none,8,1,0.11993,1,614
OF,reference,CG,none,8,1,0.112823,1,614
OF,reference,CG,none,8,1,0.129177,1,614
OF,reference,CG,none,8,1,0.122828,1,614
OF,reference,CG,none,8,1,0.11723,1,614
OF,reference,CG,none,8,1,0.13538,1,614
OF,reference,CG,none,8,1,0.119621,1,614
OF,reference,CG,none,8,1,0.120072,1,614
OF,reference,CG,none,8,1,0.116429,1,614
OF,reference,CG,none,8,1,0.117545,1,614
OF,reference,CG,none,8,1,0.116907,1,614
OF,reference,CG,none,8,1,0.118883,1,614
OF,reference,CG,none,8,1,0.11722,1,614
OF,reference,CG,none,8,1,0.119605,1,614
OF,reference,CG,none,8,1,0.122458,1,614
OF,reference,CG,none,8,1,0.124471,1,614
OF,reference,CG,none,8,1,0.117818,1,614
OF,reference,CG,none,8,1,0.120624,1,614
OF,reference,CG,none,8,1,0.115486,1,614
OF,reference,CG,none,8,1,0.117446,1,614
OF,reference,CG,none,8,1,0.115037,1,614
OF,reference,CG,none,8,1,0.112249,1,614
OF,reference,CG,none,8,1,0.121354,1,614
OF,reference,CG,none,8,1,0.119229,1,614
OF,reference,CG,none,8,1,0.11667,1,614
OF,reference,CG,none,8,1,0.122882,1,614
OF,reference,CG,none,8,1,0.11755,1,614
OF,reference,CG,none,8,1,0.113312,1,614
OF,reference,CG,none,8,1,0.118636,1,614
OF,reference,CG,none,8,1,0.117881,1,614
OF,reference,CG,none,8,1,0.117234,1,614
OF,reference,CG,none,8,1,0.126542,1,614
OF,reference,CG,none,8,1,0.115817,1,614
OF,reference,CG,none,8,1,0.122418,1,614
OF,reference,CG,none,8,1,0.118696,1,614
OF,reference,CG,none,8,1,0.119879,1,614
OF,reference,CG,none,8,1,0.118983,1,614
OF,reference,CG,none,8,1,0.124184,1,614
OF,reference,CG,none,8,1,0.118459,1,614
OF,reference,CG,none,8,1,0.123154,1,614
OF,reference,CG,none,8,1,0.117267,1,614
OF,reference,CG,none,8,1,0.121501,1,614
OF,reference,CG,none,8,1,0.115318,1,614
OF,reference,CG,none,8,1,0.119651,1,614
OF,reference,CG,none,8,1,0.119416,1,614
OF,reference,CG,none,8,1,0.120042,1,614
OF,reference,CG,none,8,1,0.114783,1,614
OF,reference,CG,none,8,1,0.119521,1,614
OF,reference,CG,none,8,1,0.11814,1,614
OF,reference,CG,none,8,1,0.117952,1,614
OF,reference,CG,none,8,1,0.117697,1,614
OF,reference,CG,none,8,1,0.120899,1,614
OF,reference,CG,none,8,1,0.113734,1,614
OF,reference,CG,none,8,1,0.11447,1,614
OF,reference,CG,none,8,1,0.127494,1,614
OF,reference,CG,none,8,1,0.117112,1,614
OF,reference,CG,none,8,1,0.124746,1,614
OF,reference,CG,none,8,1,0.121656,1,614
OF,reference,CG,none,8,1,0.118622,1,614
OF,reference,CG,none,8,1,0.115538,1,614
OF,reference,CG,none,8,1,0.122915,1,614
OF,reference,CG,none,8,1,0.119255,1,614
OF,reference,CG,none,8,1,0.133328,1,614
OF,reference,CG,none,8,1,0.121399,1,614
OF,reference,CG,none,8,1,0.119065,1,614
OF,reference,CG,none,8,1,0.120789,1,614
