backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,8,1,0.331958,1,614
GKO,omp,CG,none,8,1,0.202049,1,614
GKO,omp,CG,none,8,1,0.192214,1,614
GKO,omp,CG,none,8,1,0.193002,1,614
GKO,omp,CG,none,8,1,0.191639,1,614
GKO,omp,CG,none,8,1,0.192449,1,614
GKO,omp,CG,none,8,1,0.192252,1,614
GKO,omp,CG,none,8,1,0.193377,1,614
GKO,omp,CG,none,8,1,0.193006,1,614
GKO,omp,CG,none,8,1,0.190012,1,614
GKO,omp,CG,none,8,1,0.190023,1,614
GKO,omp,CG,none,8,1,0.191229,1,614
GKO,omp,CG,none,8,1,0.194368,1,614
GKO,omp,CG,none,8,1,0.192621,1,614
GKO,omp,CG,none,8,1,0.192117,1,614
GKO,omp,CG,none,8,1,0.191191,1,614
GKO,omp,CG,none,8,1,0.191185,1,614
GKO,omp,CG,none,8,1,0.192501,1,614
GKO,omp,CG,none,8,1,0.199618,1,614
GKO,omp,CG,none,8,1,0.19822,1,614
GKO,omp,CG,none,8,1,0.193534,1,614
GKO,omp,CG,none,8,1,0.193925,1,614
GKO,omp,CG,none,8,1,0.194675,1,614
GKO,omp,CG,none,8,1,0.196167,1,614
GKO,omp,CG,none,8,1,0.193591,1,614
GKO,omp,CG,none,8,1,0.192511,1,614
GKO,omp,CG,none,8,1,0.191245,1,614
GKO,omp,CG,none,8,1,0.196544,1,614
GKO,omp,CG,none,8,1,0.194334,1,614
GKO,omp,CG,none,8,1,0.197086,1,614
GKO,omp,CG,none,8,1,0.192341,1,614
GKO,omp,CG,none,8,1,0.195469,1,614
GKO,omp,CG,none,8,1,0.192205,1,614
GKO,omp,CG,none,8,1,0.189783,1,614
GKO,omp,CG,none,8,1,0.189808,1,614
GKO,omp,CG,none,8,1,0.190389,1,614
GKO,omp,CG,none,8,1,0.193575,1,614
GKO,omp,CG,none,8,1,0.18896,1,614
GKO,omp,CG,none,8,1,0.195881,1,614
GKO,omp,CG,none,8,1,0.191803,1,614
GKO,omp,CG,none,8,1,0.191727,1,614
GKO,omp,CG,none,8,1,0.190444,1,614
GKO,omp,CG,none,8,1,0.191918,1,614
GKO,omp,CG,none,8,1,0.18664,1,614
GKO,omp,CG,none,8,1,0.191677,1,614
GKO,omp,CG,none,8,1,0.192839,1,614
GKO,omp,CG,none,8,1,0.190359,1,614
GKO,omp,CG,none,8,1,0.188903,1,614
GKO,omp,CG,none,8,1,0.192155,1,614
GKO,omp,CG,none,8,1,0.195989,1,614
GKO,omp,CG,none,8,1,0.197324,1,614
GKO,omp,CG,none,8,1,0.195086,1,614
GKO,omp,CG,none,8,1,0.191294,1,614
GKO,omp,CG,none,8,1,0.193371,1,614
GKO,omp,CG,none,8,1,0.193469,1,614
GKO,omp,CG,none,8,1,0.191056,1,614
GKO,omp,CG,none,8,1,0.196607,1,614
GKO,omp,CG,none,8,1,0.195706,1,614
GKO,omp,CG,none,8,1,0.194357,1,614
GKO,omp,CG,none,8,1,0.194611,1,614
GKO,omp,CG,none,8,1,0.194936,1,614
GKO,omp,CG,none,8,1,0.19414,1,614
GKO,omp,CG,none,8,1,0.195375,1,614
GKO,omp,CG,none,8,1,0.191564,1,614
GKO,omp,CG,none,8,1,0.190903,1,614
GKO,omp,CG,none,8,1,0.191115,1,614
GKO,omp,CG,none,8,1,0.191917,1,614
GKO,omp,CG,none,8,1,0.190781,1,614
GKO,omp,CG,none,8,1,0.192114,1,614
