backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BiCGStab,none,8,2,0.217753,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.195729,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18733,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188396,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191339,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189285,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188866,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187737,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188574,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.192862,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187576,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189397,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187172,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185436,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18911,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189788,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187554,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185539,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187094,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188563,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188051,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190092,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189361,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190308,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188005,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190939,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.192079,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.192877,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187164,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187587,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189064,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191464,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.192082,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18886,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191222,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189958,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18776,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186935,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185567,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188058,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188563,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190509,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189779,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187956,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190101,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188667,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191713,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191155,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18566,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188434,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189912,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189273,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186941,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191851,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190385,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187673,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188696,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186383,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185846,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18846,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188039,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187936,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191342,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189809,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186504,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188749,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185829,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191685,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190929,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186205,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189104,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187828,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187974,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188396,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189799,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186135,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188537,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188338,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188581,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.193354,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188177,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186397,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189968,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191013,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187042,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188002,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191244,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18845,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190355,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185989,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190958,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190268,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.19193,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186006,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187833,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191584,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190091,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186578,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188275,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190595,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18893,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188982,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188888,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188688,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.192861,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188137,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189276,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188431,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186424,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188153,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191367,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187488,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.192404,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.195462,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189331,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189335,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187902,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187058,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188704,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188989,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.18628,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188207,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188913,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186602,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.186172,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189803,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188444,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185865,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189271,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.191095,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187811,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.193577,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187191,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188118,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187831,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187796,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.189058,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188444,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187041,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.188416,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.185365,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.19027,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.190274,1,614
GKO,omp,CG,BiCGStab,none,8,2,0.187158,1,614
