backend,executor,solver-p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,8,1,1.118198,1,614
GKO,cuda,CG,none,8,1,1.129686,1,614
GKO,cuda,CG,none,8,1,1.109671,1,614
GKO,cuda,CG,none,8,1,1.107785,1,614
GKO,cuda,CG,none,8,1,1.105388,1,614
GKO,cuda,CG,none,8,1,1.110039,1,614
GKO,cuda,CG,none,8,1,1.108874,1,614
GKO,cuda,CG,none,8,1,1.105446,1,614
GKO,cuda,CG,none,8,1,1.109697,1,614
GKO,cuda,CG,none,8,1,1.111014,1,614
GKO,cuda,CG,none,8,1,1.108425,1,614
GKO,cuda,CG,none,8,1,1.111661,1,614
GKO,cuda,CG,none,8,1,1.105967,1,614
GKO,cuda,CG,none,8,1,1.107036,1,614
GKO,cuda,CG,none,8,1,1.107808,1,614
GKO,cuda,CG,none,8,1,1.113433,1,614
GKO,cuda,CG,none,8,1,1.115283,1,614
GKO,cuda,CG,none,8,1,1.107462,1,614
GKO,cuda,CG,none,8,1,1.107969,1,614
GKO,cuda,CG,none,8,1,1.114678,1,614
GKO,cuda,CG,none,8,1,1.109738,1,614
GKO,cuda,CG,none,8,1,1.116399,1,614
GKO,cuda,CG,none,8,1,1.118633,1,614
GKO,cuda,CG,none,8,1,1.112483,1,614
GKO,cuda,CG,none,8,1,1.106829,1,614
GKO,cuda,CG,none,8,1,1.109448,1,614
GKO,cuda,CG,none,8,1,1.109446,1,614
GKO,cuda,CG,none,8,1,1.111427,1,614
GKO,cuda,CG,none,8,1,1.110059,1,614
GKO,cuda,CG,none,8,1,1.105437,1,614
GKO,cuda,CG,none,8,1,1.109921,1,614
GKO,cuda,CG,none,8,1,1.108076,1,614
GKO,cuda,CG,none,8,1,1.109365,1,614
GKO,cuda,CG,none,8,1,1.10746,1,614
GKO,cuda,CG,none,8,1,1.110627,1,614
GKO,cuda,CG,none,8,1,1.106451,1,614
GKO,cuda,CG,none,8,1,1.106232,1,614
GKO,cuda,CG,none,8,1,1.110783,1,614
GKO,cuda,CG,none,8,1,1.109219,1,614
GKO,cuda,CG,none,8,1,1.115457,1,614
GKO,cuda,CG,none,8,1,1.109746,1,614
GKO,cuda,CG,none,8,1,1.111851,1,614
GKO,cuda,CG,none,8,1,1.111384,1,614
GKO,cuda,CG,none,8,1,1.113966,1,614
GKO,cuda,CG,none,8,1,1.106252,1,614
GKO,cuda,CG,none,8,1,1.112151,1,614
GKO,cuda,CG,none,8,1,1.107144,1,614
GKO,cuda,CG,none,8,1,1.108359,1,614
GKO,cuda,CG,none,8,1,1.113647,1,614
GKO,cuda,CG,none,8,1,1.109199,1,614
GKO,cuda,CG,none,8,1,1.106238,1,614
GKO,cuda,CG,none,8,1,1.105969,1,614
GKO,cuda,CG,none,8,1,1.111472,1,614
GKO,cuda,CG,none,8,1,1.106146,1,614
GKO,cuda,CG,none,8,1,1.109492,1,614
GKO,cuda,BiCGStab,none,8,1,1.160953,1,425
GKO,cuda,BiCGStab,none,8,1,1.161959,1,425
GKO,cuda,BiCGStab,none,8,1,1.16611,1,425
GKO,cuda,BiCGStab,none,8,1,1.156631,1,425
GKO,cuda,BiCGStab,none,8,1,1.165467,1,425
GKO,cuda,BiCGStab,none,8,1,1.15887,1,425
GKO,cuda,BiCGStab,none,8,1,1.163238,1,425
GKO,cuda,BiCGStab,none,8,1,1.161413,1,425
