backend,executor,solver-p,solver-U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,8,1,1.15373,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.144593,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.150002,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.137882,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151214,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.143117,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.139288,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.140823,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.140403,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145052,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151644,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.144721,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.142827,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.142181,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.14561,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145131,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.152543,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145419,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.144602,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.142375,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145325,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145185,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.141092,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.140748,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.136506,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.130179,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.141689,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.151456,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.147079,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.146718,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.144712,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.139349,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.150246,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.144888,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.142206,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.147704,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.139721,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.16847,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.139726,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.161771,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.149796,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.140536,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.141069,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.163207,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.156105,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145896,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.141923,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.13357,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.146132,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.150363,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.143269,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.145081,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.142889,1,614
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.200088,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.197724,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.192411,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.188319,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.182314,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.179785,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.202736,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.193175,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.21971,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.215765,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.208094,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.195852,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.198243,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.196706,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.188574,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.195333,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.193888,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.205237,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.207134,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.214958,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.2209,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.209493,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.192468,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.192976,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.187793,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.196034,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.197131,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.199743,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.191216,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.196612,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.194945,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.191438,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.212496,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.194829,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.202749,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.19758,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.192297,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.19046,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.201242,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.190011,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.18787,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.206574,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.196297,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.193288,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.187302,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.204684,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.218891,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.188202,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.18349,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.186321,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.194206,1,425
GKO,cuda,CG,BiCGStab,none,16,1,1.413817,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.411757,1,1409
