backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,8,1,0.369692,1,614
GKO,omp,CG,none,8,1,0.19956,1,614
GKO,omp,CG,none,8,1,0.207514,1,614
GKO,omp,CG,none,8,1,0.198548,1,614
GKO,omp,CG,none,8,1,0.199577,1,614
GKO,omp,CG,none,8,1,0.202949,1,614
GKO,omp,CG,none,8,1,0.196859,1,614
GKO,omp,CG,none,8,1,0.20136,1,614
GKO,omp,CG,none,8,1,0.202662,1,614
GKO,omp,CG,none,8,1,0.199286,1,614
GKO,omp,CG,none,8,1,0.200541,1,614
GKO,omp,CG,none,8,1,0.194965,1,614
GKO,omp,CG,none,8,1,0.196197,1,614
GKO,omp,CG,none,8,1,0.202226,1,614
GKO,omp,CG,none,8,1,0.201158,1,614
GKO,omp,CG,none,8,1,0.192183,1,614
GKO,omp,CG,none,8,1,0.198369,1,614
GKO,omp,CG,none,8,1,0.196951,1,614
GKO,omp,CG,none,8,1,0.201114,1,614
GKO,omp,CG,none,8,1,0.200187,1,614
GKO,omp,CG,none,8,1,0.196081,1,614
GKO,omp,CG,none,8,1,0.198876,1,614
GKO,omp,CG,none,8,1,0.198923,1,614
GKO,omp,CG,none,8,1,0.193546,1,614
GKO,omp,CG,none,8,1,0.197141,1,614
GKO,omp,CG,none,8,1,0.202415,1,614
GKO,omp,CG,none,8,1,0.201243,1,614
GKO,omp,CG,none,8,1,0.20857,1,614
GKO,omp,CG,none,8,1,0.201729,1,614
GKO,omp,CG,none,8,1,0.197733,1,614
GKO,omp,CG,none,8,1,0.199643,1,614
GKO,omp,CG,none,8,1,0.201519,1,614
GKO,omp,CG,none,8,1,0.201242,1,614
GKO,omp,CG,none,8,1,0.199436,1,614
GKO,omp,CG,none,8,1,0.196592,1,614
GKO,omp,CG,none,8,1,0.191907,1,614
GKO,omp,CG,none,8,1,0.196833,1,614
GKO,omp,CG,none,8,1,0.196985,1,614
GKO,omp,CG,none,8,1,0.198739,1,614
GKO,omp,CG,none,8,1,0.199893,1,614
GKO,omp,CG,none,8,1,0.200672,1,614
GKO,omp,CG,none,8,1,0.199891,1,614
GKO,omp,CG,none,8,1,0.197418,1,614
GKO,omp,CG,none,8,1,0.195403,1,614
GKO,omp,CG,none,8,1,0.200587,1,614
GKO,omp,CG,none,8,1,0.198403,1,614
GKO,omp,CG,none,8,1,0.197393,1,614
GKO,omp,CG,none,8,1,0.195707,1,614
GKO,omp,CG,none,8,1,0.198924,1,614
GKO,omp,CG,none,8,1,0.201248,1,614
GKO,omp,CG,none,8,1,0.199632,1,614
GKO,omp,CG,none,8,1,0.197937,1,614
GKO,omp,CG,none,8,1,0.198983,1,614
GKO,omp,CG,none,8,1,0.198042,1,614
GKO,omp,CG,none,8,1,0.200613,1,614
GKO,omp,CG,none,8,1,0.198411,1,614
GKO,omp,CG,none,8,1,0.198043,1,614
GKO,omp,CG,none,8,1,0.201161,1,614
GKO,omp,CG,none,8,1,0.198399,1,614
GKO,omp,CG,none,8,1,0.197867,1,614
GKO,omp,CG,none,8,1,0.197391,1,614
GKO,omp,CG,none,8,1,0.19589,1,614
GKO,omp,CG,none,8,1,0.194748,1,614
GKO,omp,CG,none,8,1,0.200067,1,614
GKO,omp,CG,none,8,1,0.195531,1,614
GKO,omp,CG,none,8,1,0.194661,1,614
GKO,omp,CG,none,8,1,0.196767,1,614
GKO,omp,CG,none,8,1,0.198365,1,614
GKO,omp,CG,none,8,1,0.196039,1,614
GKO,omp,CG,none,8,1,0.198066,1,614
GKO,omp,CG,none,8,1,0.197186,1,614
GKO,omp,CG,none,8,1,0.198499,1,614
GKO,omp,CG,none,8,1,0.202398,1,614
GKO,omp,CG,none,8,1,0.198454,1,614
GKO,omp,CG,none,8,1,0.198112,1,614
GKO,omp,CG,none,8,1,0.195573,1,614
GKO,omp,CG,none,8,1,0.197807,1,614
GKO,omp,CG,none,8,1,0.198367,1,614
GKO,omp,CG,none,8,1,0.194635,1,614
GKO,omp,CG,none,8,1,0.195307,1,614
GKO,omp,CG,none,8,1,0.195751,1,614
GKO,omp,CG,none,8,1,0.200661,1,614
GKO,omp,CG,none,8,1,0.196285,1,614
GKO,omp,CG,none,8,1,0.196959,1,614
GKO,omp,CG,none,8,1,0.20093,1,614
GKO,omp,CG,none,8,1,0.195893,1,614
