backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,8,1,0.155366,1,614
OF,reference,CG,BiCGStab,none,8,1,0.139213,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137206,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135348,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136827,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134525,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136783,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133482,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13857,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133473,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131751,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131484,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131144,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13354,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133435,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133025,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131452,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129264,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136352,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13455,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13431,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135773,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134576,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138065,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137325,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134339,1,614
OF,reference,CG,BiCGStab,none,8,1,0.141022,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137186,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137019,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132317,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137116,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135587,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13695,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134882,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132646,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135319,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13606,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13646,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132874,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138434,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13402,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131803,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132619,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131329,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132398,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133732,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133331,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130915,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135755,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136597,1,614
OF,reference,CG,BiCGStab,none,8,1,0.142859,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133111,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135673,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133129,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136961,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137435,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135379,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136497,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13759,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134899,1,614
OF,reference,CG,BiCGStab,none,8,1,0.139121,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133698,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137381,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134061,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137479,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136367,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133976,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138146,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131313,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132238,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133527,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138943,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133148,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13533,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133677,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130821,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133497,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132284,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133918,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131599,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134958,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133923,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135149,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134573,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133631,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132328,1,614
OF,reference,CG,BiCGStab,none,8,1,0.1376,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137209,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13447,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137119,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138333,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136202,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136619,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135954,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138017,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133722,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133845,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135772,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132806,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136273,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135803,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133526,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135669,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138563,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136065,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132883,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133376,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132625,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131546,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131027,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134237,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134362,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131302,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134349,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138063,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134515,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133528,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133669,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135272,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137668,1,614
OF,reference,CG,BiCGStab,none,8,1,0.140685,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133851,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136818,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133385,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137792,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132316,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134815,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135315,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137957,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133821,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134049,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135323,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134037,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134506,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133009,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13681,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134726,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129812,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130404,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13107,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132995,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133241,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134235,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129695,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129811,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137736,1,614
OF,reference,CG,BiCGStab,none,8,1,0.140905,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132714,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134582,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133356,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138599,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133439,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134334,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138708,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137446,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133174,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136935,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134066,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136445,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135573,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136712,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133878,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134838,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137415,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132239,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129686,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132611,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137881,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133055,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131893,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130534,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132293,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133898,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132886,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131386,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131593,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132984,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136575,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13733,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135734,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132284,1,614
OF,reference,CG,BiCGStab,none,8,1,0.140834,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132154,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135552,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134739,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137753,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137031,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136448,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136212,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136422,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134255,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133684,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134813,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132189,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136412,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131428,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137825,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133905,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13581,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133238,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131537,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131578,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132695,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136759,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134945,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131695,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132825,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132892,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135626,1,614
OF,reference,CG,BiCGStab,none,8,1,0.139592,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131134,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133627,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131851,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135926,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130801,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136963,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135589,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137526,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136757,1,614
OF,reference,CG,BiCGStab,none,8,1,0.141772,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13136,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136169,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133547,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136757,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134766,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132779,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135978,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133492,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134789,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135507,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137816,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135458,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130546,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132663,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131287,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132266,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131595,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13402,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131908,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135147,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131871,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138355,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137481,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132045,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134558,1,614
OF,reference,CG,BiCGStab,none,8,1,0.140592,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132196,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136394,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137071,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131617,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137097,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134731,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134873,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134425,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135749,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134287,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133557,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137631,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136417,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13006,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13473,1,614
OF,reference,CG,BiCGStab,none,8,1,0.139333,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135154,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134473,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129003,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130246,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132481,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133781,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133914,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130956,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131171,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132438,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135551,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134947,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131637,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132883,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132953,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136751,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135877,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133444,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136726,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135264,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135389,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133141,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136705,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135734,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135715,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135566,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134835,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137467,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133629,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13259,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132512,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137617,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132501,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13242,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133076,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130479,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132312,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133458,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134775,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132271,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133894,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134877,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13901,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133433,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134416,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134458,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138631,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134727,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137473,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136183,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137847,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134054,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138475,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132617,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137083,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134612,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136593,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133502,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134582,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131502,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131601,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134262,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135548,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136705,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132392,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135468,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131626,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131735,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133471,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133284,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129882,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135126,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133049,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137789,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134698,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132181,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132664,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135956,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13345,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136862,1,614
OF,reference,CG,BiCGStab,none,8,1,0.139401,1,614
OF,reference,CG,BiCGStab,none,8,1,0.140636,1,614
OF,reference,CG,BiCGStab,none,8,1,0.1332,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137294,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132972,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136275,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137818,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137919,1,614
OF,reference,CG,BiCGStab,none,8,1,0.139107,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133549,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137859,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134593,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132092,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132785,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138056,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13209,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130398,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134746,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132889,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130117,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134464,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134776,1,614
OF,reference,CG,BiCGStab,none,8,1,0.131791,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129361,1,614
OF,reference,CG,BiCGStab,none,8,1,0.132665,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138185,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134199,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133199,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133952,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133726,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138732,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134252,1,614
OF,reference,CG,BiCGStab,none,8,1,0.136268,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137606,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134191,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137727,1,614
OF,reference,CG,BiCGStab,none,8,1,0.134903,1,614
OF,reference,CG,BiCGStab,none,8,1,0.146072,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137557,1,614
OF,reference,CG,BiCGStab,none,8,1,0.138667,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133599,1,614
OF,reference,CG,BiCGStab,none,8,1,0.137437,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135229,1,614
OF,reference,CG,BiCGStab,none,8,1,0.135614,1,614
OF,reference,CG,BiCGStab,none,8,1,0.133493,1,614
