backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,8,1,2.404492,1,614
GKO,cuda,CG,none,8,1,1.099998,1,614
GKO,cuda,CG,none,8,1,1.094679,1,614
GKO,cuda,CG,none,8,1,1.10883,1,614
GKO,cuda,CG,none,8,1,1.087853,1,614
GKO,cuda,CG,none,8,1,1.084736,1,614
GKO,cuda,CG,none,8,1,1.093319,1,614
GKO,cuda,CG,none,8,1,1.10712,1,614
GKO,cuda,CG,none,8,1,1.098768,1,614
GKO,cuda,CG,none,8,1,1.10611,1,614
GKO,cuda,CG,none,8,1,1.086297,1,614
GKO,cuda,CG,none,8,1,1.092676,1,614
GKO,cuda,CG,none,8,1,1.096389,1,614
GKO,cuda,CG,none,8,1,1.097118,1,614
GKO,cuda,CG,none,8,1,1.111131,1,614
GKO,cuda,CG,none,8,1,1.097023,1,614
GKO,cuda,CG,none,8,1,1.08341,1,614
GKO,cuda,CG,none,8,1,1.093912,1,614
GKO,cuda,CG,none,8,1,1.104277,1,614
GKO,cuda,CG,none,8,1,1.083072,1,614
GKO,cuda,CG,none,8,1,1.081541,1,614
GKO,cuda,CG,none,8,1,1.085468,1,614
GKO,cuda,CG,none,8,1,1.09941,1,614
GKO,cuda,CG,none,8,1,1.095225,1,614
GKO,cuda,CG,none,8,1,1.083642,1,614
GKO,cuda,CG,none,8,1,1.089772,1,614
GKO,cuda,CG,none,8,1,1.093861,1,614
GKO,cuda,CG,none,8,1,1.084069,1,614
GKO,cuda,CG,none,8,1,1.082089,1,614
GKO,cuda,CG,none,8,1,1.083891,1,614
GKO,cuda,CG,none,8,1,1.082269,1,614
GKO,cuda,CG,none,8,1,1.087842,1,614
GKO,cuda,CG,none,8,1,1.088914,1,614
GKO,cuda,CG,none,8,1,1.094842,1,614
GKO,cuda,CG,none,8,1,1.111044,1,614
GKO,cuda,CG,none,8,1,1.081517,1,614
GKO,cuda,CG,none,8,1,1.079794,1,614
GKO,cuda,CG,none,8,1,1.091788,1,614
GKO,cuda,CG,none,8,1,1.090539,1,614
GKO,cuda,CG,none,8,1,1.086502,1,614
