backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,8,1,1.103931,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.103709,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.103687,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.090211,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.088874,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.082695,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.085701,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.087093,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.085644,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.089564,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.093977,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.088331,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.088154,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.089544,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.083604,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.095286,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.106609,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.08168,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.082874,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.088216,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.08455,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.095336,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.094344,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.084581,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.08496,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.088439,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.090125,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.083331,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.092156,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.08303,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.08857,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.092815,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.094035,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.087696,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.091153,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.090927,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.087905,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.088004,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.087965,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.082828,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.089805,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.087055,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.089019,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.097231,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.105714,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.096319,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.101777,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.094088,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.09035,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.090457,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.08856,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.085942,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.087633,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.083409,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.091886,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.084789,1,614
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.168477,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.155641,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.164774,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.164039,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.164287,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.153137,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.153845,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.151984,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.164433,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.165008,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15744,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.155898,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.152535,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.158165,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.161556,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.149701,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.169181,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.157475,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.153467,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.161296,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.156018,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.152362,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.152615,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.155261,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.148249,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.154307,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.158424,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.154107,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.168107,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.168628,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.152758,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.152858,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15477,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.147221,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.154468,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.164467,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15332,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.156477,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15429,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.165491,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.173511,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.156506,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.14938,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15663,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15524,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.15674,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.154724,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.151939,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.172292,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.168946,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.165548,1,425
GKO,cuda,BiCGStab,BiCGStab,none,8,1,1.156909,1,425
GKO,cuda,CG,BiCGStab,none,16,1,1.369165,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.396672,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.38198,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.363002,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370535,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.366218,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.361966,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.385159,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.371875,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369576,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.362365,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.368928,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.366628,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.382039,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.376531,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.386855,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.406294,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.377132,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.361647,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.360287,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.380285,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.375943,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.383049,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.376892,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.376073,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.373312,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.378635,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.377881,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.373221,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.368748,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369622,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.377582,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.367343,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370797,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.379822,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.366759,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.368842,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369915,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.374387,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.376096,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.363018,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.387136,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.378172,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.384634,1,1409
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.551519,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.516333,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.53603,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.519854,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.548196,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.528688,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.526663,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.512352,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.509508,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.500408,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.515681,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.510754,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.516837,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.510805,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.545819,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.508854,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.503752,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.538507,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.527433,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.507802,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.510302,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.510962,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.497031,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.521493,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.512345,1,1055
