backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,8,1,0.367307,1,614
GKO,omp,CG,none,8,1,0.198664,1,614
GKO,omp,CG,none,8,1,0.191967,1,614
GKO,omp,CG,none,8,1,0.192408,1,614
GKO,omp,CG,none,8,1,0.192818,1,614
GKO,omp,CG,none,8,1,0.19129,1,614
GKO,omp,CG,none,8,1,0.191017,1,614
GKO,omp,CG,none,8,1,0.194832,1,614
GKO,omp,CG,none,8,1,0.192037,1,614
GKO,omp,CG,none,8,1,0.194507,1,614
GKO,omp,CG,none,8,1,0.190814,1,614
GKO,omp,CG,none,8,1,0.193167,1,614
GKO,omp,CG,none,8,1,0.195182,1,614
GKO,omp,CG,none,8,1,0.194011,1,614
GKO,omp,CG,none,8,1,0.191144,1,614
GKO,omp,CG,none,8,1,0.190183,1,614
GKO,omp,CG,none,8,1,0.190582,1,614
GKO,omp,CG,none,8,1,0.190235,1,614
GKO,omp,CG,none,8,1,0.192377,1,614
GKO,omp,CG,none,8,1,0.190329,1,614
GKO,omp,CG,none,8,1,0.193419,1,614
GKO,omp,CG,none,8,1,0.189437,1,614
GKO,omp,CG,none,8,1,0.189458,1,614
GKO,omp,CG,none,8,1,0.191221,1,614
GKO,omp,CG,none,8,1,0.191281,1,614
GKO,omp,CG,none,8,1,0.189949,1,614
GKO,omp,CG,none,8,1,0.190973,1,614
GKO,omp,CG,none,8,1,0.193932,1,614
GKO,omp,CG,none,8,1,0.191668,1,614
GKO,omp,CG,none,8,1,0.190555,1,614
GKO,omp,CG,none,8,1,0.193316,1,614
GKO,omp,CG,none,8,1,0.19181,1,614
GKO,omp,CG,none,8,1,0.1932,1,614
GKO,omp,CG,none,8,1,0.193681,1,614
GKO,omp,CG,none,8,1,0.188271,1,614
GKO,omp,CG,none,8,1,0.188527,1,614
GKO,omp,CG,none,8,1,0.189326,1,614
GKO,omp,CG,none,8,1,0.19057,1,614
GKO,omp,CG,none,8,1,0.191443,1,614
GKO,omp,CG,none,8,1,0.192004,1,614
GKO,omp,CG,none,8,1,0.195659,1,614
GKO,omp,CG,none,8,1,0.189558,1,614
GKO,omp,CG,none,8,1,0.192757,1,614
GKO,omp,CG,none,8,1,0.18909,1,614
GKO,omp,CG,none,8,1,0.189417,1,614
GKO,omp,CG,none,8,1,0.189299,1,614
GKO,omp,CG,none,8,1,0.190968,1,614
GKO,omp,CG,none,8,1,0.189755,1,614
GKO,omp,CG,none,8,1,0.191331,1,614
GKO,omp,CG,none,8,1,0.191476,1,614
GKO,omp,CG,none,8,1,0.197946,1,614
GKO,omp,CG,none,8,1,0.188509,1,614
GKO,omp,CG,none,8,1,0.19106,1,614
GKO,omp,CG,none,8,1,0.192041,1,614
GKO,omp,CG,none,8,1,0.190076,1,614
GKO,omp,CG,none,8,1,0.194366,1,614
GKO,omp,CG,none,8,1,0.204627,1,614
GKO,omp,CG,none,8,1,0.190004,1,614
GKO,omp,CG,none,8,1,0.190854,1,614
GKO,omp,CG,none,8,1,0.193292,1,614
GKO,omp,CG,none,8,1,0.19164,1,614
GKO,omp,CG,none,8,1,0.193881,1,614
GKO,omp,CG,none,8,1,0.190399,1,614
GKO,omp,CG,none,8,1,0.192228,1,614
GKO,omp,CG,none,8,1,0.189889,1,614
GKO,omp,CG,none,8,1,0.197673,1,614
GKO,omp,CG,none,8,1,0.192064,1,614
GKO,omp,CG,none,8,1,0.190056,1,614
GKO,omp,CG,none,8,1,0.191716,1,614
GKO,omp,CG,none,8,1,0.194559,1,614
GKO,omp,CG,none,8,1,0.18834,1,614
GKO,omp,CG,none,8,1,0.191687,1,614
GKO,omp,CG,none,8,1,0.191382,1,614
GKO,omp,CG,none,8,1,0.186914,1,614
GKO,omp,CG,none,8,1,0.189253,1,614
GKO,omp,CG,none,8,1,0.189704,1,614
GKO,omp,CG,none,8,1,0.194832,1,614
GKO,omp,CG,none,8,1,0.191432,1,614
GKO,omp,CG,none,8,1,0.190415,1,614
GKO,omp,CG,none,8,1,0.192596,1,614
GKO,omp,CG,none,8,1,0.18963,1,614
GKO,omp,CG,none,8,1,0.188329,1,614
GKO,omp,CG,none,8,1,0.189545,1,614
GKO,omp,CG,none,8,1,0.194535,1,614
GKO,omp,CG,none,8,1,0.192718,1,614
GKO,omp,CG,none,8,1,0.191418,1,614
GKO,omp,CG,none,8,1,0.188957,1,614
GKO,omp,CG,none,8,1,0.191805,1,614
GKO,omp,CG,none,8,1,0.189847,1,614
GKO,omp,CG,none,8,1,0.191903,1,614
GKO,omp,CG,none,8,1,0.192683,1,614
GKO,omp,CG,none,8,1,0.190357,1,614
GKO,omp,CG,none,8,1,0.191811,1,614
GKO,omp,CG,none,8,1,0.195565,1,614
GKO,omp,CG,none,8,1,0.19115,1,614
GKO,omp,CG,none,8,1,0.196086,1,614
GKO,omp,CG,none,8,1,0.195533,1,614
GKO,omp,CG,none,8,1,0.190738,1,614
GKO,omp,CG,none,8,1,0.190431,1,614
GKO,omp,CG,none,8,1,0.189212,1,614
GKO,omp,CG,none,8,1,0.187832,1,614
GKO,omp,CG,none,8,1,0.189443,1,614
GKO,omp,CG,none,8,1,0.191773,1,614
GKO,omp,CG,none,8,1,0.193594,1,614
GKO,omp,CG,none,8,1,0.191072,1,614
GKO,omp,CG,none,8,1,0.191433,1,614
GKO,omp,CG,none,8,1,0.188505,1,614
GKO,omp,CG,none,8,1,0.193723,1,614
GKO,omp,CG,none,8,1,0.191166,1,614
GKO,omp,CG,none,8,1,0.18901,1,614
GKO,omp,CG,none,8,1,0.187578,1,614
GKO,omp,CG,none,8,1,0.19136,1,614
GKO,omp,CG,none,8,1,0.190415,1,614
GKO,omp,CG,none,8,1,0.18792,1,614
GKO,omp,CG,none,8,1,0.191542,1,614
GKO,omp,CG,none,8,1,0.190423,1,614
GKO,omp,CG,none,8,1,0.194542,1,614
GKO,omp,CG,none,8,1,0.18999,1,614
GKO,omp,CG,none,8,1,0.192682,1,614
GKO,omp,CG,none,8,1,0.18936,1,614
GKO,omp,CG,none,8,1,0.191811,1,614
GKO,omp,CG,none,8,1,0.194634,1,614
GKO,omp,CG,none,8,1,0.189252,1,614
GKO,omp,CG,none,8,1,0.192326,1,614
GKO,omp,CG,none,8,1,0.19097,1,614
GKO,omp,CG,none,8,1,0.192256,1,614
GKO,omp,CG,none,8,1,0.189694,1,614
GKO,omp,CG,none,8,1,0.188661,1,614
GKO,omp,CG,none,8,1,0.193751,1,614
GKO,omp,CG,none,8,1,0.187908,1,614
GKO,omp,CG,none,8,1,0.190639,1,614
GKO,omp,CG,none,8,1,0.189379,1,614
GKO,omp,CG,none,8,1,0.190847,1,614
GKO,omp,CG,none,8,1,0.191743,1,614
GKO,omp,CG,none,8,1,0.190623,1,614
GKO,omp,CG,none,8,1,0.198811,1,614
GKO,omp,CG,none,8,1,0.191332,1,614
GKO,omp,CG,none,8,1,0.191783,1,614
GKO,omp,CG,none,8,1,0.191029,1,614
GKO,omp,CG,none,8,1,0.197926,1,614
GKO,omp,CG,none,8,1,0.191578,1,614
GKO,omp,CG,none,8,1,0.190729,1,614
GKO,omp,CG,none,8,1,0.188835,1,614
GKO,omp,CG,none,8,1,0.189331,1,614
GKO,omp,CG,none,8,1,0.191019,1,614
GKO,omp,CG,none,8,1,0.197609,1,614
GKO,omp,CG,none,8,1,0.189894,1,614
GKO,omp,CG,none,8,1,0.193983,1,614
GKO,omp,CG,none,8,1,0.190576,1,614
GKO,omp,CG,none,8,1,0.189304,1,614
GKO,omp,CG,none,8,1,0.192206,1,614
GKO,omp,CG,none,8,1,0.191435,1,614
GKO,omp,CG,none,8,1,0.192014,1,614
GKO,omp,CG,none,8,1,0.189423,1,614
GKO,omp,CG,none,8,1,0.194094,1,614
GKO,omp,CG,none,8,1,0.190409,1,614
GKO,omp,CG,none,8,1,0.188879,1,614
GKO,omp,CG,none,8,1,0.191651,1,614
GKO,omp,CG,none,8,1,0.19517,1,614
GKO,omp,CG,none,8,1,0.192124,1,614
GKO,omp,CG,none,8,1,0.192244,1,614
GKO,omp,CG,none,8,1,0.189778,1,614
GKO,omp,CG,none,8,1,0.19196,1,614
GKO,omp,CG,none,8,1,0.192796,1,614
GKO,omp,CG,none,8,1,0.189506,1,614
GKO,omp,CG,none,8,1,0.190176,1,614
GKO,omp,CG,none,8,1,0.191247,1,614
GKO,omp,CG,none,8,1,0.192871,1,614
GKO,omp,CG,none,8,1,0.190716,1,614
GKO,omp,CG,none,8,1,0.19277,1,614
GKO,omp,CG,none,8,1,0.189862,1,614
GKO,omp,CG,none,8,1,0.192789,1,614
GKO,omp,CG,none,8,1,0.193771,1,614
GKO,omp,CG,none,8,1,0.191025,1,614
GKO,omp,CG,none,8,1,0.189643,1,614
GKO,omp,CG,none,8,1,0.190734,1,614
GKO,omp,CG,none,8,1,0.191075,1,614
GKO,omp,CG,none,8,1,0.189959,1,614
GKO,omp,CG,none,8,1,0.191248,1,614
GKO,omp,CG,none,8,1,0.195552,1,614
GKO,omp,CG,none,8,1,0.190408,1,614
GKO,omp,CG,none,8,1,0.189198,1,614
GKO,omp,CG,none,8,1,0.19269,1,614
GKO,omp,CG,none,8,1,0.19131,1,614
GKO,omp,CG,none,8,1,0.191384,1,614
GKO,omp,CG,none,8,1,0.195448,1,614
GKO,omp,CG,none,8,1,0.192184,1,614
GKO,omp,CG,none,8,1,0.190316,1,614
GKO,omp,CG,none,8,1,0.187829,1,614
GKO,omp,CG,none,8,1,0.190774,1,614
GKO,omp,CG,none,8,1,0.192305,1,614
GKO,omp,CG,none,8,1,0.189436,1,614
GKO,omp,CG,none,8,1,0.191549,1,614
GKO,omp,CG,none,8,1,0.192222,1,614
GKO,omp,CG,none,8,1,0.190919,1,614
GKO,omp,CG,none,8,1,0.189132,1,614
GKO,omp,CG,none,8,1,0.192934,1,614
GKO,omp,CG,none,8,1,0.190025,1,614
GKO,omp,CG,none,8,1,0.193627,1,614
GKO,omp,CG,none,8,1,0.191496,1,614
GKO,omp,CG,none,8,1,0.194571,1,614
GKO,omp,CG,none,8,1,0.188859,1,614
GKO,omp,CG,none,8,1,0.189021,1,614
GKO,omp,CG,none,8,1,0.189652,1,614
GKO,omp,CG,none,8,1,0.188942,1,614
GKO,omp,CG,none,8,1,0.191228,1,614
GKO,omp,CG,none,8,1,0.190793,1,614
