backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,8,1,0.150122,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128683,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127157,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128906,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127728,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127738,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125981,1,614
OF,reference,CG,BiCGStab,none,8,1,0.1284,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126383,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127923,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127893,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127329,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125779,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127758,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125194,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128089,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130573,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130051,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128942,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127738,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126595,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12794,1,614
OF,reference,CG,BiCGStab,none,8,1,0.126184,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125559,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127811,1,614
OF,reference,CG,BiCGStab,none,8,1,0.129322,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127614,1,614
OF,reference,CG,BiCGStab,none,8,1,0.127939,1,614
OF,reference,CG,BiCGStab,none,8,1,0.130714,1,614
OF,reference,CG,BiCGStab,none,8,1,0.12826,1,614
OF,reference,CG,BiCGStab,none,8,1,0.13017,1,614
OF,reference,CG,BiCGStab,none,8,1,0.128097,1,614
OF,reference,CG,BiCGStab,none,8,1,0.125908,1,614
