backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,8,1,1.241639,1,614
GKO,cuda,CG,none,8,1,1.141671,1,614
GKO,cuda,CG,none,8,1,1.132892,1,614
GKO,cuda,CG,none,8,1,1.137719,1,614
GKO,cuda,CG,none,8,1,1.135553,1,614
GKO,cuda,CG,none,8,1,1.137494,1,614
GKO,cuda,CG,none,8,1,1.140957,1,614
GKO,cuda,CG,none,8,1,1.134641,1,614
GKO,cuda,CG,none,8,1,1.142126,1,614
GKO,cuda,CG,none,8,1,1.135635,1,614
GKO,cuda,CG,none,8,1,1.139106,1,614
GKO,cuda,CG,none,8,1,1.137602,1,614
GKO,cuda,CG,none,8,1,1.145808,1,614
GKO,cuda,CG,none,8,1,1.13109,1,614
GKO,cuda,CG,none,8,1,1.135462,1,614
GKO,cuda,CG,none,8,1,1.142104,1,614
GKO,cuda,CG,none,8,1,1.139515,1,614
GKO,cuda,CG,none,8,1,1.135693,1,614
GKO,cuda,CG,none,8,1,1.136138,1,614
GKO,cuda,CG,none,8,1,1.133401,1,614
GKO,cuda,CG,none,8,1,1.131334,1,614
GKO,cuda,CG,none,8,1,1.130376,1,614
GKO,cuda,CG,none,8,1,1.133157,1,614
GKO,cuda,CG,none,8,1,1.132699,1,614
GKO,cuda,CG,none,8,1,1.131635,1,614
GKO,cuda,CG,none,8,1,1.150713,1,614
GKO,cuda,CG,none,8,1,1.133866,1,614
GKO,cuda,CG,none,8,1,1.124374,1,614
GKO,cuda,CG,none,8,1,1.139437,1,614
GKO,cuda,CG,none,8,1,1.133582,1,614
GKO,cuda,CG,none,8,1,1.133482,1,614
GKO,cuda,CG,none,8,1,1.125877,1,614
GKO,cuda,CG,none,8,1,1.135019,1,614
GKO,cuda,CG,none,8,1,1.126488,1,614
GKO,cuda,CG,none,8,1,1.130243,1,614
GKO,cuda,CG,none,8,1,1.139664,1,614
GKO,cuda,CG,none,8,1,1.139072,1,614
GKO,cuda,CG,none,8,1,1.135322,1,614
GKO,cuda,CG,none,8,1,1.139499,1,614
GKO,cuda,CG,none,8,1,1.141693,1,614
GKO,cuda,CG,none,8,1,1.153001,1,614
GKO,cuda,CG,none,8,1,1.130918,1,614
GKO,cuda,CG,none,8,1,1.138673,1,614
GKO,cuda,CG,none,8,1,1.130941,1,614
GKO,cuda,CG,none,8,1,1.131173,1,614
GKO,cuda,CG,none,8,1,1.142624,1,614
GKO,cuda,CG,none,8,1,1.128981,1,614
GKO,cuda,CG,none,8,1,1.129563,1,614
GKO,cuda,CG,none,8,1,1.131448,1,614
GKO,cuda,CG,none,8,1,1.131168,1,614
GKO,cuda,CG,none,8,1,1.134657,1,614
GKO,cuda,CG,none,8,1,1.136438,1,614
GKO,cuda,CG,none,8,1,1.134026,1,614
GKO,cuda,BiCGStab,none,8,1,1.176445,1,425
GKO,cuda,BiCGStab,none,8,1,1.184326,1,425
GKO,cuda,BiCGStab,none,8,1,1.179238,1,425
GKO,cuda,BiCGStab,none,8,1,1.190678,1,425
GKO,cuda,BiCGStab,none,8,1,1.180913,1,425
GKO,cuda,BiCGStab,none,8,1,1.185339,1,425
GKO,cuda,BiCGStab,none,8,1,1.181884,1,425
GKO,cuda,BiCGStab,none,8,1,1.181725,1,425
GKO,cuda,BiCGStab,none,8,1,1.188881,1,425
GKO,cuda,BiCGStab,none,8,1,1.182466,1,425
GKO,cuda,BiCGStab,none,8,1,1.185496,1,425
GKO,cuda,BiCGStab,none,8,1,1.183117,1,425
GKO,cuda,BiCGStab,none,8,1,1.179036,1,425
GKO,cuda,BiCGStab,none,8,1,1.184117,1,425
GKO,cuda,BiCGStab,none,8,1,1.181396,1,425
GKO,cuda,BiCGStab,none,8,1,1.179562,1,425
GKO,cuda,BiCGStab,none,8,1,1.180434,1,425
GKO,cuda,BiCGStab,none,8,1,1.180108,1,425
GKO,cuda,BiCGStab,none,8,1,1.171622,1,425
GKO,cuda,BiCGStab,none,8,1,1.172858,1,425
