backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,8,1,1.139779,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.134433,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.134489,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.133238,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.12713,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.130332,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.131852,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.138501,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.135751,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.131829,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.134249,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.13601,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.12399,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.126417,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.132981,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.134769,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.141171,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.134274,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.135499,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.135135,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.133192,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.136565,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.140174,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.138176,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.130513,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.13138,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.137026,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.135413,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.127501,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.128152,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.13761,1,614
GKO,cuda,CG,BiCGStab,none,8,1,1.143686,1,614
GKO,cuda,CG,BiCGStab,none,16,1,1.391969,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.366322,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.373091,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.377089,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.377564,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.37234,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369253,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.381895,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.385718,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.368785,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369355,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.371221,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.37432,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.373917,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370866,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369968,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.368098,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369379,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.374465,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.371042,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370529,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369802,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.374471,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.373347,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.374172,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.378953,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.372733,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369136,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.365408,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.369192,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.35849,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.367756,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.366477,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.372145,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.374015,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.358718,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.384199,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370809,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.36681,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.371579,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.362249,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.374476,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370094,1,1409
GKO,cuda,CG,BiCGStab,none,16,1,1.370837,1,1409
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.502752,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.506707,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.501513,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.50248,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.494969,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.492577,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.489582,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.494108,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.505858,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.493503,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.491523,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.494328,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.501424,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.489077,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.489654,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.498933,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.496937,1,1055
GKO,cuda,BiCGStab,BiCGStab,none,16,1,1.496257,1,1055
