domain,executor,solver,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,omp,CG,BJ,0,8,1,0.326368,1
GKO,omp,CG,BJ,0,8,1,0.187419,1
GKO,omp,CG,BJ,0,8,1,0.192037,1
GKO,omp,CG,BJ,0,8,1,0.183977,1
GKO,omp,CG,BJ,0,8,1,0.189583,1
GKO,omp,CG,BJ,0,8,1,0.187859,1
GKO,omp,CG,BJ,0,8,1,0.183285,1
GKO,omp,CG,BJ,0,8,1,0.184709,1
GKO,omp,CG,BJ,0,8,1,0.19015,1
GKO,omp,CG,BJ,0,8,1,0.182113,1
GKO,omp,CG,BJ,0,8,1,0.181798,1
GKO,omp,CG,BJ,0,8,1,0.188645,1
GKO,omp,CG,BJ,0,8,1,0.185058,1
GKO,omp,CG,BJ,0,8,1,0.184347,1
GKO,omp,CG,BJ,0,8,1,0.186178,1
GKO,omp,CG,BJ,0,8,1,0.188939,1
GKO,omp,CG,BJ,0,8,1,0.18412,1
GKO,omp,CG,BJ,0,8,1,0.191889,1
GKO,omp,CG,BJ,0,8,1,0.19227,1
GKO,omp,CG,BJ,0,8,1,0.187932,1
GKO,omp,CG,BJ,0,8,1,0.189197,1
GKO,omp,CG,BJ,0,8,1,0.181191,1
GKO,omp,CG,BJ,0,8,1,0.181786,1
GKO,omp,CG,BJ,0,8,1,0.179395,1
GKO,omp,CG,BJ,0,8,1,0.187194,1
GKO,omp,CG,BJ,0,8,1,0.188737,1
GKO,omp,CG,BJ,0,8,1,0.185004,1
GKO,omp,CG,BJ,0,8,1,0.181461,1
GKO,omp,CG,BJ,0,8,1,0.183091,1
GKO,omp,CG,BJ,0,8,1,0.180203,1
GKO,omp,CG,BJ,0,8,1,0.179225,1
GKO,omp,CG,BJ,0,8,1,0.180661,1
GKO,omp,CG,BJ,0,8,1,0.1808,1
GKO,omp,CG,BJ,0,8,1,0.178968,1
GKO,omp,CG,BJ,0,8,1,0.186605,1
GKO,omp,CG,BJ,0,8,1,0.187844,1
GKO,omp,CG,BJ,0,8,1,0.188462,1
GKO,omp,CG,BJ,0,8,1,0.18546,1
GKO,omp,CG,BJ,0,8,1,0.180703,1
GKO,omp,CG,BJ,0,8,1,0.190409,1
GKO,omp,CG,BJ,0,8,1,0.185725,1
GKO,omp,CG,BJ,0,8,1,0.181986,1
GKO,omp,CG,BJ,0,8,1,0.181838,1
GKO,omp,CG,BJ,0,8,1,0.189462,1
GKO,omp,CG,BJ,0,8,1,0.185376,1
GKO,omp,CG,BJ,0,8,1,0.182808,1
GKO,omp,CG,BJ,0,8,1,0.183558,1
GKO,omp,CG,BJ,0,8,1,0.189821,1
GKO,omp,CG,BJ,0,8,1,0.184676,1
GKO,omp,CG,BJ,0,8,1,0.188918,1
GKO,omp,CG,BJ,0,8,1,0.19034,1
GKO,omp,CG,BJ,0,8,1,0.18954,1
GKO,omp,CG,BJ,0,8,1,0.18744,1
GKO,omp,CG,BJ,0,8,1,0.178337,1
GKO,omp,CG,BJ,0,8,1,0.182387,1
GKO,omp,CG,BJ,0,8,1,0.182131,1
GKO,omp,CG,BJ,0,8,1,0.190162,1
GKO,omp,CG,BJ,0,8,1,0.189536,1
GKO,omp,CG,BJ,0,8,1,0.185944,1
GKO,omp,CG,BJ,0,8,1,0.182311,1
GKO,omp,CG,BJ,0,8,1,0.182584,1
GKO,omp,CG,BJ,0,8,1,0.181406,1
GKO,omp,CG,BJ,0,8,1,0.183987,1
GKO,omp,CG,BJ,0,8,1,0.182913,1
GKO,omp,CG,BJ,0,8,1,0.180804,1
GKO,omp,CG,BJ,0,8,1,0.187464,1
GKO,omp,CG,BJ,0,8,1,0.186952,1
GKO,omp,CG,BJ,0,8,1,0.184284,1
GKO,omp,CG,BJ,0,8,1,0.187301,1
GKO,omp,CG,BJ,0,8,1,0.182781,1
GKO,omp,CG,BJ,0,8,1,0.187032,1
GKO,omp,CG,BJ,0,8,1,0.184693,1
GKO,omp,CG,BJ,0,8,1,0.182464,1
GKO,omp,CG,BJ,0,8,1,0.182567,1
GKO,omp,CG,BJ,0,8,1,0.191386,1
GKO,omp,CG,BJ,0,8,1,0.184255,1
GKO,omp,CG,BJ,0,8,1,0.183164,1
GKO,omp,CG,BJ,0,8,1,0.190819,1
GKO,omp,CG,BJ,0,8,1,0.190889,1
GKO,omp,CG,BJ,0,8,1,0.181579,1
GKO,omp,CG,BJ,0,8,1,0.186747,1
GKO,omp,CG,BJ,0,8,1,0.18983,1
GKO,omp,CG,BJ,0,8,1,0.193182,1
GKO,omp,CG,BJ,0,8,1,0.185295,1
GKO,omp,CG,BJ,0,8,1,0.179296,1
GKO,omp,CG,BJ,0,8,1,0.183112,1
GKO,omp,CG,BJ,0,8,1,0.181603,1
GKO,omp,CG,BJ,0,8,1,0.187081,1
GKO,omp,CG,BJ,0,8,1,0.188848,1
GKO,omp,CG,BJ,0,8,1,0.185978,1
GKO,omp,CG,BJ,0,8,1,0.185159,1
GKO,omp,CG,BJ,0,8,1,0.182,1
GKO,omp,CG,BJ,0,8,1,0.180446,1
GKO,omp,CG,BJ,0,8,1,0.180666,1
GKO,omp,CG,BJ,0,8,1,0.183112,1
GKO,omp,CG,BJ,0,8,1,0.179805,1
GKO,omp,CG,BJ,0,8,1,0.182305,1
GKO,omp,CG,BJ,0,8,1,0.189629,1
GKO,omp,CG,BJ,0,8,1,0.185646,1
GKO,omp,CG,BJ,0,8,1,0.188734,1
GKO,omp,CG,BJ,0,8,1,0.185252,1
GKO,omp,CG,BJ,0,8,1,0.181829,1
GKO,omp,CG,BJ,0,8,1,0.188488,1
GKO,omp,CG,BJ,0,8,1,0.188151,1
GKO,omp,CG,BJ,0,8,1,0.180468,1
GKO,omp,CG,BJ,0,8,1,0.179406,1
GKO,omp,CG,BJ,0,8,1,0.190317,1
GKO,omp,CG,BJ,0,8,1,0.187645,1
GKO,omp,CG,BJ,0,8,1,0.182168,1
GKO,omp,CG,BJ,0,8,1,0.188599,1
GKO,omp,CG,BJ,0,8,1,0.18998,1
GKO,omp,CG,BJ,0,8,1,0.184197,1
GKO,omp,CG,BJ,0,8,1,0.18795,1
GKO,omp,CG,BJ,0,8,1,0.19097,1
GKO,omp,CG,BJ,0,8,1,0.187965,1
GKO,omp,CG,BJ,0,8,1,0.188947,1
GKO,omp,CG,BJ,0,8,1,0.1844,1
GKO,omp,CG,BJ,0,8,1,0.181276,1
GKO,omp,CG,BJ,0,8,1,0.182681,1
GKO,omp,CG,BJ,0,8,1,0.190365,1
GKO,omp,CG,BJ,0,8,1,0.192595,1
GKO,omp,CG,BJ,0,8,1,0.184782,1
GKO,omp,CG,BJ,0,8,1,0.179733,1
GKO,omp,CG,BJ,0,8,1,0.181492,1
GKO,omp,CG,BJ,0,8,1,0.182601,1
GKO,omp,CG,BJ,0,8,1,0.181331,1
GKO,omp,CG,BJ,0,8,1,0.180009,1
GKO,omp,CG,BJ,0,8,1,0.178507,1
GKO,omp,CG,BJ,0,8,1,0.183067,1
GKO,omp,CG,BJ,0,8,1,0.184934,1
GKO,omp,CG,BJ,0,8,1,0.186768,1
GKO,omp,CG,BJ,0,8,1,0.18957,1
GKO,omp,CG,BJ,0,8,1,0.188204,1
GKO,omp,CG,BJ,0,8,1,0.179854,1
GKO,omp,CG,BJ,0,8,1,0.189932,1
GKO,omp,CG,BJ,0,8,1,0.188274,1
GKO,omp,CG,BJ,0,8,1,0.183003,1
GKO,omp,CG,BJ,0,8,1,0.180516,1
GKO,omp,CG,BJ,0,8,1,0.189963,1
GKO,omp,CG,BJ,0,8,1,0.186045,1
GKO,omp,CG,BJ,0,8,1,0.183211,1
GKO,omp,CG,BJ,0,8,1,0.191595,1
GKO,omp,CG,BJ,0,8,1,0.187,1
GKO,omp,CG,BJ,0,8,1,0.181704,1
GKO,omp,CG,BJ,0,8,1,0.191699,1
GKO,omp,CG,BJ,0,8,1,0.18959,1
GKO,omp,CG,BJ,0,8,1,0.189856,1
GKO,omp,CG,BJ,0,8,1,0.183457,1
GKO,omp,CG,BJ,0,8,1,0.179476,1
GKO,omp,CG,BJ,0,8,1,0.183333,1
GKO,omp,CG,BJ,0,8,1,0.178381,1
GKO,omp,CG,BJ,0,8,1,0.190212,1
GKO,omp,CG,BJ,0,8,1,0.189083,1
GKO,omp,CG,BJ,0,8,1,0.188199,1
GKO,omp,CG,BJ,0,8,1,0.182251,1
GKO,omp,CG,BJ,0,8,1,0.178664,1
GKO,omp,CG,BJ,0,8,1,0.180043,1
GKO,omp,CG,BJ,0,8,1,0.1844,1
GKO,omp,CG,BJ,0,8,1,0.186896,1
GKO,omp,CG,BJ,0,8,1,0.182994,1
GKO,omp,CG,BJ,0,8,1,0.181746,1
GKO,omp,CG,BJ,0,8,1,0.18598,1
GKO,omp,CG,BJ,0,8,1,0.184613,1
GKO,omp,CG,BJ,0,8,1,0.18754,1
GKO,omp,CG,BJ,0,8,1,0.185154,1
GKO,omp,CG,BJ,0,8,1,0.181472,1
GKO,omp,CG,BJ,0,8,1,0.188843,1
GKO,omp,CG,BJ,0,8,1,0.187169,1
GKO,omp,CG,BJ,0,8,1,0.182206,1
GKO,omp,CG,BJ,0,8,1,0.180986,1
GKO,omp,CG,BJ,0,8,1,0.187512,1
GKO,omp,CG,BJ,0,8,1,0.185704,1
GKO,omp,CG,BJ,0,8,1,0.183201,1
GKO,omp,CG,BJ,0,8,1,0.18852,1
GKO,omp,CG,BJ,0,8,1,0.190281,1
GKO,omp,CG,BJ,0,8,1,0.18465,1
GKO,omp,CG,BJ,0,8,1,0.184794,1
GKO,omp,CG,BJ,0,8,1,0.186439,1
GKO,omp,CG,BJ,0,8,1,0.187221,1
GKO,omp,CG,BJ,0,8,1,0.185921,1
GKO,omp,CG,BJ,0,8,1,0.178832,1
GKO,omp,CG,BJ,0,8,1,0.178611,1
GKO,omp,CG,BJ,0,8,1,0.18232,1
GKO,omp,CG,BJ,0,8,1,0.18925,1
GKO,omp,CG,BJ,0,8,1,0.187939,1
GKO,omp,CG,BJ,0,8,1,0.186674,1
GKO,omp,CG,BJ,0,8,1,0.181536,1
GKO,omp,CG,BJ,0,8,1,0.18258,1
GKO,omp,CG,BJ,0,8,1,0.18059,1
GKO,omp,CG,BJ,0,8,1,0.179773,1
GKO,omp,CG,BJ,0,8,1,0.179411,1
GKO,omp,CG,BJ,0,8,1,0.182169,1
GKO,omp,CG,BJ,0,8,1,0.182166,1
GKO,omp,CG,BJ,0,8,1,0.189473,1
GKO,omp,CG,BJ,0,8,1,0.182331,1
GKO,omp,CG,BJ,0,8,1,0.188789,1
GKO,omp,CG,BJ,0,8,1,0.187788,1
GKO,omp,CG,BJ,0,8,1,0.181789,1
GKO,omp,CG,BJ,0,8,1,0.186453,1
GKO,omp,CG,BJ,0,8,1,0.186273,1
GKO,omp,CG,BJ,0,8,1,0.181883,1
GKO,omp,CG,BJ,0,8,1,0.179874,1
GKO,omp,CG,BJ,0,8,1,0.188813,1
GKO,omp,CG,BJ,0,8,1,0.185303,1
GKO,omp,CG,BJ,0,8,1,0.181569,1
GKO,omp,CG,BJ,0,8,1,0.18627,1
GKO,omp,CG,BJ,0,8,1,0.189239,1
GKO,omp,CG,BJ,0,8,1,0.187664,1
GKO,omp,CG,BJ,0,8,1,0.187414,1
GKO,omp,CG,BJ,0,8,1,0.188638,1
GKO,omp,CG,BJ,0,8,1,0.187817,1
GKO,omp,CG,BJ,0,8,1,0.187734,1
GKO,omp,CG,BJ,0,8,1,0.180432,1
GKO,omp,CG,BJ,0,8,1,0.180258,1
GKO,omp,CG,BJ,0,8,1,0.181946,1
GKO,omp,CG,BJ,0,8,1,0.186636,1
GKO,omp,CG,BJ,0,8,1,0.188544,1
GKO,omp,CG,BJ,0,8,1,0.187507,1
GKO,omp,CG,BJ,0,8,1,0.184222,1
GKO,omp,CG,BJ,0,8,1,0.17798,1
GKO,omp,CG,BJ,0,8,1,0.182268,1
GKO,omp,CG,BJ,0,8,1,0.181055,1
GKO,omp,CG,BJ,0,8,1,0.180643,1
GKO,omp,CG,BJ,0,8,1,0.179945,1
GKO,omp,CG,BJ,0,8,1,0.187474,1
GKO,omp,CG,BJ,0,8,1,0.188631,1
GKO,omp,CG,BJ,0,8,1,0.186141,1
GKO,omp,CG,BJ,0,8,1,0.186778,1
GKO,omp,CG,BJ,0,8,1,0.184344,1
GKO,omp,CG,BJ,0,8,1,0.190854,1
GKO,omp,CG,BJ,0,8,1,0.18688,1
GKO,omp,CG,BJ,0,8,1,0.179488,1
GKO,omp,CG,BJ,0,8,1,0.183846,1
GKO,omp,CG,BJ,0,8,1,0.190232,1
GKO,omp,CG,BJ,0,8,1,0.190879,1
GKO,omp,CG,BJ,0,8,1,0.183089,1
GKO,omp,CG,BJ,0,8,1,0.190863,1
GKO,omp,CG,BJ,0,8,1,0.19025,1
GKO,omp,CG,BJ,0,8,1,0.184702,1
GKO,omp,CG,BJ,0,8,1,0.192899,1
GKO,omp,CG,BJ,0,8,1,0.190504,1
GKO,omp,CG,BJ,0,8,1,0.189317,1
GKO,omp,CG,BJ,0,8,1,0.187237,1
GKO,omp,CG,BJ,0,8,1,0.178385,1
GKO,omp,CG,BJ,0,8,1,0.181817,1
GKO,omp,CG,BJ,0,8,1,0.181614,1
GKO,omp,CG,BJ,0,8,1,0.187535,1
GKO,omp,CG,BJ,0,8,1,0.188494,1
GKO,omp,CG,BJ,0,8,1,0.184162,1
GKO,omp,CG,BJ,0,8,1,0.185443,1
GKO,omp,CG,BJ,0,8,1,0.179309,1
GKO,omp,CG,BJ,0,8,1,0.183681,1
GKO,omp,CG,BJ,0,8,1,0.182893,1
GKO,omp,CG,BJ,0,8,1,0.182685,1
GKO,omp,CG,BJ,0,8,1,0.184492,1
GKO,omp,CG,BJ,0,8,1,0.183195,1
GKO,omp,CG,BJ,0,8,1,0.188456,1
GKO,omp,CG,BJ,0,8,1,0.186377,1
GKO,omp,CG,BJ,0,8,1,0.18839,1
GKO,omp,CG,BJ,0,8,1,0.186039,1
GKO,omp,CG,BJ,0,8,1,0.183408,1
GKO,omp,CG,BJ,0,8,1,0.185326,1
GKO,omp,CG,BJ,0,8,1,0.188239,1
GKO,omp,CG,BJ,0,8,1,0.183065,1
GKO,omp,CG,BJ,0,8,1,0.181883,1
GKO,omp,CG,BJ,0,8,1,0.189269,1
GKO,omp,CG,BJ,0,8,1,0.18512,1
GKO,omp,CG,BJ,0,8,1,0.181792,1
GKO,omp,CG,BJ,0,8,1,0.187825,1
GKO,omp,CG,BJ,0,8,1,0.187898,1
GKO,omp,CG,BJ,0,8,1,0.185366,1
GKO,omp,CG,BJ,0,8,1,0.189156,1
GKO,omp,CG,BJ,0,8,1,0.191281,1
GKO,omp,CG,BJ,0,8,1,0.187795,1
GKO,omp,CG,BJ,0,8,1,0.185432,1
GKO,omp,CG,BJ,0,8,1,0.180924,1
GKO,omp,CG,BJ,0,8,1,0.181152,1
GKO,omp,CG,BJ,0,8,1,0.181845,1
GKO,omp,CG,BJ,0,8,1,0.186702,1
GKO,omp,CG,BJ,0,8,1,0.19376,1
GKO,omp,CG,BJ,0,8,1,0.186144,1
GKO,omp,CG,BJ,0,8,1,0.182579,1
GKO,omp,CG,BJ,0,8,1,0.180344,1
GKO,omp,CG,BJ,0,8,1,0.181434,1
GKO,omp,CG,BJ,0,8,1,0.180418,1
GKO,omp,CG,BJ,0,8,1,0.180588,1
GKO,omp,CG,BJ,0,8,1,0.181982,1
GKO,omp,CG,BJ,0,8,1,0.182188,1
GKO,omp,CG,BJ,0,8,1,0.185965,1
GKO,omp,CG,BJ,0,8,1,0.185224,1
GKO,omp,CG,BJ,0,8,1,0.186889,1
GKO,omp,CG,BJ,0,8,1,0.18353,1
GKO,omp,CG,BJ,0,8,1,0.183295,1
GKO,omp,CG,BJ,0,8,1,0.187552,1
GKO,omp,CG,BJ,0,8,1,0.186667,1
GKO,omp,CG,BJ,0,8,1,0.180596,1
GKO,omp,CG,BJ,0,8,1,0.181232,1
GKO,omp,CG,BJ,0,8,1,0.189872,1
GKO,omp,CG,BJ,0,8,1,0.185059,1
GKO,omp,CG,BJ,0,8,1,0.181861,1
GKO,omp,CG,BJ,0,8,1,0.190815,1
GKO,omp,CG,BJ,0,8,1,0.188137,1
GKO,omp,CG,BJ,0,8,1,0.183385,1
GKO,omp,CG,BJ,0,8,1,0.184866,1
GKO,omp,CG,BJ,0,8,1,0.188927,1
GKO,omp,CG,BJ,0,8,1,0.187704,1
GKO,omp,CG,BJ,0,8,1,0.186037,1
GKO,omp,CG,BJ,0,8,1,0.179308,1
GKO,omp,CG,BJ,0,8,1,0.185594,1
GKO,omp,CG,BJ,0,8,1,0.180894,1
GKO,omp,CG,BJ,0,8,1,0.188902,1
GKO,omp,CG,BJ,0,8,1,0.188252,1
GKO,omp,CG,BJ,0,8,1,0.188133,1
GKO,omp,CG,BJ,0,8,1,0.182326,1
GKO,omp,CG,BJ,0,8,1,0.181279,1
GKO,omp,CG,BJ,0,8,1,0.180503,1
GKO,omp,CG,BJ,0,8,1,0.179531,1
GKO,omp,CG,BJ,0,8,1,0.182719,1
GKO,omp,CG,BJ,0,8,1,0.183053,1
GKO,omp,CG,BJ,0,8,1,0.182083,1
GKO,omp,CG,BJ,0,8,1,0.187377,1
GKO,omp,CG,BJ,0,8,1,0.185753,1
GKO,omp,CG,BJ,0,8,1,0.189157,1
GKO,omp,CG,BJ,0,8,1,0.184961,1
GKO,omp,CG,BJ,0,8,2,0.197736,1
GKO,omp,CG,BJ,0,8,2,0.180955,1
GKO,omp,CG,BJ,0,8,2,0.178023,1
GKO,omp,CG,BJ,0,8,2,0.174863,1
GKO,omp,CG,BJ,0,8,2,0.170969,1
GKO,omp,CG,BJ,0,8,2,0.181316,1
GKO,omp,CG,BJ,0,8,2,0.176962,1
GKO,omp,CG,BJ,0,8,2,0.174247,1
GKO,omp,CG,BJ,0,8,2,0.177145,1
GKO,omp,CG,BJ,0,8,2,0.181996,1
GKO,omp,CG,BJ,0,8,2,0.176874,1
GKO,omp,CG,BJ,0,8,2,0.18006,1
GKO,omp,CG,BJ,0,8,2,0.176777,1
GKO,omp,CG,BJ,0,8,2,0.179855,1
GKO,omp,CG,BJ,0,8,2,0.179307,1
GKO,omp,CG,BJ,0,8,2,0.171674,1
GKO,omp,CG,BJ,0,8,2,0.169739,1
GKO,omp,CG,BJ,0,8,2,0.170479,1
GKO,omp,CG,BJ,0,8,2,0.177915,1
GKO,omp,CG,BJ,0,8,2,0.181558,1
GKO,omp,CG,BJ,0,8,2,0.176545,1
GKO,omp,CG,BJ,0,8,2,0.171344,1
GKO,omp,CG,BJ,0,8,2,0.17383,1
GKO,omp,CG,BJ,0,8,2,0.171931,1
GKO,omp,CG,BJ,0,8,2,0.174196,1
GKO,omp,CG,BJ,0,8,2,0.17363,1
GKO,omp,CG,BJ,0,8,2,0.171885,1
GKO,omp,CG,BJ,0,8,2,0.168193,1
GKO,omp,CG,BJ,0,8,2,0.177151,1
GKO,omp,CG,BJ,0,8,2,0.173611,1
GKO,omp,CG,BJ,0,8,2,0.177816,1
GKO,omp,CG,BJ,0,8,2,0.176511,1
GKO,omp,CG,BJ,0,8,2,0.174537,1
GKO,omp,CG,BJ,0,8,2,0.178592,1
GKO,omp,CG,BJ,0,8,2,0.175655,1
GKO,omp,CG,BJ,0,8,2,0.173493,1
GKO,omp,CG,BJ,0,8,2,0.175426,1
GKO,omp,CG,BJ,0,8,2,0.176646,1
GKO,omp,CG,BJ,0,8,2,0.174922,1
GKO,omp,CG,BJ,0,8,2,0.175938,1
GKO,omp,CG,BJ,0,8,2,0.178449,1
GKO,omp,CG,BJ,0,8,2,0.181164,1
GKO,omp,CG,BJ,0,8,2,0.172446,1
GKO,omp,CG,BJ,0,8,2,0.179777,1
GKO,omp,CG,BJ,0,8,2,0.180786,1
GKO,omp,CG,BJ,0,8,2,0.181837,1
GKO,omp,CG,BJ,0,8,2,0.174489,1
GKO,omp,CG,BJ,0,8,2,0.172402,1
GKO,omp,CG,BJ,0,8,2,0.1713,1
GKO,omp,CG,BJ,0,8,2,0.173226,1
GKO,omp,CG,BJ,0,8,2,0.176418,1
GKO,omp,CG,BJ,0,8,2,0.179311,1
GKO,omp,CG,BJ,0,8,2,0.179096,1
GKO,omp,CG,BJ,0,8,2,0.174495,1
GKO,omp,CG,BJ,0,8,2,0.174464,1
GKO,omp,CG,BJ,0,8,2,0.175723,1
GKO,omp,CG,BJ,0,8,2,0.17381,1
GKO,omp,CG,BJ,0,8,2,0.171865,1
GKO,omp,CG,BJ,0,8,2,0.170139,1
GKO,omp,CG,BJ,0,8,2,0.17104,1
GKO,omp,CG,BJ,0,8,2,0.175226,1
GKO,omp,CG,BJ,0,8,2,0.178283,1
GKO,omp,CG,BJ,0,8,2,0.180306,1
GKO,omp,CG,BJ,0,8,2,0.177648,1
GKO,omp,CG,BJ,0,8,2,0.173818,1
GKO,omp,CG,BJ,0,8,2,0.183012,1
GKO,omp,CG,BJ,0,8,2,0.181091,1
GKO,omp,CG,BJ,0,8,2,0.178061,1
GKO,omp,CG,BJ,0,8,2,0.174476,1
GKO,omp,CG,BJ,0,8,2,0.178623,1
GKO,omp,CG,BJ,0,8,2,0.180027,1
GKO,omp,CG,BJ,0,8,2,0.177643,1
GKO,omp,CG,BJ,0,8,2,0.179219,1
GKO,omp,CG,BJ,0,8,2,0.180858,1
GKO,omp,CG,BJ,0,8,2,0.178407,1
GKO,omp,CG,BJ,0,8,2,0.177321,1
GKO,omp,CG,BJ,0,8,2,0.16949,1
GKO,omp,CG,BJ,0,8,2,0.1725,1
GKO,omp,CG,BJ,0,8,2,0.17227,1
GKO,omp,CG,BJ,0,8,2,0.182672,1
GKO,omp,CG,BJ,0,8,2,0.178607,1
GKO,omp,CG,BJ,0,8,2,0.178714,1
GKO,omp,CG,BJ,0,8,2,0.172921,1
GKO,omp,CG,BJ,0,8,2,0.174054,1
GKO,omp,CG,BJ,0,8,2,0.174836,1
GKO,omp,CG,BJ,0,8,2,0.172353,1
GKO,omp,CG,BJ,0,8,2,0.173408,1
GKO,omp,CG,BJ,0,8,2,0.17217,1
GKO,omp,CG,BJ,0,8,2,0.172775,1
GKO,omp,CG,BJ,0,8,2,0.179906,1
GKO,omp,CG,BJ,0,8,2,0.175974,1
GKO,omp,CG,BJ,0,8,2,0.180014,1
GKO,omp,CG,BJ,0,8,2,0.176258,1
GKO,omp,CG,BJ,0,8,2,0.173168,1
GKO,omp,CG,BJ,0,8,2,0.177421,1
GKO,omp,CG,BJ,0,8,2,0.178305,1
GKO,omp,CG,BJ,0,8,2,0.171405,1
GKO,omp,CG,BJ,0,8,2,0.169414,1
GKO,omp,CG,BJ,0,8,2,0.177521,1
GKO,omp,CG,BJ,0,8,2,0.180782,1
GKO,omp,CG,BJ,0,8,2,0.175828,1
GKO,omp,CG,BJ,0,8,2,0.178369,1
GKO,omp,CG,BJ,0,8,2,0.18213,1
GKO,omp,CG,BJ,0,8,2,0.177914,1
GKO,omp,CG,BJ,0,8,2,0.176638,1
GKO,omp,CG,BJ,0,8,2,0.179888,1
GKO,omp,CG,BJ,0,8,2,0.17962,1
GKO,omp,CG,BJ,0,8,2,0.177346,1
GKO,omp,CG,BJ,0,8,2,0.172127,1
GKO,omp,CG,BJ,0,8,2,0.171355,1
GKO,omp,CG,BJ,0,8,2,0.175161,1
GKO,omp,CG,BJ,0,8,2,0.179377,1
GKO,omp,CG,BJ,0,8,2,0.180581,1
GKO,omp,CG,BJ,0,8,2,0.17984,1
GKO,omp,CG,BJ,0,8,2,0.174019,1
GKO,omp,CG,BJ,0,8,2,0.170541,1
GKO,omp,CG,BJ,0,8,2,0.173032,1
GKO,omp,CG,BJ,0,8,2,0.171246,1
GKO,omp,CG,BJ,0,8,2,0.17394,1
