domain,executor,solver,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,CG,BJ,0,8,1,2.56746,1
GKO,cuda,CG,BJ,0,8,1,1.171962,1
GKO,cuda,CG,BJ,0,8,1,1.192591,1
GKO,cuda,CG,BJ,0,8,1,1.1926,1
GKO,cuda,CG,BJ,0,8,1,1.194658,1
GKO,cuda,CG,BJ,0,8,1,1.188152,1
GKO,cuda,CG,BJ,0,8,1,1.191029,1
GKO,cuda,CG,BJ,0,8,1,1.187162,1
GKO,cuda,CG,BJ,0,8,1,1.188137,1
GKO,cuda,CG,BJ,0,8,1,1.195466,1
GKO,cuda,CG,BJ,0,8,1,1.173271,1
GKO,cuda,CG,BJ,0,8,1,1.172608,1
GKO,cuda,CG,BJ,0,8,1,1.202952,1
GKO,cuda,CG,BJ,0,8,1,1.194674,1
GKO,cuda,CG,BJ,0,8,1,1.19851,1
GKO,cuda,CG,BJ,0,8,1,1.191055,1
GKO,cuda,CG,BJ,0,8,1,1.18449,1
GKO,cuda,CG,BJ,0,8,1,1.18834,1
GKO,cuda,CG,BJ,0,8,1,1.182895,1
GKO,cuda,CG,BJ,0,8,1,1.195065,1
GKO,cuda,CG,BJ,0,8,1,1.219912,1
GKO,cuda,CG,BJ,0,8,1,1.181645,1
GKO,cuda,CG,BJ,0,8,1,1.194669,1
GKO,cuda,CG,BJ,0,8,1,1.190113,1
GKO,cuda,CG,BJ,0,8,1,1.193397,1
GKO,cuda,CG,BJ,0,8,1,1.196032,1
GKO,cuda,CG,BJ,0,8,1,1.188957,1
GKO,cuda,CG,BJ,0,8,1,1.187484,1
GKO,cuda,CG,BJ,0,8,1,1.190204,1
GKO,cuda,CG,BJ,0,8,1,1.19271,1
GKO,cuda,CG,BJ,0,8,1,1.184354,1
GKO,cuda,CG,BJ,0,8,1,1.18165,1
GKO,cuda,CG,BJ,0,8,1,1.192123,1
GKO,cuda,CG,BJ,0,8,1,1.193279,1
GKO,cuda,CG,BJ,0,8,1,1.184838,1
GKO,cuda,CG,BJ,0,8,1,1.186996,1
GKO,cuda,CG,BJ,0,8,1,1.186477,1
GKO,cuda,CG,BJ,0,8,1,1.190903,1
GKO,cuda,CG,BJ,0,8,1,1.19321,1
GKO,cuda,CG,BJ,0,8,1,1.189719,1
GKO,cuda,CG,BJ,0,8,1,1.19642,1
GKO,cuda,CG,BJ,0,8,1,1.19708,1
GKO,cuda,CG,BJ,0,8,1,1.202931,1
GKO,cuda,CG,BJ,0,8,1,1.240046,1
GKO,cuda,CG,BJ,0,8,1,1.23708,1
GKO,cuda,CG,BJ,0,8,1,1.205001,1
GKO,cuda,CG,BJ,0,8,1,1.219225,1
GKO,cuda,CG,BJ,0,8,1,1.187842,1
GKO,cuda,CG,BJ,0,8,1,1.227984,1
GKO,cuda,CG,BJ,0,8,1,1.23344,1
GKO,cuda,CG,none,0,8,1,1.202338,1
GKO,cuda,CG,none,0,8,1,1.182246,1
GKO,cuda,CG,none,0,8,1,1.18718,1
GKO,cuda,CG,none,0,8,1,1.191806,1
GKO,cuda,CG,none,0,8,1,1.203669,1
GKO,cuda,CG,none,0,8,1,1.190599,1
GKO,cuda,CG,none,0,8,1,1.187933,1
GKO,cuda,CG,none,0,8,1,1.190189,1
GKO,cuda,CG,none,0,8,1,1.242426,1
GKO,cuda,CG,none,0,8,1,1.199811,1
GKO,cuda,CG,none,0,8,1,1.195097,1
GKO,cuda,CG,none,0,8,1,1.199556,1
GKO,cuda,CG,none,0,8,1,1.19878,1
GKO,cuda,CG,none,0,8,1,1.188564,1
GKO,cuda,CG,none,0,8,1,1.188528,1
GKO,cuda,CG,none,0,8,1,1.188366,1
GKO,cuda,CG,none,0,8,1,1.201178,1
GKO,cuda,CG,none,0,8,1,1.202475,1
GKO,cuda,CG,none,0,8,1,1.226892,1
GKO,cuda,CG,none,0,8,1,1.213935,1
GKO,cuda,CG,none,0,8,1,1.204916,1
GKO,cuda,CG,none,0,8,1,1.209071,1
GKO,cuda,CG,none,0,8,1,1.202247,1
GKO,cuda,CG,none,0,8,1,1.199627,1
GKO,cuda,CG,none,0,8,1,1.200039,1
GKO,cuda,CG,none,0,8,1,1.208946,1
GKO,cuda,CG,none,0,8,1,1.193697,1
GKO,cuda,CG,none,0,8,1,1.198071,1
GKO,cuda,CG,none,0,8,1,1.189924,1
GKO,cuda,CG,none,0,8,1,1.19493,1
GKO,cuda,CG,none,0,8,1,1.203259,1
GKO,cuda,CG,none,0,8,1,1.184911,1
GKO,cuda,CG,none,0,8,1,1.202303,1
GKO,cuda,CG,none,0,8,1,1.187448,1
GKO,cuda,CG,none,0,8,1,1.190059,1
GKO,cuda,CG,none,0,8,1,1.195804,1
GKO,cuda,CG,none,0,8,1,1.187581,1
GKO,cuda,CG,none,0,8,1,1.195358,1
GKO,cuda,CG,none,0,8,1,1.189481,1
GKO,cuda,CG,none,0,8,1,1.189531,1
GKO,cuda,CG,none,0,8,1,1.188795,1
GKO,cuda,CG,none,0,8,1,1.205136,1
GKO,cuda,CG,none,0,8,1,1.185343,1
GKO,cuda,CG,none,0,8,1,1.18727,1
GKO,cuda,CG,none,0,8,1,1.199866,1
GKO,cuda,CG,none,0,8,1,1.198641,1
GKO,cuda,CG,none,0,8,1,1.191677,1
GKO,cuda,CG,none,0,8,1,1.202126,1
GKO,cuda,CG,none,0,8,1,1.198264,1
GKO,cuda,CG,none,0,8,1,1.198923,1
GKO,cuda,CG,none,0,8,1,1.201357,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.254939,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.241438,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.239175,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.254393,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.241682,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.239996,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.242172,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.240179,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.245611,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.240402,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.234926,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.239212,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.245149,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.241156,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.256527,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.241281,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.254972,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.242776,1
GKO,cuda,BiCGStab,BJ,0,8,1,1.234274,1
