backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210976,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.215967,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.221092,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.208012,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.209889,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.211385,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210053,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.204805,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.20673,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.219352,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.218458,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.209945,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.208531,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.208639,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210597,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210552,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.211348,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.209375,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210914,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.212569,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.215744,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210824,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.21464,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.210377,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.214501,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.214461,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.212792,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.21251,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.203426,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.217383,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.21088,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.206515,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.209408,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.209035,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.212522,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.206205,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.206056,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.20932,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.20893,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.219427,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.213762,1
GKO,cuda,CG,BiCGStab,none,0,8,1,1.205965,1
