backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,none,0,8,1,0.196342,1
OF,reference,CG,none,0,8,1,0.112995,1
OF,reference,CG,none,0,8,1,0.114902,1
OF,reference,CG,none,0,8,1,0.115705,1
OF,reference,CG,none,0,8,1,0.11355,1
OF,reference,CG,none,0,8,1,0.11592,1
OF,reference,CG,none,0,8,1,0.115923,1
OF,reference,CG,none,0,8,1,0.112887,1
OF,reference,CG,none,0,8,1,0.115747,1
OF,reference,CG,none,0,8,1,0.114678,1
OF,reference,CG,none,0,8,1,0.116011,1
OF,reference,CG,none,0,8,1,0.115999,1
OF,reference,CG,none,0,8,1,0.114227,1
OF,reference,CG,none,0,8,1,0.115269,1
OF,reference,CG,none,0,8,1,0.114859,1
OF,reference,CG,none,0,8,1,0.116672,1
OF,reference,CG,none,0,8,1,0.115102,1
OF,reference,CG,none,0,8,1,0.114341,1
OF,reference,CG,none,0,8,1,0.12242,1
OF,reference,CG,none,0,8,1,0.12559,1
OF,reference,CG,none,0,8,1,0.11881,1
OF,reference,CG,none,0,8,1,0.12153,1
OF,reference,CG,none,0,8,1,0.113749,1
OF,reference,CG,none,0,8,1,0.113753,1
OF,reference,CG,none,0,8,1,0.11587,1
OF,reference,CG,none,0,8,1,0.113911,1
OF,reference,CG,none,0,8,1,0.111498,1
OF,reference,CG,none,0,8,1,0.114016,1
OF,reference,CG,none,0,8,1,0.114486,1
OF,reference,CG,none,0,8,1,0.112606,1
OF,reference,CG,none,0,8,1,0.111375,1
OF,reference,CG,none,0,8,1,0.114113,1
OF,reference,CG,none,0,8,1,0.111816,1
OF,reference,CG,none,0,8,1,0.113166,1
OF,reference,CG,none,0,8,1,0.112605,1
OF,reference,CG,none,0,8,1,0.114427,1
OF,reference,CG,none,0,8,1,0.114083,1
OF,reference,CG,none,0,8,1,0.114808,1
OF,reference,CG,none,0,8,1,0.112746,1
OF,reference,CG,none,0,8,1,0.114104,1
OF,reference,CG,none,0,8,1,0.113785,1
OF,reference,CG,none,0,8,1,0.114413,1
OF,reference,CG,none,0,8,1,0.112451,1
OF,reference,CG,none,0,8,1,0.111734,1
OF,reference,CG,none,0,8,1,0.113749,1
OF,reference,CG,none,0,8,1,0.11338,1
OF,reference,CG,none,0,8,1,0.111973,1
OF,reference,CG,none,0,8,1,0.11353,1
OF,reference,CG,none,0,8,1,0.114204,1
OF,reference,CG,none,0,8,1,0.113114,1
OF,reference,CG,none,0,8,1,0.119857,1
OF,reference,CG,none,0,8,1,0.121698,1
OF,reference,CG,none,0,8,1,0.116428,1
OF,reference,CG,none,0,8,1,0.113915,1
OF,reference,CG,none,0,8,1,0.11374,1
OF,reference,CG,none,0,8,1,0.115939,1
OF,reference,CG,none,0,8,1,0.113485,1
OF,reference,CG,none,0,8,1,0.11245,1
OF,reference,CG,none,0,8,1,0.114287,1
OF,reference,CG,none,0,8,1,0.115215,1
OF,reference,CG,none,0,8,1,0.111851,1
OF,reference,CG,none,0,8,1,0.1125,1
OF,reference,CG,none,0,8,1,0.112389,1
OF,reference,CG,none,0,8,1,0.114531,1
OF,reference,CG,none,0,8,1,0.113553,1
OF,reference,CG,none,0,8,1,0.11196,1
OF,reference,CG,none,0,8,1,0.112351,1
OF,reference,CG,none,0,8,1,0.113412,1
OF,reference,CG,none,0,8,1,0.112907,1
OF,reference,CG,none,0,8,1,0.112886,1
OF,reference,CG,none,0,8,1,0.112473,1
OF,reference,CG,none,0,8,1,0.11304,1
OF,reference,CG,none,0,8,1,0.112752,1
OF,reference,CG,none,0,8,1,0.112856,1
OF,reference,CG,none,0,8,1,0.112491,1
OF,reference,CG,none,0,8,1,0.114524,1
OF,reference,CG,none,0,8,1,0.111341,1
OF,reference,CG,none,0,8,1,0.111479,1
OF,reference,CG,none,0,8,1,0.115107,1
OF,reference,CG,none,0,8,1,0.112553,1
OF,reference,CG,none,0,8,1,0.117069,1
OF,reference,CG,none,0,8,1,0.12092,1
OF,reference,CG,none,0,8,1,0.120151,1
OF,reference,CG,none,0,8,1,0.115171,1
OF,reference,CG,none,0,8,1,0.112961,1
OF,reference,CG,none,0,8,1,0.112016,1
OF,reference,CG,none,0,8,1,0.115723,1
OF,reference,CG,none,0,8,1,0.112156,1
OF,reference,CG,none,0,8,1,0.112679,1
OF,reference,CG,none,0,8,1,0.116686,1
OF,reference,CG,none,0,8,1,0.1127,1
OF,reference,CG,none,0,8,1,0.109687,1
OF,reference,CG,none,0,8,1,0.112225,1
OF,reference,CG,none,0,8,1,0.111579,1
OF,reference,CG,none,0,8,1,0.111605,1
OF,reference,CG,none,0,8,1,0.113923,1
OF,reference,CG,none,0,8,1,0.117049,1
OF,reference,CG,none,0,8,1,0.113862,1
OF,reference,CG,none,0,8,1,0.113546,1
OF,reference,CG,none,0,8,1,0.111359,1
OF,reference,CG,none,0,8,1,0.114586,1
OF,reference,CG,none,0,8,1,0.112166,1
OF,reference,CG,none,0,8,1,0.111449,1
OF,reference,CG,none,0,8,1,0.111338,1
OF,reference,CG,none,0,8,1,0.11288,1
OF,reference,CG,none,0,8,1,0.113959,1
OF,reference,CG,none,0,8,1,0.111997,1
OF,reference,CG,none,0,8,1,0.113275,1
OF,reference,CG,none,0,8,1,0.118449,1
OF,reference,CG,none,0,8,1,0.112336,1
OF,reference,CG,none,0,8,1,0.111941,1
OF,reference,CG,none,0,8,1,0.113164,1
OF,reference,CG,none,0,8,1,0.112241,1
OF,reference,CG,none,0,8,1,0.120752,1
OF,reference,CG,none,0,8,1,0.118714,1
OF,reference,CG,none,0,8,1,0.114092,1
OF,reference,CG,none,0,8,1,0.114448,1
OF,reference,CG,none,0,8,1,0.112653,1
OF,reference,CG,none,0,8,1,0.113241,1
OF,reference,CG,none,0,8,1,0.11223,1
OF,reference,CG,none,0,8,1,0.111416,1
OF,reference,CG,none,0,8,1,0.112561,1
OF,reference,CG,none,0,8,1,0.11347,1
OF,reference,CG,none,0,8,1,0.112318,1
OF,reference,CG,none,0,8,1,0.112165,1
OF,reference,CG,none,0,8,1,0.114763,1
OF,reference,CG,none,0,8,1,0.1138,1
OF,reference,CG,none,0,8,1,0.113011,1
OF,reference,CG,none,0,8,1,0.112338,1
OF,reference,CG,none,0,8,1,0.110321,1
OF,reference,CG,none,0,8,1,0.113162,1
OF,reference,CG,none,0,8,1,0.111048,1
OF,reference,CG,none,0,8,1,0.114944,1
OF,reference,CG,none,0,8,1,0.110836,1
OF,reference,CG,none,0,8,1,0.112896,1
OF,reference,CG,none,0,8,1,0.113358,1
OF,reference,CG,none,0,8,1,0.112206,1
OF,reference,CG,none,0,8,1,0.113219,1
OF,reference,CG,none,0,8,1,0.113113,1
