backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
OF,reference,CG,BiCGStab,none,0,8,1,0.116335,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114454,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121173,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121065,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11299,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11415,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110488,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118235,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118607,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114272,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113371,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112481,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111678,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11479,1
OF,reference,CG,BiCGStab,none,0,8,1,0.117213,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118565,1
OF,reference,CG,BiCGStab,none,0,8,1,0.116931,1
OF,reference,CG,BiCGStab,none,0,8,1,0.112778,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113731,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111028,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113539,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114561,1
OF,reference,CG,BiCGStab,none,0,8,1,0.11254,1
OF,reference,CG,BiCGStab,none,0,8,1,0.110723,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118321,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118721,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119277,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118211,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113253,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115852,1
OF,reference,CG,BiCGStab,none,0,8,1,0.120718,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118863,1
OF,reference,CG,BiCGStab,none,0,8,1,0.111379,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114665,1
OF,reference,CG,BiCGStab,none,0,8,1,0.118583,1
OF,reference,CG,BiCGStab,none,0,8,1,0.12126,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114759,1
OF,reference,CG,BiCGStab,none,0,8,1,0.114318,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113158,1
OF,reference,CG,BiCGStab,none,0,8,1,0.119167,1
OF,reference,CG,BiCGStab,none,0,8,1,0.121488,1
OF,reference,CG,BiCGStab,none,0,8,1,0.115181,1
OF,reference,CG,BiCGStab,none,0,8,1,0.113873,1
