backend,executor,solver-p,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,omp,CG,none,0,8,1,0.31363,1
GKO,omp,CG,none,0,8,1,0.299066,1
GKO,omp,CG,none,0,8,1,0.296072,1
GKO,omp,CG,none,0,8,1,0.299737,1
GKO,omp,CG,none,0,8,1,0.297059,1
GKO,omp,CG,none,0,8,1,0.296565,1
GKO,omp,CG,none,0,8,1,0.296904,1
GKO,omp,CG,none,0,8,1,0.293802,1
GKO,omp,CG,none,0,8,1,0.296429,1
GKO,omp,CG,none,0,8,1,0.298227,1
GKO,omp,CG,none,0,8,1,0.295901,1
GKO,omp,CG,none,0,8,1,0.303356,1
GKO,omp,CG,none,0,8,1,0.300723,1
GKO,omp,CG,none,0,8,1,0.302532,1
GKO,omp,CG,none,0,8,1,0.299344,1
GKO,omp,CG,none,0,8,1,0.293442,1
GKO,omp,CG,none,0,8,1,0.296692,1
GKO,omp,CG,none,0,8,1,0.29549,1
GKO,omp,CG,none,0,8,1,0.298402,1
GKO,omp,CG,none,0,8,1,0.295801,1
GKO,omp,CG,none,0,8,1,0.294975,1
GKO,omp,CG,none,0,8,1,0.292475,1
GKO,omp,CG,none,0,8,1,0.297057,1
GKO,omp,CG,none,0,8,1,0.298364,1
GKO,omp,CG,none,0,8,1,0.301617,1
GKO,omp,CG,none,0,8,1,0.301192,1
GKO,omp,CG,none,0,8,1,0.302409,1
GKO,omp,CG,none,0,8,1,0.299949,1
GKO,omp,CG,none,0,8,1,0.297218,1
GKO,omp,CG,none,0,8,1,0.298618,1
GKO,omp,CG,none,0,8,1,0.295458,1
GKO,omp,CG,none,0,8,1,0.296331,1
GKO,omp,CG,none,0,8,1,0.290786,1
GKO,omp,CG,none,0,8,1,0.288651,1
GKO,omp,CG,none,0,8,1,0.288469,1
GKO,omp,CG,none,0,8,1,0.28918,1
GKO,omp,CG,none,0,8,1,0.294475,1
GKO,omp,CG,none,0,8,1,0.296768,1
GKO,omp,CG,none,0,8,1,0.29883,1
GKO,omp,CG,none,0,8,1,0.300138,1
GKO,omp,CG,none,0,8,1,0.296709,1
GKO,omp,CG,none,0,8,1,0.298033,1
GKO,omp,CG,none,0,8,1,0.293313,1
GKO,omp,CG,none,0,8,1,0.295055,1
GKO,omp,CG,none,0,8,1,0.298513,1
GKO,omp,CG,none,0,8,1,0.288923,1
GKO,omp,CG,none,0,8,1,0.291609,1
GKO,omp,CG,none,0,8,1,0.298081,1
GKO,omp,CG,none,0,8,1,0.296446,1
GKO,omp,CG,none,0,8,1,0.290652,1
GKO,omp,CG,none,0,8,1,0.290337,1
GKO,omp,CG,none,0,8,1,0.299778,1
GKO,omp,CG,none,0,8,1,0.297025,1
GKO,omp,CG,none,0,8,1,0.294619,1
GKO,omp,CG,none,0,8,1,0.299081,1
GKO,omp,CG,none,0,8,1,0.298804,1
GKO,omp,CG,none,0,8,1,0.297987,1
GKO,omp,CG,none,0,8,1,0.298228,1
GKO,omp,CG,none,0,8,1,0.293974,1
GKO,omp,CG,none,0,8,1,0.289814,1
GKO,omp,CG,none,0,8,1,0.295902,1
GKO,omp,CG,none,0,8,1,0.291673,1
GKO,omp,CG,none,0,8,1,0.29781,1
GKO,omp,CG,none,0,8,1,0.294411,1
GKO,omp,CG,none,0,8,1,0.297506,1
GKO,omp,CG,none,0,8,1,0.297299,1
GKO,omp,CG,none,0,8,1,0.298442,1
GKO,omp,CG,none,0,8,1,0.291197,1
