backend,executor,solver-p,solver-U,preconditioner,number_of_iterations,resolution,processes,run_time,success
GKO,omp,CG,BiCGStab,none,0,8,2,0.244997,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.232277,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.228616,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.228534,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.225958,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.229142,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227704,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227379,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.22525,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.23189,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227723,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.225129,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.22971,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.231061,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.22661,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.226698,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.22817,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227615,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.230351,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.22503,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.230871,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.226974,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.226227,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227024,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227815,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.224571,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.226868,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.228343,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.231179,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.226265,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.229009,1
GKO,omp,CG,BiCGStab,none,0,8,2,0.227718,1
