backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,10,1,0.317636,1,1278
GKO,omp,CG,none,10,1,0.239313,1,1278
GKO,omp,CG,none,10,1,0.233342,1,1278
GKO,omp,CG,none,10,1,0.235315,1,1278
GKO,omp,CG,none,10,1,0.233759,1,1278
GKO,omp,CG,none,10,1,0.22733,1,1278
GKO,omp,CG,none,10,1,0.229831,1,1278
GKO,omp,CG,none,10,1,0.234222,1,1278
GKO,omp,CG,none,10,1,0.225539,1,1278
GKO,omp,CG,none,10,1,0.229138,1,1278
GKO,omp,CG,none,10,1,0.227351,1,1278
GKO,omp,CG,none,10,1,0.233697,1,1278
GKO,omp,CG,none,10,1,0.237564,1,1278
GKO,omp,CG,none,10,1,0.230065,1,1278
GKO,omp,CG,none,10,1,0.231484,1,1278
GKO,omp,CG,none,10,1,0.233095,1,1278
GKO,omp,CG,none,10,1,0.232593,1,1278
GKO,omp,CG,none,10,1,0.235689,1,1278
GKO,omp,CG,none,10,1,0.232701,1,1278
GKO,omp,CG,none,10,1,0.227259,1,1278
GKO,omp,CG,none,10,1,0.228996,1,1278
GKO,omp,CG,none,10,1,0.230334,1,1278
GKO,omp,CG,none,10,1,0.233102,1,1278
GKO,omp,CG,none,10,1,0.233123,1,1278
GKO,omp,CG,none,10,1,0.233238,1,1278
GKO,omp,CG,none,10,1,0.230921,1,1278
GKO,omp,CG,none,10,1,0.24005,1,1278
GKO,omp,CG,none,10,1,0.23153,1,1278
GKO,omp,CG,none,10,1,0.227774,1,1278
GKO,omp,CG,none,10,1,0.229684,1,1278
GKO,omp,CG,none,10,1,0.233498,1,1278
GKO,omp,CG,none,10,1,0.236017,1,1278
GKO,omp,CG,none,10,1,0.229447,1,1278
GKO,omp,CG,none,10,1,0.227886,1,1278
GKO,omp,CG,none,10,1,0.228541,1,1278
GKO,omp,CG,none,10,1,0.228671,1,1278
GKO,omp,CG,none,10,1,0.228064,1,1278
GKO,omp,CG,none,10,1,0.226628,1,1278
GKO,omp,CG,none,10,1,0.229219,1,1278
GKO,omp,CG,none,10,1,0.229755,1,1278
GKO,omp,CG,none,10,1,0.231237,1,1278
GKO,omp,CG,none,10,1,0.225535,1,1278
GKO,omp,CG,none,10,1,0.229731,1,1278
GKO,omp,CG,none,10,1,0.228153,1,1278
GKO,omp,CG,none,10,1,0.233866,1,1278
GKO,omp,CG,none,10,1,0.228594,1,1278
GKO,omp,CG,none,10,1,0.229958,1,1278
GKO,omp,CG,none,10,1,0.230875,1,1278
GKO,omp,CG,none,10,1,0.22961,1,1278
GKO,omp,CG,none,10,1,0.235732,1,1278
GKO,omp,CG,none,10,1,0.230814,1,1278
GKO,omp,CG,none,10,1,0.231506,1,1278
GKO,omp,CG,none,10,1,0.227593,1,1278
GKO,omp,CG,none,10,1,0.232518,1,1278
GKO,omp,CG,none,10,1,0.231881,1,1278
GKO,omp,CG,none,10,1,0.228783,1,1278
GKO,omp,CG,none,10,1,0.235022,1,1278
GKO,omp,CG,none,10,1,0.233976,1,1278
GKO,omp,CG,none,10,1,0.23988,1,1278
GKO,omp,CG,none,10,1,0.232607,1,1278
GKO,omp,CG,none,10,1,0.227933,1,1278
GKO,omp,CG,none,10,1,0.22824,1,1278
GKO,omp,CG,none,10,1,0.232706,1,1278
GKO,omp,CG,none,10,1,0.233556,1,1278
GKO,omp,CG,none,10,1,0.232097,1,1278
GKO,omp,CG,none,10,1,0.227201,1,1278
GKO,omp,CG,none,10,1,0.227114,1,1278
GKO,omp,CG,none,10,1,0.225197,1,1278
GKO,omp,CG,none,10,1,0.22798,1,1278
GKO,omp,CG,none,10,1,0.227693,1,1278
GKO,omp,CG,none,10,1,0.227351,1,1278
GKO,omp,CG,none,10,1,0.22623,1,1278
GKO,omp,CG,none,10,1,0.227341,1,1278
GKO,omp,CG,none,10,1,0.229784,1,1278
GKO,omp,CG,none,10,1,0.227686,1,1278
GKO,omp,CG,none,10,1,0.23094,1,1278
GKO,omp,CG,none,10,1,0.235666,1,1278
GKO,omp,CG,none,10,1,0.227081,1,1278
GKO,omp,CG,none,10,1,0.230131,1,1278
GKO,omp,CG,none,10,1,0.239273,1,1278
GKO,omp,CG,none,10,1,0.233411,1,1278
GKO,omp,CG,none,10,1,0.231784,1,1278
GKO,omp,CG,none,10,1,0.22988,1,1278
GKO,omp,CG,none,10,1,0.232641,1,1278
GKO,omp,CG,none,10,1,0.232068,1,1278
GKO,omp,CG,none,10,1,0.232024,1,1278
GKO,omp,CG,none,10,1,0.237364,1,1278
GKO,omp,CG,none,10,1,0.23284,1,1278
GKO,omp,CG,none,10,1,0.226449,1,1278
GKO,omp,CG,none,10,1,0.224962,1,1278
GKO,omp,CG,none,10,1,0.228246,1,1278
GKO,omp,CG,none,10,1,0.231162,1,1278
GKO,omp,CG,none,10,1,0.23227,1,1278
GKO,omp,CG,none,10,1,0.228251,1,1278
GKO,omp,CG,none,10,1,0.227898,1,1278
GKO,omp,CG,none,10,1,0.225705,1,1278
GKO,omp,CG,none,10,1,0.228529,1,1278
GKO,omp,CG,none,10,1,0.229037,1,1278
GKO,omp,CG,none,10,1,0.23095,1,1278
GKO,omp,CG,none,10,1,0.231334,1,1278
GKO,omp,CG,none,10,1,0.229972,1,1278
GKO,omp,CG,none,10,1,0.228647,1,1278
GKO,omp,CG,none,10,1,0.227868,1,1278
GKO,omp,CG,none,10,1,0.227384,1,1278
GKO,omp,CG,none,10,1,0.229568,1,1278
GKO,omp,CG,none,10,1,0.233143,1,1278
GKO,omp,CG,none,10,1,0.227081,1,1278
GKO,omp,CG,none,10,1,0.229785,1,1278
GKO,omp,CG,none,10,1,0.229886,1,1278
GKO,omp,CG,none,10,1,0.230406,1,1278
GKO,omp,CG,none,10,1,0.230759,1,1278
GKO,omp,CG,none,10,1,0.230302,1,1278
GKO,omp,CG,none,10,1,0.229822,1,1278
GKO,omp,CG,none,10,1,0.230307,1,1278
GKO,omp,CG,none,10,1,0.232226,1,1278
GKO,omp,CG,none,10,1,0.232719,1,1278
GKO,omp,CG,none,10,1,0.23497,1,1278
GKO,omp,CG,none,10,1,0.233234,1,1278
GKO,omp,CG,none,10,1,0.243656,1,1278
GKO,omp,CG,none,10,1,0.233663,1,1278
