backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,10,1,2.320616,1,1276
GKO,cuda,CG,none,10,1,1.277523,1,1276
GKO,cuda,CG,none,10,1,1.275511,1,1276
GKO,cuda,CG,none,10,1,1.2831,1,1276
GKO,cuda,CG,none,10,1,1.29613,1,1276
GKO,cuda,CG,none,10,1,1.284103,1,1276
GKO,cuda,CG,none,10,1,1.285358,1,1276
GKO,cuda,CG,none,10,1,1.29166,1,1276
GKO,cuda,CG,none,10,1,1.294796,1,1276
GKO,cuda,CG,none,10,1,1.28034,1,1276
GKO,cuda,CG,none,10,1,1.266233,1,1276
GKO,cuda,CG,none,10,1,1.288903,1,1276
GKO,cuda,CG,none,10,1,1.299822,1,1276
GKO,cuda,CG,none,10,1,1.291483,1,1276
GKO,cuda,CG,none,10,1,1.283157,1,1276
GKO,cuda,CG,none,10,1,1.299605,1,1276
GKO,cuda,CG,none,10,1,1.280309,1,1276
GKO,cuda,CG,none,10,1,1.286022,1,1276
GKO,cuda,CG,none,10,1,1.278889,1,1276
GKO,cuda,CG,none,10,1,1.270552,1,1276
GKO,cuda,CG,none,10,1,1.279133,1,1276
GKO,cuda,CG,none,10,1,1.34194,1,1276
GKO,cuda,CG,none,10,1,1.288649,1,1276
GKO,cuda,CG,none,10,1,1.297065,1,1276
GKO,cuda,CG,none,10,1,1.276693,1,1276
GKO,cuda,CG,none,10,1,1.285537,1,1276
GKO,cuda,CG,none,10,1,1.268337,1,1276
GKO,cuda,CG,none,10,1,1.280192,1,1276
GKO,cuda,CG,none,10,1,1.270774,1,1276
GKO,cuda,CG,none,10,1,1.277994,1,1276
GKO,cuda,CG,none,10,1,1.281091,1,1276
GKO,cuda,CG,none,10,1,1.279496,1,1276
GKO,cuda,CG,none,10,1,1.305668,1,1276
GKO,cuda,CG,none,10,1,1.367772,1,1276
GKO,cuda,CG,none,10,1,1.312387,1,1276
GKO,cuda,CG,none,10,1,1.332249,1,1276
GKO,cuda,CG,none,10,1,1.288611,1,1276
GKO,cuda,CG,none,10,1,1.298519,1,1276
GKO,cuda,CG,none,10,1,1.362197,1,1276
GKO,cuda,CG,none,10,1,1.332059,1,1276
GKO,cuda,CG,none,10,1,1.311701,1,1276
GKO,cuda,CG,none,10,1,1.409257,1,1276
GKO,cuda,CG,none,10,1,1.313633,1,1276
GKO,cuda,CG,none,10,1,1.323059,1,1276
GKO,cuda,CG,none,10,1,1.291436,1,1276
GKO,cuda,CG,none,10,1,1.317647,1,1276
GKO,cuda,BiCGStab,none,10,1,1.452599,1,1005
GKO,cuda,BiCGStab,none,10,1,1.562036,1,1005
GKO,cuda,BiCGStab,none,10,1,1.758305,1,1005
GKO,cuda,BiCGStab,none,10,1,1.776934,1,1005
GKO,cuda,BiCGStab,none,10,1,1.663042,1,1005
GKO,cuda,BiCGStab,none,10,1,1.896889,1,1005
GKO,cuda,BiCGStab,none,10,1,1.514751,1,1005
GKO,cuda,BiCGStab,none,10,1,1.466913,1,1005
GKO,cuda,BiCGStab,none,10,1,1.461519,1,1005
GKO,cuda,BiCGStab,none,10,1,1.454612,1,1005
GKO,cuda,BiCGStab,none,10,1,1.630701,1,1005
GKO,cuda,BiCGStab,none,10,1,1.454055,1,1005
GKO,cuda,BiCGStab,none,10,1,1.556636,1,1005
GKO,cuda,BiCGStab,none,10,1,1.569848,1,1005
GKO,cuda,BiCGStab,none,10,1,1.441253,1,1005
GKO,cuda,BiCGStab,none,10,1,1.441485,1,1005
GKO,cuda,BiCGStab,none,10,1,1.615874,1,1005
GKO,cuda,BiCGStab,none,10,1,1.506308,1,1005
GKO,cuda,BiCGStab,none,10,1,1.468405,1,1005
GKO,cuda,BiCGStab,none,10,1,1.438462,1,1005
GKO,cuda,BiCGStab,none,10,1,1.468215,1,1005
GKO,cuda,BiCGStab,none,10,1,1.503176,1,1005
GKO,cuda,BiCGStab,none,10,1,1.468015,1,1005
GKO,cuda,BiCGStab,none,10,1,1.452335,1,1005
GKO,cuda,BiCGStab,none,10,1,1.475265,1,1005
GKO,cuda,BiCGStab,none,10,1,1.449767,1,1005
GKO,cuda,BiCGStab,none,10,1,1.459512,1,1005
GKO,cuda,BiCGStab,none,10,1,1.444849,1,1005
GKO,cuda,BiCGStab,none,10,1,1.446874,1,1005
GKO,cuda,BiCGStab,none,10,1,1.871265,1,1005
GKO,cuda,BiCGStab,none,10,1,1.485944,1,1005
GKO,cuda,BiCGStab,none,10,1,2.019731,1,1005
GKO,cuda,BiCGStab,none,10,1,1.707771,1,1005
GKO,cuda,BiCGStab,none,10,1,1.995768,1,1005
GKO,cuda,BiCGStab,none,10,1,1.476708,1,1005
GKO,cuda,BiCGStab,none,10,1,1.919122,1,1005
GKO,cuda,BiCGStab,none,10,1,1.554826,1,1005
GKO,cuda,BiCGStab,none,10,1,2.02343,1,1005
GKO,cuda,CG,none,20,1,1.7684,1,2794
GKO,cuda,CG,none,20,1,1.756691,1,2794
GKO,cuda,CG,none,20,1,1.732602,1,2794
GKO,cuda,CG,none,20,1,1.82773,1,2794
GKO,cuda,CG,none,20,1,1.750746,1,2794
GKO,cuda,CG,none,20,1,1.750267,1,2794
GKO,cuda,CG,none,20,1,1.825103,1,2794
GKO,cuda,CG,none,20,1,1.841133,1,2794
GKO,cuda,CG,none,20,1,1.788605,1,2794
GKO,cuda,CG,none,20,1,1.750996,1,2794
GKO,cuda,CG,none,20,1,1.72538,1,2794
GKO,cuda,CG,none,20,1,1.742031,1,2794
GKO,cuda,CG,none,20,1,1.733968,1,2794
GKO,cuda,CG,none,20,1,1.726709,1,2794
GKO,cuda,CG,none,20,1,1.747997,1,2794
GKO,cuda,CG,none,20,1,1.722561,1,2794
GKO,cuda,CG,none,20,1,1.717735,1,2794
GKO,cuda,CG,none,20,1,1.705022,1,2794
GKO,cuda,CG,none,20,1,1.731462,1,2794
GKO,cuda,CG,none,20,1,1.689724,1,2794
GKO,cuda,CG,none,20,1,1.696522,1,2794
GKO,cuda,CG,none,20,1,1.717095,1,2794
GKO,cuda,CG,none,20,1,1.701362,1,2794
GKO,cuda,CG,none,20,1,1.704822,1,2794
GKO,cuda,CG,none,20,1,2.494863,1,2794
GKO,cuda,CG,none,20,1,1.735238,1,2794
GKO,cuda,CG,none,20,1,1.655233,1,2794
GKO,cuda,CG,none,20,1,1.707242,1,2794
GKO,cuda,CG,none,20,1,1.706335,1,2794
GKO,cuda,CG,none,20,1,1.678765,1,2794
GKO,cuda,CG,none,20,1,1.670442,1,2794
GKO,cuda,CG,none,20,1,1.668824,1,2794
GKO,cuda,CG,none,20,1,1.6685,1,2794
GKO,cuda,CG,none,20,1,1.665629,1,2794
GKO,cuda,CG,none,20,1,1.663866,1,2794
GKO,cuda,BiCGStab,none,20,1,1.984178,1,2199
GKO,cuda,BiCGStab,none,20,1,2.021505,1,2199
GKO,cuda,BiCGStab,none,20,1,2.032753,1,2199
GKO,cuda,BiCGStab,none,20,1,1.976653,1,2199
GKO,cuda,BiCGStab,none,20,1,1.987665,1,2199
GKO,cuda,BiCGStab,none,20,1,1.982765,1,2199
GKO,cuda,BiCGStab,none,20,1,1.978078,1,2199
GKO,cuda,BiCGStab,none,20,1,1.975777,1,2199
GKO,cuda,BiCGStab,none,20,1,1.977176,1,2199
GKO,cuda,BiCGStab,none,20,1,1.97712,1,2199
GKO,cuda,BiCGStab,none,20,1,1.98984,1,2199
GKO,cuda,BiCGStab,none,20,1,2.01395,1,2199
GKO,cuda,BiCGStab,none,20,1,1.990261,1,2199
