backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,25,1,0.590333,1,1669
OF,reference,CG,none,25,1,0.526847,1,1669
OF,reference,CG,none,25,1,0.515167,1,1669
OF,reference,CG,none,25,1,0.518459,1,1669
OF,reference,CG,none,25,1,0.516587,1,1669
OF,reference,CG,none,25,1,0.5144,1,1669
OF,reference,CG,none,25,1,0.518313,1,1669
OF,reference,CG,none,25,1,0.513464,1,1669
OF,reference,CG,none,25,1,0.507845,1,1669
OF,reference,CG,none,25,1,0.511314,1,1669
OF,reference,CG,none,25,1,0.508548,1,1669
OF,reference,CG,none,25,1,0.509876,1,1669
OF,reference,CG,none,25,1,0.513093,1,1669
OF,reference,CG,none,25,1,0.515161,1,1669
OF,reference,CG,none,25,1,0.512031,1,1669
OF,reference,CG,none,25,1,0.510753,1,1669
OF,reference,CG,none,25,1,0.508313,1,1669
OF,reference,CG,none,25,1,0.506337,1,1669
OF,reference,CG,none,25,1,0.509609,1,1669
OF,reference,CG,none,25,1,0.506474,1,1669
OF,reference,CG,none,25,1,0.509469,1,1669
OF,reference,CG,none,25,1,0.509338,1,1669
OF,reference,CG,none,25,1,0.509934,1,1669
OF,reference,CG,none,25,1,0.510093,1,1669
OF,reference,CG,none,25,1,0.507896,1,1669
OF,reference,CG,none,25,1,0.507463,1,1669
OF,reference,CG,none,25,1,0.506459,1,1669
OF,reference,CG,none,25,1,0.504793,1,1669
OF,reference,CG,none,25,1,0.504136,1,1669
OF,reference,CG,none,25,1,0.507118,1,1669
OF,reference,CG,none,25,1,0.505493,1,1669
OF,reference,CG,none,25,1,0.507159,1,1669
OF,reference,CG,none,25,1,0.511707,1,1669
OF,reference,CG,none,25,1,0.510229,1,1669
OF,reference,CG,none,25,1,0.514968,1,1669
OF,reference,CG,none,25,1,0.513034,1,1669
OF,reference,CG,none,25,1,0.509965,1,1669
OF,reference,CG,none,25,1,0.50629,1,1669
OF,reference,CG,none,25,1,0.512384,1,1669
OF,reference,CG,none,25,1,0.50946,1,1669
OF,reference,CG,none,25,1,0.512345,1,1669
OF,reference,CG,none,25,1,0.511417,1,1669
OF,reference,CG,none,25,1,0.514798,1,1669
OF,reference,CG,none,25,1,0.51419,1,1669
OF,reference,CG,none,25,1,0.519553,1,1669
OF,reference,CG,none,25,1,0.507792,1,1669
OF,reference,CG,none,25,1,0.509762,1,1669
OF,reference,CG,none,25,1,0.509543,1,1669
OF,reference,CG,none,25,1,0.507397,1,1669
OF,reference,CG,none,25,1,0.510688,1,1669
OF,reference,CG,none,25,1,0.512477,1,1669
OF,reference,CG,none,25,1,0.512121,1,1669
OF,reference,CG,none,25,1,0.51576,1,1669
