backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,25,1,0.531011,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506458,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507256,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508623,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513555,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506268,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508034,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.516152,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508747,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509616,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508057,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512904,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510245,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510548,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508141,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512853,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507755,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510819,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511899,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509218,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508078,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513131,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510251,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50783,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511085,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507227,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507283,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505773,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511251,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507993,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.515073,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509155,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507942,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.503995,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505282,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508572,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504793,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507824,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507166,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508566,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507088,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513354,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508251,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509278,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506424,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50663,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504883,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.503912,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506588,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509416,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509868,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507374,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.503592,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512076,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51041,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509826,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504333,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508819,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504254,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50885,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511352,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.515172,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513338,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511824,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50347,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508921,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505787,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509061,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507229,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50482,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507382,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509144,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508935,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.502933,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508311,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506214,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504646,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505285,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505088,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508129,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50166,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506414,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505193,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509517,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512889,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513941,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508125,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507528,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505617,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506789,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504558,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509127,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507162,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512976,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514027,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509386,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504989,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507704,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508717,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.525831,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507667,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504796,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505408,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505159,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.508952,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50626,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507577,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506303,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506873,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507987,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506966,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.505658,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506171,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514595,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.506156,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509799,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.504867,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.507102,1,1719
OF,reference,BiCGStab,BiCGStab,none,25,1,0.71444,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.698631,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696895,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.70901,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.700417,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.702012,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696085,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694276,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.695865,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694871,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694081,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.69383,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.700189,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.70139,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.697202,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.698648,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.695277,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.698414,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.697013,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.699171,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696892,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.699169,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696377,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696483,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.697332,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.693942,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.702437,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.701094,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696708,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.697103,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.693523,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696581,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.69408,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696235,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.6989,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.711886,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.701074,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.704002,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.70664,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.699398,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694823,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.700738,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.701382,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696065,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696221,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.69421,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694114,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696815,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.693926,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696317,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694484,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.699556,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.693948,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.695023,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.691088,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.705582,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.701142,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.695428,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.700496,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694465,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694932,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.698831,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.704136,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.69402,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.705578,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.701214,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.695373,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696974,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.695177,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694929,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.699682,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696451,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.698919,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.697821,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.704415,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.70007,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.700384,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.696001,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.697938,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.693669,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.702842,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.701941,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.694381,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.6969,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.699763,1,1404
OF,reference,BiCGStab,BiCGStab,none,25,1,0.700169,1,1404
OF,reference,CG,BiCGStab,none,50,1,6.970062,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.939691,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.878167,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.870642,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.870117,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.859222,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.864204,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.867498,1,3474
OF,reference,CG,BiCGStab,none,50,1,6.865684,1,3474
OF,reference,BiCGStab,BiCGStab,none,50,1,11.143464,1,2882
OF,reference,BiCGStab,BiCGStab,none,50,1,10.999039,1,2882
OF,reference,BiCGStab,BiCGStab,none,50,1,11.147861,1,2882
OF,reference,BiCGStab,BiCGStab,none,50,1,11.038164,1,2882
OF,reference,BiCGStab,BiCGStab,none,50,1,11.095011,1,2882
OF,reference,BiCGStab,BiCGStab,none,50,1,10.998247,1,2882
OF,reference,CG,BiCGStab,none,75,1,36.971447,1,5249
OF,reference,CG,BiCGStab,none,75,1,36.245375,1,5249
OF,reference,CG,BiCGStab,none,75,1,36.296068,1,5249
OF,reference,CG,BiCGStab,none,75,1,36.890729,1,5249
OF,reference,CG,BiCGStab,none,75,1,36.562175,1,5249
OF,reference,BiCGStab,BiCGStab,none,75,1,62.859096,1,4362
OF,reference,BiCGStab,BiCGStab,none,75,1,61.648773,1,4362
OF,reference,BiCGStab,BiCGStab,none,75,1,62.612437,1,4362
OF,reference,BiCGStab,BiCGStab,none,75,1,62.86652,1,4362
OF,reference,BiCGStab,BiCGStab,none,75,1,62.683587,1,4362
OF,reference,CG,BiCGStab,none,100,1,124.576369,1,7037
OF,reference,CG,BiCGStab,none,100,1,123.107723,1,7037
OF,reference,CG,BiCGStab,none,100,1,124.559787,1,7037
OF,reference,CG,BiCGStab,none,100,1,124.509886,1,7037
OF,reference,CG,BiCGStab,none,100,1,123.519274,1,7037
OF,reference,BiCGStab,BiCGStab,none,100,1,209.100764,1,5930
OF,reference,BiCGStab,BiCGStab,none,100,1,208.601996,1,5930
OF,reference,BiCGStab,BiCGStab,none,100,1,205.215987,1,5930
OF,reference,BiCGStab,BiCGStab,none,100,1,210.236457,1,5930
