backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,25,1,2.757509,1,1668
GKO,cuda,CG,none,25,1,1.557955,1,1668
GKO,cuda,CG,none,25,1,1.562267,1,1668
GKO,cuda,CG,none,25,1,1.555634,1,1668
GKO,cuda,CG,none,25,1,1.554703,1,1668
GKO,cuda,CG,none,25,1,1.55072,1,1668
GKO,cuda,CG,none,25,1,1.559567,1,1668
GKO,cuda,CG,none,25,1,1.559228,1,1668
GKO,cuda,CG,none,25,1,1.552084,1,1668
GKO,cuda,CG,none,25,1,1.556042,1,1668
GKO,cuda,CG,none,25,1,1.556608,1,1668
GKO,cuda,CG,none,25,1,1.528284,1,1668
GKO,cuda,CG,none,25,1,1.514313,1,1668
GKO,cuda,CG,none,25,1,1.547999,1,1668
GKO,cuda,CG,none,25,1,1.541422,1,1668
GKO,cuda,CG,none,25,1,1.53404,1,1668
GKO,cuda,CG,none,25,1,1.532023,1,1668
GKO,cuda,CG,none,25,1,1.539943,1,1668
GKO,cuda,CG,none,25,1,1.527962,1,1668
GKO,cuda,CG,none,25,1,1.53203,1,1668
GKO,cuda,CG,none,25,1,1.520395,1,1668
GKO,cuda,CG,none,25,1,1.524824,1,1668
GKO,cuda,CG,none,25,1,1.52299,1,1668
GKO,cuda,CG,none,25,1,1.527412,1,1668
GKO,cuda,CG,none,25,1,1.522504,1,1668
GKO,cuda,CG,none,25,1,1.516301,1,1668
GKO,cuda,CG,none,25,1,1.533331,1,1668
GKO,cuda,CG,none,25,1,1.52212,1,1668
GKO,cuda,CG,none,25,1,1.527654,1,1668
GKO,cuda,CG,none,25,1,1.516945,1,1668
GKO,cuda,CG,none,25,1,1.526388,1,1668
GKO,cuda,CG,none,25,1,1.522752,1,1668
GKO,cuda,CG,none,25,1,1.581644,1,1668
GKO,cuda,CG,none,25,1,1.553652,1,1668
GKO,cuda,CG,none,25,1,1.562108,1,1668
GKO,cuda,CG,none,25,1,1.563454,1,1668
GKO,cuda,CG,none,25,1,1.512425,1,1668
GKO,cuda,CG,none,25,1,1.518934,1,1668
GKO,cuda,CG,none,25,1,1.514313,1,1668
GKO,cuda,BiCGStab,none,25,1,1.720043,1,1353
GKO,cuda,BiCGStab,none,25,1,1.710324,1,1353
GKO,cuda,BiCGStab,none,25,1,1.71638,1,1353
GKO,cuda,BiCGStab,none,25,1,1.702931,1,1353
GKO,cuda,BiCGStab,none,25,1,1.71062,1,1353
GKO,cuda,BiCGStab,none,25,1,1.71242,1,1353
GKO,cuda,BiCGStab,none,25,1,1.722069,1,1353
GKO,cuda,BiCGStab,none,25,1,1.721098,1,1353
GKO,cuda,BiCGStab,none,25,1,1.729097,1,1353
GKO,cuda,BiCGStab,none,25,1,1.701803,1,1353
GKO,cuda,BiCGStab,none,25,1,1.706767,1,1353
GKO,cuda,BiCGStab,none,25,1,1.700226,1,1353
GKO,cuda,BiCGStab,none,25,1,1.710003,1,1353
GKO,cuda,BiCGStab,none,25,1,1.707119,1,1353
GKO,cuda,BiCGStab,none,25,1,1.706414,1,1353
GKO,cuda,BiCGStab,none,25,1,1.719326,1,1353
GKO,cuda,BiCGStab,none,25,1,1.715654,1,1353
GKO,cuda,BiCGStab,none,25,1,1.704822,1,1353
GKO,cuda,BiCGStab,none,25,1,1.716058,1,1353
GKO,cuda,BiCGStab,none,25,1,1.732569,1,1353
GKO,cuda,BiCGStab,none,25,1,1.709099,1,1353
GKO,cuda,BiCGStab,none,25,1,1.722317,1,1353
GKO,cuda,BiCGStab,none,25,1,1.711558,1,1353
GKO,cuda,BiCGStab,none,25,1,1.708257,1,1353
GKO,cuda,BiCGStab,none,25,1,1.712981,1,1353
GKO,cuda,BiCGStab,none,25,1,1.709924,1,1353
GKO,cuda,BiCGStab,none,25,1,1.708165,1,1353
GKO,cuda,BiCGStab,none,25,1,1.712646,1,1353
GKO,cuda,BiCGStab,none,25,1,1.717361,1,1353
GKO,cuda,BiCGStab,none,25,1,1.702488,1,1353
GKO,cuda,BiCGStab,none,25,1,1.697918,1,1353
GKO,cuda,BiCGStab,none,25,1,1.701137,1,1353
GKO,cuda,BiCGStab,none,25,1,1.706778,1,1353
