backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,25,1,1.527042,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.511879,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.523243,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.519277,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.504748,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.519712,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.51501,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.501253,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.510101,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.50652,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.509945,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.51102,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.512244,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.511153,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.511417,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.515631,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.520401,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.516778,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.51014,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.514238,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.502772,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.509342,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.508262,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.507766,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.497091,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.517459,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.519719,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.51566,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.509499,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.504022,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.50154,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.510642,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.499301,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.497862,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.503343,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.52215,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.517654,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.511725,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.50272,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.499996,1,1718
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.707749,1,1403
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.701441,1,1403
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.704072,1,1403
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.704373,1,1403
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.711543,1,1403
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.691668,1,1403
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.679086,1,1403
