backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,25,1,0.529868,1,1669
OF,reference,CG,none,25,1,0.514859,1,1669
OF,reference,CG,none,25,1,0.508486,1,1669
OF,reference,CG,none,25,1,0.508667,1,1669
OF,reference,CG,none,25,1,0.514001,1,1669
OF,reference,CG,none,25,1,0.506901,1,1669
OF,reference,CG,none,25,1,0.50821,1,1669
OF,reference,CG,none,25,1,0.509321,1,1669
OF,reference,CG,none,25,1,0.505237,1,1669
OF,reference,CG,none,25,1,0.509391,1,1669
OF,reference,CG,none,25,1,0.511899,1,1669
OF,reference,CG,none,25,1,0.511314,1,1669
OF,reference,CG,none,25,1,0.507335,1,1669
OF,reference,CG,none,25,1,0.513052,1,1669
OF,reference,CG,none,25,1,0.51004,1,1669
OF,reference,CG,none,25,1,0.508886,1,1669
OF,reference,CG,none,25,1,0.514042,1,1669
OF,reference,CG,none,25,1,0.512545,1,1669
OF,reference,CG,none,25,1,0.505551,1,1669
OF,reference,CG,none,25,1,0.509533,1,1669
OF,reference,CG,none,25,1,0.507458,1,1669
OF,reference,CG,none,25,1,0.504299,1,1669
OF,reference,CG,none,25,1,0.5126,1,1669
OF,reference,CG,none,25,1,0.50596,1,1669
OF,reference,CG,none,25,1,0.508701,1,1669
OF,reference,CG,none,25,1,0.51165,1,1669
OF,reference,CG,none,25,1,0.51238,1,1669
OF,reference,CG,none,25,1,0.507978,1,1669
OF,reference,CG,none,25,1,0.54846,1,1669
OF,reference,CG,none,25,1,0.512936,1,1669
OF,reference,CG,none,25,1,0.504828,1,1669
OF,reference,CG,none,25,1,0.511163,1,1669
OF,reference,CG,none,25,1,0.511974,1,1669
OF,reference,CG,none,25,1,0.506855,1,1669
OF,reference,CG,none,25,1,0.505192,1,1669
OF,reference,CG,none,25,1,0.506381,1,1669
OF,reference,CG,none,25,1,0.505514,1,1669
OF,reference,CG,none,25,1,0.510691,1,1669
OF,reference,CG,none,25,1,0.509438,1,1669
OF,reference,CG,none,25,1,0.504935,1,1669
OF,reference,CG,none,25,1,0.502484,1,1669
OF,reference,CG,none,25,1,0.508948,1,1669
OF,reference,CG,none,25,1,0.507147,1,1669
OF,reference,CG,none,25,1,0.506574,1,1669
OF,reference,CG,none,25,1,0.512633,1,1669
OF,reference,CG,none,25,1,0.507139,1,1669
OF,reference,CG,none,25,1,0.510135,1,1669
OF,reference,CG,none,25,1,0.518686,1,1669
OF,reference,CG,none,25,1,0.52109,1,1669
OF,reference,CG,none,25,1,0.509166,1,1669
OF,reference,CG,none,25,1,0.508615,1,1669
OF,reference,CG,none,25,1,0.515593,1,1669
OF,reference,CG,none,25,1,0.514678,1,1669
OF,reference,CG,none,25,1,0.510741,1,1669
OF,reference,CG,none,25,1,0.513283,1,1669
OF,reference,CG,none,25,1,0.508921,1,1669
OF,reference,CG,none,25,1,0.507671,1,1669
OF,reference,CG,none,25,1,0.509104,1,1669
OF,reference,CG,none,25,1,0.507883,1,1669
OF,reference,CG,none,25,1,0.512622,1,1669
OF,reference,CG,none,25,1,0.507605,1,1669
OF,reference,CG,none,25,1,0.506123,1,1669
OF,reference,CG,none,25,1,0.510885,1,1669
OF,reference,CG,none,25,1,0.512258,1,1669
OF,reference,CG,none,25,1,0.508978,1,1669
OF,reference,CG,none,25,1,0.508966,1,1669
OF,reference,CG,none,25,1,0.514688,1,1669
OF,reference,CG,none,25,1,0.509454,1,1669
OF,reference,CG,none,25,1,0.507093,1,1669
OF,reference,CG,none,25,1,0.507897,1,1669
OF,reference,CG,none,25,1,0.507099,1,1669
OF,reference,CG,none,25,1,0.513387,1,1669
OF,reference,CG,none,25,1,0.511086,1,1669
OF,reference,CG,none,25,1,0.50752,1,1669
OF,reference,CG,none,25,1,0.511082,1,1669
OF,reference,CG,none,25,1,0.511136,1,1669
OF,reference,CG,none,25,1,0.50949,1,1669
OF,reference,CG,none,25,1,0.507647,1,1669
OF,reference,CG,none,25,1,0.50541,1,1669
OF,reference,CG,none,25,1,0.505547,1,1669
OF,reference,CG,none,25,1,0.508809,1,1669
OF,reference,CG,none,25,1,0.509305,1,1669
OF,reference,CG,none,25,1,0.510383,1,1669
OF,reference,CG,none,25,1,0.511978,1,1669
OF,reference,CG,none,25,1,0.511223,1,1669
OF,reference,CG,none,25,1,0.518468,1,1669
OF,reference,CG,none,25,1,0.510916,1,1669
OF,reference,CG,none,25,1,0.509684,1,1669
OF,reference,CG,none,25,1,0.513321,1,1669
OF,reference,CG,none,25,1,0.504599,1,1669
OF,reference,CG,none,25,1,0.50706,1,1669
OF,reference,CG,none,25,1,0.508815,1,1669
OF,reference,CG,none,25,1,0.505887,1,1669
OF,reference,CG,none,25,1,0.508823,1,1669
OF,reference,CG,none,25,1,0.503866,1,1669
OF,reference,CG,none,25,1,0.514261,1,1669
OF,reference,CG,none,25,1,0.50802,1,1669
OF,reference,CG,none,25,1,0.506999,1,1669
OF,reference,CG,none,25,1,0.509898,1,1669
OF,reference,CG,none,25,1,0.509554,1,1669
