backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,25,1,1.50868,1,1668
GKO,omp,CG,none,25,1,1.4081,1,1668
GKO,omp,CG,none,25,1,1.393431,1,1668
GKO,omp,CG,none,25,1,1.395848,1,1668
GKO,omp,CG,none,25,1,1.397772,1,1668
GKO,omp,CG,none,25,1,1.391501,1,1668
GKO,omp,CG,none,25,1,1.388784,1,1668
GKO,omp,CG,none,25,1,1.384458,1,1668
GKO,omp,CG,none,25,1,1.387859,1,1668
GKO,omp,CG,none,25,1,1.392682,1,1668
GKO,omp,CG,none,25,1,1.403952,1,1668
GKO,omp,CG,none,25,1,1.405041,1,1668
GKO,omp,CG,none,25,1,1.396969,1,1668
GKO,omp,CG,none,25,1,1.388812,1,1668
GKO,omp,CG,none,25,1,1.400572,1,1668
GKO,omp,CG,none,25,1,1.402328,1,1668
GKO,omp,CG,none,25,1,1.405127,1,1668
GKO,omp,CG,none,25,1,1.375973,1,1668
GKO,omp,CG,none,25,1,1.391013,1,1668
GKO,omp,CG,none,25,1,1.399404,1,1668
GKO,omp,CG,none,25,1,1.373679,1,1668
GKO,omp,CG,none,25,1,1.39817,1,1668
GKO,omp,CG,none,25,1,1.401762,1,1668
GKO,omp,CG,none,25,1,1.402029,1,1668
GKO,omp,CG,none,25,1,1.383406,1,1668
GKO,omp,CG,none,25,1,1.385819,1,1668
GKO,omp,CG,none,25,1,1.389285,1,1668
GKO,omp,CG,none,25,1,1.379735,1,1668
GKO,omp,CG,none,25,1,1.400316,1,1668
GKO,omp,CG,none,25,1,1.402477,1,1668
GKO,omp,CG,none,25,1,1.391526,1,1668
GKO,omp,CG,none,25,1,1.382859,1,1668
GKO,omp,CG,none,25,1,1.399714,1,1668
GKO,omp,CG,none,25,1,1.393711,1,1668
GKO,omp,CG,none,25,1,1.405167,1,1668
GKO,omp,CG,none,25,1,1.400961,1,1668
GKO,omp,CG,none,25,1,1.393761,1,1668
GKO,omp,CG,none,25,1,1.402307,1,1668
GKO,omp,CG,none,25,1,1.388819,1,1668
GKO,omp,CG,none,25,1,1.393624,1,1668
GKO,omp,CG,none,25,1,1.392867,1,1668
GKO,omp,CG,none,25,1,1.408426,1,1668
GKO,omp,CG,none,25,1,1.388984,1,1668
GKO,omp,CG,none,25,2,1.077588,1,1668
GKO,omp,CG,none,25,2,1.166344,1,1668
GKO,omp,CG,none,25,2,1.242324,1,1668
GKO,omp,CG,none,25,2,1.115325,1,1668
GKO,omp,CG,none,25,2,1.198811,1,1668
GKO,omp,CG,none,25,2,1.133734,1,1668
GKO,omp,CG,none,25,2,1.121704,1,1668
GKO,omp,CG,none,25,2,1.166966,1,1668
GKO,omp,CG,none,25,2,1.171794,1,1668
GKO,omp,CG,none,25,2,1.058089,1,1668
GKO,omp,CG,none,25,2,1.198354,1,1668
GKO,omp,CG,none,25,2,1.134039,1,1668
GKO,omp,CG,none,25,2,1.170503,1,1668
GKO,omp,CG,none,25,2,1.197097,1,1668
GKO,omp,CG,none,25,2,1.169943,1,1668
GKO,omp,CG,none,25,2,1.131174,1,1668
GKO,omp,CG,none,25,2,1.085151,1,1668
GKO,omp,CG,none,25,2,1.165221,1,1668
GKO,omp,CG,none,25,2,1.049691,1,1668
GKO,omp,CG,none,25,2,1.161669,1,1668
GKO,omp,CG,none,25,2,1.208447,1,1668
GKO,omp,CG,none,25,2,1.172116,1,1668
GKO,omp,CG,none,25,2,1.044532,1,1668
GKO,omp,CG,none,25,2,1.044799,1,1668
GKO,omp,CG,none,25,2,1.166543,1,1668
GKO,omp,CG,none,25,2,1.120208,1,1668
GKO,omp,CG,none,25,2,1.115609,1,1668
GKO,omp,CG,none,25,2,1.16031,1,1668
GKO,omp,CG,none,25,2,1.174985,1,1668
GKO,omp,CG,none,25,2,1.069896,1,1668
GKO,omp,CG,none,25,2,1.169222,1,1668
GKO,omp,CG,none,25,2,1.167459,1,1668
GKO,omp,CG,none,25,2,1.135191,1,1668
GKO,omp,CG,none,25,2,1.072582,1,1668
GKO,omp,CG,none,25,2,1.066734,1,1668
GKO,omp,CG,none,25,2,1.139761,1,1668
GKO,omp,CG,none,25,2,1.19474,1,1668
GKO,omp,CG,none,25,2,1.151614,1,1668
GKO,omp,CG,none,25,2,1.042294,1,1668
GKO,omp,CG,none,25,2,1.073629,1,1668
GKO,omp,CG,none,25,2,1.096711,1,1668
GKO,omp,CG,none,25,2,1.16823,1,1668
GKO,omp,CG,none,25,2,1.213608,1,1668
GKO,omp,CG,none,25,2,1.051996,1,1668
GKO,omp,CG,none,25,2,1.158302,1,1668
GKO,omp,CG,none,25,2,1.159111,1,1668
GKO,omp,CG,none,25,2,1.042419,1,1668
GKO,omp,CG,none,25,2,1.126835,1,1668
GKO,omp,CG,none,25,2,1.049209,1,1668
GKO,omp,CG,none,25,2,1.190281,1,1668
GKO,omp,CG,none,25,2,1.17922,1,1668
GKO,omp,CG,none,25,2,1.182681,1,1668
GKO,omp,CG,none,25,2,1.175912,1,1668
GKO,omp,CG,none,25,4,0.927167,1,1668
GKO,omp,CG,none,25,4,0.919938,1,1668
GKO,omp,CG,none,25,4,0.910347,1,1668
GKO,omp,CG,none,25,4,0.916564,1,1668
GKO,omp,CG,none,25,4,0.932112,1,1668
GKO,omp,CG,none,25,4,0.907011,1,1668
GKO,omp,CG,none,25,4,0.923056,1,1668
GKO,omp,CG,none,25,4,0.9159,1,1668
GKO,omp,CG,none,25,4,0.914907,1,1668
GKO,omp,CG,none,25,4,0.899764,1,1668
GKO,omp,CG,none,25,4,0.935468,1,1668
GKO,omp,CG,none,25,4,0.904965,1,1668
GKO,omp,CG,none,25,4,0.903257,1,1668
GKO,omp,CG,none,25,4,0.912651,1,1668
GKO,omp,CG,none,25,4,0.91487,1,1668
GKO,omp,CG,none,25,4,0.898717,1,1668
GKO,omp,CG,none,25,4,0.914139,1,1668
GKO,omp,CG,none,25,4,0.929135,1,1668
GKO,omp,CG,none,25,4,0.912727,1,1668
GKO,omp,CG,none,25,4,0.984978,1,1668
GKO,omp,CG,none,25,4,0.928847,1,1668
GKO,omp,CG,none,25,4,0.912645,1,1668
GKO,omp,CG,none,25,4,0.912625,1,1668
GKO,omp,CG,none,25,4,0.917198,1,1668
GKO,omp,CG,none,25,4,0.916011,1,1668
GKO,omp,CG,none,25,4,0.921167,1,1668
GKO,omp,CG,none,25,4,0.925635,1,1668
GKO,omp,CG,none,25,4,0.912008,1,1668
GKO,omp,CG,none,25,4,0.919092,1,1668
GKO,omp,CG,none,25,4,0.928373,1,1668
GKO,omp,CG,none,25,4,0.923684,1,1668
GKO,omp,CG,none,25,4,0.906942,1,1668
