backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,25,1,1.321104,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51667,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514879,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51597,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511768,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510712,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.520803,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.517795,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.516083,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.518323,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512241,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514119,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.515832,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514816,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512901,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51374,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.509872,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513212,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514398,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.515946,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.518286,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.516168,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51692,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.516288,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512027,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512534,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.516224,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.512356,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510907,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513209,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511772,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510155,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510912,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510374,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.50952,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.510233,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.511404,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.513045,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.515562,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51243,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514776,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.51775,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514774,1,1719
OF,reference,CG,BiCGStab,none,25,1,0.514218,1,1719
