backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BiCGStab,none,25,2,1.54169,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.448985,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.445339,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.617041,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.608448,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.450316,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.544911,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.620724,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.626444,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.440708,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.590446,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.441834,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.608125,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.576035,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.579055,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.430458,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.60108,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.549944,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.551546,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.637631,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.581672,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.615759,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.420857,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.621918,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.577372,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.428022,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.615764,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.441025,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.61323,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.603894,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.616652,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.440789,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.626548,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.438874,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.425001,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.437107,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.588095,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.622057,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.638064,1,1931
GKO,omp,CG,BiCGStab,none,25,4,1.310171,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.305912,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.310128,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.304103,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.304851,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.315636,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.287912,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.300084,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.311685,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.292521,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.290507,1,1932
