backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,25,1,3.408233,1,1668
GKO,cuda,CG,none,25,1,1.554925,1,1668
GKO,cuda,CG,none,25,1,1.545083,1,1668
GKO,cuda,CG,none,25,1,1.532325,1,1668
GKO,cuda,CG,none,25,1,1.535124,1,1668
GKO,cuda,CG,none,25,1,1.530722,1,1668
GKO,cuda,CG,none,25,1,1.533043,1,1668
GKO,cuda,CG,none,25,1,1.52815,1,1668
GKO,cuda,CG,none,25,1,1.533305,1,1668
GKO,cuda,CG,none,25,1,1.595666,1,1668
GKO,cuda,CG,none,25,1,1.538223,1,1668
GKO,cuda,CG,none,25,1,1.583424,1,1668
GKO,cuda,CG,none,25,1,1.531782,1,1668
GKO,cuda,CG,none,25,1,1.530238,1,1668
GKO,cuda,CG,none,25,1,1.530382,1,1668
GKO,cuda,CG,none,25,1,1.529848,1,1668
GKO,cuda,CG,none,25,1,1.533115,1,1668
GKO,cuda,CG,none,25,1,1.528506,1,1668
GKO,cuda,CG,none,25,1,1.531399,1,1668
GKO,cuda,CG,none,25,1,1.53389,1,1668
GKO,cuda,CG,none,25,1,1.592022,1,1668
GKO,cuda,CG,none,25,1,1.532459,1,1668
GKO,cuda,CG,none,25,1,1.534276,1,1668
GKO,cuda,CG,none,25,1,1.527781,1,1668
GKO,cuda,CG,none,25,1,1.532615,1,1668
GKO,cuda,CG,none,25,1,1.532334,1,1668
GKO,cuda,CG,none,25,1,1.532016,1,1668
GKO,cuda,CG,none,25,1,1.527042,1,1668
GKO,cuda,CG,none,25,1,1.528276,1,1668
GKO,cuda,CG,none,25,1,1.527768,1,1668
GKO,cuda,CG,none,25,1,1.531295,1,1668
GKO,cuda,CG,none,25,1,1.527542,1,1668
GKO,cuda,CG,none,25,1,1.538306,1,1668
GKO,cuda,CG,none,25,1,1.596276,1,1668
GKO,cuda,CG,none,25,1,1.533767,1,1668
GKO,cuda,CG,none,25,1,1.525728,1,1668
GKO,cuda,CG,none,25,1,1.535786,1,1668
GKO,cuda,CG,none,25,1,1.533095,1,1668
GKO,cuda,BiCGStab,none,25,1,1.719543,1,1353
GKO,cuda,BiCGStab,none,25,1,1.814476,1,1353
GKO,cuda,BiCGStab,none,25,1,1.713341,1,1353
GKO,cuda,BiCGStab,none,25,1,1.731932,1,1353
GKO,cuda,BiCGStab,none,25,1,1.727816,1,1353
GKO,cuda,BiCGStab,none,25,1,1.710566,1,1353
GKO,cuda,BiCGStab,none,25,1,1.808547,1,1353
GKO,cuda,BiCGStab,none,25,1,1.731841,1,1353
GKO,cuda,BiCGStab,none,25,1,1.725113,1,1353
GKO,cuda,BiCGStab,none,25,1,1.732388,1,1353
GKO,cuda,BiCGStab,none,25,1,1.728458,1,1353
GKO,cuda,BiCGStab,none,25,1,1.7205,1,1353
GKO,cuda,BiCGStab,none,25,1,1.718091,1,1353
GKO,cuda,BiCGStab,none,25,1,1.724253,1,1353
GKO,cuda,BiCGStab,none,25,1,1.714034,1,1353
GKO,cuda,BiCGStab,none,25,1,1.719355,1,1353
GKO,cuda,BiCGStab,none,25,1,1.727639,1,1353
GKO,cuda,BiCGStab,none,25,1,1.727652,1,1353
GKO,cuda,BiCGStab,none,25,1,1.725409,1,1353
GKO,cuda,BiCGStab,none,25,1,1.721224,1,1353
GKO,cuda,BiCGStab,none,25,1,1.731182,1,1353
GKO,cuda,BiCGStab,none,25,1,1.73327,1,1353
GKO,cuda,BiCGStab,none,25,1,1.729372,1,1353
GKO,cuda,BiCGStab,none,25,1,1.723918,1,1353
GKO,cuda,BiCGStab,none,25,1,1.728228,1,1353
GKO,cuda,BiCGStab,none,25,1,1.708046,1,1353
GKO,cuda,BiCGStab,none,25,1,1.718561,1,1353
GKO,cuda,BiCGStab,none,25,1,1.721687,1,1353
GKO,cuda,BiCGStab,none,25,1,1.716402,1,1353
GKO,cuda,BiCGStab,none,25,1,1.71193,1,1353
GKO,cuda,BiCGStab,none,25,1,1.72532,1,1353
GKO,cuda,BiCGStab,none,25,1,1.720319,1,1353
GKO,cuda,BiCGStab,none,25,1,1.716096,1,1353
GKO,cuda,BiCGStab,none,25,1,1.710318,1,1353
GKO,cuda,BiCGStab,none,25,1,1.718871,1,1353
GKO,cuda,CG,none,50,1,3.954553,1,3424
GKO,cuda,CG,none,50,1,3.91004,1,3424
GKO,cuda,CG,none,50,1,3.884442,1,3424
GKO,cuda,CG,none,50,1,3.899877,1,3424
GKO,cuda,CG,none,50,1,3.878311,1,3424
GKO,cuda,CG,none,50,1,3.877942,1,3424
GKO,cuda,CG,none,50,1,3.890513,1,3424
GKO,cuda,CG,none,50,1,3.886005,1,3424
GKO,cuda,CG,none,50,1,3.870582,1,3424
GKO,cuda,CG,none,50,1,3.862816,1,3424
GKO,cuda,CG,none,50,1,3.868823,1,3424
GKO,cuda,CG,none,50,1,3.88968,1,3424
GKO,cuda,CG,none,50,1,3.886837,1,3424
GKO,cuda,CG,none,50,1,3.865166,1,3424
GKO,cuda,CG,none,50,1,3.881618,1,3424
GKO,cuda,CG,none,50,1,3.869909,1,3424
GKO,cuda,BiCGStab,none,50,1,4.391029,1,2807
GKO,cuda,BiCGStab,none,50,1,4.387613,1,2807
GKO,cuda,BiCGStab,none,50,1,4.381236,1,2807
GKO,cuda,BiCGStab,none,50,1,4.370764,1,2807
GKO,cuda,BiCGStab,none,50,1,4.394987,1,2807
GKO,cuda,BiCGStab,none,50,1,4.381305,1,2807
GKO,cuda,BiCGStab,none,50,1,4.377711,1,2807
GKO,cuda,BiCGStab,none,50,1,4.397725,1,2807
GKO,cuda,BiCGStab,none,50,1,4.38968,1,2807
GKO,cuda,BiCGStab,none,50,1,4.346772,1,2807
GKO,cuda,BiCGStab,none,50,1,4.363954,1,2807
GKO,cuda,BiCGStab,none,50,1,4.376566,1,2807
GKO,cuda,BiCGStab,none,50,1,4.371698,1,2807
GKO,cuda,BiCGStab,none,50,1,4.376585,1,2807
GKO,cuda,CG,none,75,1,13.421639,1,5199
GKO,cuda,CG,none,75,1,13.205169,1,5199
GKO,cuda,CG,none,75,1,13.225734,1,5199
GKO,cuda,CG,none,75,1,13.27427,1,5199
GKO,cuda,CG,none,75,1,13.283899,1,5199
GKO,cuda,BiCGStab,none,75,1,15.725712,1,3992
GKO,cuda,BiCGStab,none,75,1,15.674321,1,3992
GKO,cuda,BiCGStab,none,75,1,15.724479,1,3992
