backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,25,1,1.53051,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.527144,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.530662,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.52775,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.525759,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.523845,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.527961,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.520906,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.521866,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.582427,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.527272,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.581831,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.51971,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.595138,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.528882,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.520545,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.518963,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.523003,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.518849,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.518814,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.524952,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.523219,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.532642,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.584877,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.521283,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.574301,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.526187,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.526696,1,1718
GKO,cuda,CG,BiCGStab,none,25,1,1.518706,1,1718
