backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BJ,25,1,2.947794,1,1482
GKO,omp,CG,BJ,25,1,2.849396,1,1482
GKO,omp,CG,BJ,25,1,2.827446,1,1482
GKO,omp,CG,BJ,25,1,2.834099,1,1482
GKO,omp,CG,BJ,25,1,2.840992,1,1482
GKO,omp,CG,BJ,25,1,2.837676,1,1482
GKO,omp,CG,BJ,25,1,2.826107,1,1482
GKO,omp,CG,BJ,25,1,2.821867,1,1482
GKO,omp,CG,BJ,25,1,2.824047,1,1482
GKO,omp,CG,BJ,25,1,2.830191,1,1482
GKO,omp,CG,BJ,25,1,2.824403,1,1482
GKO,omp,CG,BJ,25,1,2.844851,1,1482
GKO,omp,CG,BJ,25,1,2.826076,1,1482
GKO,omp,CG,BJ,25,1,2.833053,1,1482
GKO,omp,CG,BJ,25,1,2.828421,1,1482
GKO,omp,CG,BJ,25,1,2.837351,1,1482
GKO,omp,CG,BJ,25,1,2.828956,1,1482
GKO,omp,CG,BJ,25,1,2.821535,1,1482
GKO,omp,CG,BJ,25,1,2.840718,1,1482
GKO,omp,CG,BJ,25,1,2.823505,1,1482
GKO,omp,CG,BJ,25,1,2.8328,1,1482
GKO,omp,CG,BJ,25,1,2.827299,1,1482
GKO,omp,CG,BJ,25,2,1.897842,1,1482
GKO,omp,CG,BJ,25,2,1.926502,1,1482
GKO,omp,CG,BJ,25,2,1.792671,1,1482
GKO,omp,CG,BJ,25,2,1.775756,1,1482
GKO,omp,CG,BJ,25,2,1.870541,1,1482
GKO,omp,CG,BJ,25,2,1.93145,1,1482
GKO,omp,CG,BJ,25,2,1.778913,1,1482
GKO,omp,CG,BJ,25,2,1.921118,1,1482
GKO,omp,CG,BJ,25,2,1.898715,1,1482
GKO,omp,CG,BJ,25,2,1.923702,1,1482
GKO,omp,CG,BJ,25,2,1.897078,1,1482
GKO,omp,CG,BJ,25,2,1.903643,1,1482
GKO,omp,CG,BJ,25,2,1.88865,1,1482
GKO,omp,CG,BJ,25,2,1.902821,1,1482
GKO,omp,CG,BJ,25,2,1.934098,1,1482
GKO,omp,CG,BJ,25,2,1.797484,1,1482
GKO,omp,CG,BJ,25,2,1.913619,1,1482
GKO,omp,CG,BJ,25,2,1.814593,1,1482
GKO,omp,CG,BJ,25,2,1.78016,1,1482
GKO,omp,CG,BJ,25,2,1.898686,1,1482
GKO,omp,CG,BJ,25,2,1.912389,1,1482
GKO,omp,CG,BJ,25,2,1.798305,1,1482
GKO,omp,CG,BJ,25,2,1.782856,1,1482
GKO,omp,CG,BJ,25,2,1.804517,1,1482
GKO,omp,CG,BJ,25,2,1.892971,1,1482
GKO,omp,CG,BJ,25,2,1.898897,1,1482
GKO,omp,CG,BJ,25,2,1.924708,1,1482
GKO,omp,CG,BJ,25,2,1.942239,1,1482
GKO,omp,CG,BJ,25,2,1.899068,1,1482
GKO,omp,CG,BJ,25,2,1.832675,1,1482
GKO,omp,CG,BJ,25,2,1.778992,1,1482
GKO,omp,CG,BJ,25,2,1.810234,1,1482
GKO,omp,CG,BJ,25,2,1.921921,1,1482
GKO,omp,CG,BJ,25,4,1.311765,1,1482
GKO,omp,CG,BJ,25,4,1.312186,1,1482
GKO,omp,CG,BJ,25,4,1.295975,1,1482
GKO,omp,CG,BJ,25,4,1.305104,1,1482
GKO,omp,CG,BJ,25,4,1.305232,1,1482
