backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,none,25,1,1.457292,1,1668
GKO,omp,CG,none,25,1,1.387115,1,1668
GKO,omp,CG,none,25,1,1.397135,1,1668
GKO,omp,CG,none,25,1,1.376545,1,1668
GKO,omp,CG,none,25,1,1.387666,1,1668
GKO,omp,CG,none,25,1,1.377612,1,1668
GKO,omp,CG,none,25,1,1.383838,1,1668
GKO,omp,CG,none,25,1,1.400878,1,1668
GKO,omp,CG,none,25,1,1.381387,1,1668
GKO,omp,CG,none,25,1,1.385444,1,1668
GKO,omp,CG,none,25,1,1.385832,1,1668
GKO,omp,CG,none,25,1,1.38381,1,1668
GKO,omp,CG,none,25,1,1.390162,1,1668
GKO,omp,CG,none,25,1,1.376667,1,1668
GKO,omp,CG,none,25,1,1.385618,1,1668
GKO,omp,CG,none,25,1,1.380651,1,1668
GKO,omp,CG,none,25,1,1.40344,1,1668
GKO,omp,CG,none,25,1,1.407406,1,1668
GKO,omp,CG,none,25,1,1.397352,1,1668
GKO,omp,CG,none,25,1,1.397339,1,1668
GKO,omp,CG,none,25,1,1.402252,1,1668
GKO,omp,CG,none,25,1,1.395431,1,1668
GKO,omp,CG,none,25,1,1.393072,1,1668
GKO,omp,CG,none,25,1,1.391106,1,1668
GKO,omp,CG,none,25,1,1.385246,1,1668
GKO,omp,CG,none,25,1,1.382528,1,1668
GKO,omp,CG,none,25,1,1.398541,1,1668
GKO,omp,CG,none,25,1,1.392625,1,1668
GKO,omp,CG,none,25,1,1.392785,1,1668
GKO,omp,CG,none,25,1,1.398575,1,1668
GKO,omp,CG,none,25,1,1.390235,1,1668
GKO,omp,CG,none,25,1,1.381865,1,1668
GKO,omp,CG,none,25,1,1.37525,1,1668
GKO,omp,CG,none,25,1,1.390449,1,1668
GKO,omp,CG,none,25,1,1.392272,1,1668
GKO,omp,CG,none,25,1,1.391812,1,1668
GKO,omp,CG,none,25,1,1.398711,1,1668
GKO,omp,CG,none,25,1,1.384864,1,1668
GKO,omp,CG,none,25,1,1.394511,1,1668
GKO,omp,CG,none,25,1,1.395325,1,1668
GKO,omp,CG,none,25,1,1.403482,1,1668
GKO,omp,CG,none,25,1,1.404588,1,1668
GKO,omp,CG,none,25,1,1.404639,1,1668
GKO,omp,CG,none,25,1,1.389404,1,1668
GKO,omp,CG,none,25,2,1.141905,1,1668
GKO,omp,CG,none,25,2,1.111612,1,1668
GKO,omp,CG,none,25,2,1.052786,1,1668
GKO,omp,CG,none,25,2,1.124874,1,1668
GKO,omp,CG,none,25,2,1.057777,1,1668
GKO,omp,CG,none,25,2,1.173999,1,1668
GKO,omp,CG,none,25,2,1.115811,1,1668
GKO,omp,CG,none,25,2,1.166394,1,1668
GKO,omp,CG,none,25,2,1.163129,1,1668
GKO,omp,CG,none,25,2,1.053844,1,1668
GKO,omp,CG,none,25,2,1.05477,1,1668
GKO,omp,CG,none,25,2,1.116246,1,1668
GKO,omp,CG,none,25,2,1.167898,1,1668
GKO,omp,CG,none,25,2,1.121659,1,1668
GKO,omp,CG,none,25,2,1.192424,1,1668
GKO,omp,CG,none,25,2,1.094344,1,1668
GKO,omp,CG,none,25,2,1.150127,1,1668
GKO,omp,CG,none,25,2,1.043744,1,1668
GKO,omp,CG,none,25,2,1.173175,1,1668
GKO,omp,CG,none,25,2,1.056137,1,1668
GKO,omp,CG,none,25,2,1.109329,1,1668
GKO,omp,CG,none,25,2,1.053714,1,1668
GKO,omp,CG,none,25,2,1.050633,1,1668
GKO,omp,CG,none,25,2,1.152185,1,1668
GKO,omp,CG,none,25,2,1.118004,1,1668
GKO,omp,CG,none,25,2,1.157469,1,1668
