backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,none,25,1,0.610257,1,1669
OF,reference,CG,none,25,1,0.524039,1,1669
OF,reference,CG,none,25,1,0.519775,1,1669
OF,reference,CG,none,25,1,0.5154,1,1669
OF,reference,CG,none,25,1,0.517391,1,1669
OF,reference,CG,none,25,1,0.51285,1,1669
OF,reference,CG,none,25,1,0.51452,1,1669
OF,reference,CG,none,25,1,0.518082,1,1669
OF,reference,CG,none,25,1,0.512164,1,1669
OF,reference,CG,none,25,1,0.508169,1,1669
OF,reference,CG,none,25,1,0.510519,1,1669
OF,reference,CG,none,25,1,0.509853,1,1669
OF,reference,CG,none,25,1,0.514653,1,1669
OF,reference,CG,none,25,1,0.515825,1,1669
OF,reference,CG,none,25,1,0.516934,1,1669
OF,reference,CG,none,25,1,0.508405,1,1669
OF,reference,CG,none,25,1,0.515639,1,1669
OF,reference,CG,none,25,1,0.511113,1,1669
OF,reference,CG,none,25,1,0.511034,1,1669
OF,reference,CG,none,25,1,0.514389,1,1669
OF,reference,CG,none,25,1,0.511528,1,1669
OF,reference,CG,none,25,1,0.513027,1,1669
OF,reference,CG,none,25,1,0.506143,1,1669
OF,reference,CG,none,25,1,0.511605,1,1669
OF,reference,CG,none,25,1,0.521897,1,1669
OF,reference,CG,none,25,1,0.505896,1,1669
OF,reference,CG,none,25,1,0.511416,1,1669
OF,reference,CG,none,25,1,0.513907,1,1669
OF,reference,CG,none,25,1,0.517488,1,1669
OF,reference,CG,none,25,1,0.512515,1,1669
OF,reference,CG,none,25,1,0.51246,1,1669
OF,reference,CG,none,25,1,0.51683,1,1669
OF,reference,CG,none,25,1,0.513643,1,1669
OF,reference,CG,none,25,1,0.510362,1,1669
OF,reference,CG,none,25,1,0.514846,1,1669
OF,reference,CG,none,25,1,0.509498,1,1669
OF,reference,CG,none,25,1,0.513102,1,1669
OF,reference,CG,none,25,1,0.510241,1,1669
OF,reference,CG,none,25,1,0.515456,1,1669
OF,reference,CG,none,25,1,0.511783,1,1669
OF,reference,CG,none,25,1,0.509752,1,1669
OF,reference,CG,none,25,1,0.508744,1,1669
OF,reference,CG,none,25,1,0.515304,1,1669
OF,reference,CG,none,25,1,0.509294,1,1669
OF,reference,CG,none,25,1,0.516198,1,1669
OF,reference,CG,none,25,1,0.512883,1,1669
OF,reference,CG,none,25,1,0.515498,1,1669
OF,reference,CG,none,25,1,0.512756,1,1669
OF,reference,CG,none,25,1,0.516109,1,1669
OF,reference,CG,none,25,1,0.514532,1,1669
OF,reference,CG,none,25,1,0.509174,1,1669
OF,reference,CG,none,25,1,0.510006,1,1669
OF,reference,CG,none,25,1,0.510501,1,1669
OF,reference,CG,none,25,1,0.511235,1,1669
OF,reference,CG,none,25,1,0.508228,1,1669
OF,reference,CG,none,25,1,0.514037,1,1669
OF,reference,CG,none,25,1,0.51448,1,1669
OF,reference,CG,none,25,1,0.502623,1,1669
OF,reference,CG,none,25,1,0.512291,1,1669
OF,reference,CG,none,25,1,0.513741,1,1669
OF,reference,CG,none,25,1,0.519776,1,1669
OF,reference,CG,none,25,1,0.516819,1,1669
OF,reference,CG,none,25,1,0.5153,1,1669
OF,reference,CG,none,25,1,0.514754,1,1669
OF,reference,CG,none,25,1,0.51364,1,1669
OF,reference,CG,none,25,1,0.510906,1,1669
OF,reference,CG,none,25,1,0.514208,1,1669
OF,reference,CG,none,25,1,0.514698,1,1669
OF,reference,CG,none,25,1,0.515028,1,1669
OF,reference,CG,none,25,1,0.509775,1,1669
OF,reference,CG,none,25,1,0.510982,1,1669
OF,reference,CG,none,25,1,0.514421,1,1669
OF,reference,CG,none,25,1,0.506653,1,1669
OF,reference,CG,none,25,1,0.510281,1,1669
OF,reference,CG,none,25,1,0.512157,1,1669
OF,reference,CG,none,25,1,0.517212,1,1669
OF,reference,CG,none,25,1,0.508205,1,1669
OF,reference,CG,none,25,1,0.513744,1,1669
OF,reference,CG,none,25,1,0.515601,1,1669
OF,reference,CG,none,25,1,0.50956,1,1669
OF,reference,CG,none,25,1,0.514296,1,1669
OF,reference,CG,none,25,1,0.513717,1,1669
OF,reference,CG,none,25,1,0.511238,1,1669
OF,reference,CG,none,25,1,0.507526,1,1669
OF,reference,CG,none,25,1,0.51254,1,1669
OF,reference,CG,none,25,1,0.510439,1,1669
OF,reference,CG,none,25,1,0.505201,1,1669
OF,reference,CG,none,25,1,0.507704,1,1669
OF,reference,CG,none,25,1,0.516661,1,1669
OF,reference,CG,none,25,1,0.510616,1,1669
OF,reference,CG,none,25,1,0.512131,1,1669
OF,reference,CG,none,25,1,0.514785,1,1669
OF,reference,CG,none,25,1,0.511445,1,1669
OF,reference,CG,none,25,1,0.512098,1,1669
OF,reference,CG,none,25,1,0.511647,1,1669
OF,reference,CG,none,25,1,0.512772,1,1669
OF,reference,CG,none,25,1,0.514217,1,1669
OF,reference,CG,none,25,1,0.512275,1,1669
OF,reference,CG,none,25,1,0.512236,1,1669
OF,reference,CG,none,25,1,0.516583,1,1669
OF,reference,CG,none,25,1,0.512253,1,1669
OF,reference,CG,none,25,1,0.506839,1,1669
OF,reference,CG,none,25,1,0.512729,1,1669
OF,reference,CG,none,25,1,0.513792,1,1669
OF,reference,CG,none,25,1,0.50769,1,1669
OF,reference,CG,none,25,1,0.514771,1,1669
OF,reference,CG,none,25,1,0.510546,1,1669
OF,reference,CG,none,25,1,0.517455,1,1669
OF,reference,CG,none,25,1,0.507692,1,1669
OF,reference,CG,none,25,1,0.520368,1,1669
OF,reference,CG,none,25,1,0.508805,1,1669
OF,reference,CG,none,25,1,0.511136,1,1669
OF,reference,CG,none,25,1,0.515876,1,1669
OF,reference,CG,none,25,1,0.513198,1,1669
OF,reference,CG,none,25,1,0.512738,1,1669
OF,reference,CG,none,25,1,0.508843,1,1669
OF,reference,CG,none,25,1,0.511908,1,1669
OF,reference,BiCGStab,none,25,1,0.703965,1,1354
OF,reference,BiCGStab,none,25,1,0.70536,1,1354
OF,reference,BiCGStab,none,25,1,0.708345,1,1354
OF,reference,BiCGStab,none,25,1,0.702923,1,1354
OF,reference,BiCGStab,none,25,1,0.709228,1,1354
OF,reference,BiCGStab,none,25,1,0.710289,1,1354
OF,reference,BiCGStab,none,25,1,0.70662,1,1354
OF,reference,BiCGStab,none,25,1,0.704857,1,1354
OF,reference,BiCGStab,none,25,1,0.703944,1,1354
OF,reference,BiCGStab,none,25,1,0.705702,1,1354
OF,reference,BiCGStab,none,25,1,0.701242,1,1354
OF,reference,BiCGStab,none,25,1,0.707372,1,1354
OF,reference,BiCGStab,none,25,1,0.705733,1,1354
OF,reference,BiCGStab,none,25,1,0.708667,1,1354
OF,reference,BiCGStab,none,25,1,0.705702,1,1354
OF,reference,BiCGStab,none,25,1,0.702052,1,1354
OF,reference,BiCGStab,none,25,1,0.699889,1,1354
