backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,omp,CG,BiCGStab,none,25,2,1.631312,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.598676,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.578847,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.56994,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.610779,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.569473,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.439342,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.432077,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.597115,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.425068,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.603379,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.599227,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.594576,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.533731,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.59085,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.589325,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.583921,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.582521,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.424313,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.432556,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.658533,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.598251,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.572979,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.593071,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.565483,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.570438,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.589457,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.571066,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.600524,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.596245,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.595134,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.584501,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.56682,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.559909,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.559189,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.605533,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.594592,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.59698,1,1931
GKO,omp,CG,BiCGStab,none,25,2,1.562237,1,1931
GKO,omp,CG,BiCGStab,none,25,4,1.289249,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.289738,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.294305,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.29434,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.297053,1,1932
GKO,omp,CG,BiCGStab,none,25,4,1.288014,1,1932
