backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
OF,reference,CG,BiCGStab,none,25,1,0.595766,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.577915,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.583162,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.577232,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.579344,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.574084,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568274,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571366,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568865,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571862,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.577542,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569199,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569231,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.574403,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.579706,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.572493,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569341,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.575613,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568791,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.565126,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.566147,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.577011,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.576569,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.5802,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571682,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571787,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.578462,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.573497,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.573678,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.566215,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568443,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571539,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569964,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.57468,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.573814,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.576179,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568154,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.572649,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569252,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.570463,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.56737,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568273,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.57491,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.566852,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.572609,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.575137,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.567828,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.572425,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569127,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.576699,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571719,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.567792,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.570572,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.57485,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.567376,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.582877,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.574755,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.57027,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571554,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.56905,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.569833,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.574843,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568589,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.573244,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.574823,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.57374,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.576939,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.572489,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.574323,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.566218,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.575129,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.568944,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.564511,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.57267,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.566902,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.56343,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.566227,1,1894
OF,reference,CG,BiCGStab,none,25,1,0.571461,1,1894
