backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BJ,25,1,1.497329,1,1482
GKO,cuda,CG,BJ,25,1,1.494473,1,1482
GKO,cuda,CG,BJ,25,1,1.49147,1,1482
GKO,cuda,CG,BJ,25,1,1.483405,1,1482
GKO,cuda,CG,BJ,25,1,1.488857,1,1482
GKO,cuda,CG,BJ,25,1,1.481885,1,1482
GKO,cuda,CG,BJ,25,1,1.491753,1,1482
GKO,cuda,CG,BJ,25,1,1.475213,1,1482
GKO,cuda,CG,BJ,25,1,1.468871,1,1482
GKO,cuda,CG,BJ,25,1,1.466798,1,1482
GKO,cuda,CG,BJ,25,1,1.468077,1,1482
GKO,cuda,CG,BJ,25,1,1.503308,1,1482
GKO,cuda,CG,BJ,25,1,1.486557,1,1482
GKO,cuda,CG,BJ,25,1,1.48586,1,1482
GKO,cuda,CG,BJ,25,1,1.516857,1,1482
GKO,cuda,CG,BJ,25,1,1.490071,1,1482
GKO,cuda,CG,BJ,25,1,1.491584,1,1482
GKO,cuda,CG,BJ,25,1,1.479381,1,1482
GKO,cuda,CG,BJ,25,1,1.522086,1,1482
GKO,cuda,CG,BJ,25,1,1.47961,1,1482
GKO,cuda,CG,BJ,25,1,1.472927,1,1482
GKO,cuda,CG,BJ,25,1,1.483656,1,1482
GKO,cuda,CG,BJ,25,1,1.470836,1,1482
GKO,cuda,CG,BJ,25,1,1.485624,1,1482
GKO,cuda,CG,BJ,25,1,1.484033,1,1482
GKO,cuda,CG,BJ,25,1,1.471007,1,1482
GKO,cuda,CG,BJ,25,1,1.467041,1,1482
GKO,cuda,CG,BJ,25,1,1.483633,1,1482
GKO,cuda,CG,BJ,25,1,1.469641,1,1482
GKO,cuda,CG,BJ,25,1,1.491705,1,1482
GKO,cuda,CG,BJ,25,1,1.484894,1,1482
GKO,cuda,CG,BJ,25,1,1.473269,1,1482
GKO,cuda,CG,BJ,25,1,1.480851,1,1482
GKO,cuda,CG,BJ,25,1,1.487122,1,1482
GKO,cuda,CG,BJ,25,1,1.494931,1,1482
GKO,cuda,CG,BJ,25,1,1.4678,1,1482
GKO,cuda,CG,BJ,25,1,1.472063,1,1482
GKO,cuda,CG,BJ,25,1,1.476804,1,1482
GKO,cuda,CG,BJ,25,1,1.500684,1,1482
GKO,cuda,CG,BJ,25,1,1.494098,1,1482
GKO,cuda,CG,BJ,25,1,1.481609,1,1482
GKO,cuda,BiCGStab,BJ,25,1,1.587563,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.589319,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.569967,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.582277,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.563275,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.572021,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.580302,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.57427,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.551864,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.559988,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.557379,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.563453,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.562297,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.571583,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.553839,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.561476,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.572719,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.565106,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.577328,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.56563,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.56264,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.583592,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.575617,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.578013,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.553636,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.551022,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.552623,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.546513,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.578565,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.571475,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.565711,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.597686,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.574725,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.577559,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.574847,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.556056,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.562269,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.569098,1,981
GKO,cuda,BiCGStab,BJ,25,1,1.558373,1,981
GKO,cuda,CG,BJ,50,1,3.906275,1,3021
GKO,cuda,CG,BJ,50,1,3.899064,1,3021
GKO,cuda,CG,BJ,50,1,3.904658,1,3021
GKO,cuda,CG,BJ,50,1,3.906109,1,3021
GKO,cuda,CG,BJ,50,1,3.940957,1,3021
GKO,cuda,CG,BJ,50,1,3.934952,1,3021
GKO,cuda,CG,BJ,50,1,3.907855,1,3021
GKO,cuda,CG,BJ,50,1,3.905993,1,3021
GKO,cuda,CG,BJ,50,1,3.88222,1,3021
