backend,executor,solver_p,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,none,25,1,1.584316,1,1668
GKO,cuda,CG,none,25,1,1.544112,1,1668
GKO,cuda,CG,none,25,1,1.546329,1,1668
GKO,cuda,CG,none,25,1,1.545913,1,1668
GKO,cuda,CG,none,25,1,1.539028,1,1668
GKO,cuda,CG,none,25,1,1.54175,1,1668
GKO,cuda,CG,none,25,1,1.550481,1,1668
GKO,cuda,CG,none,25,1,1.547825,1,1668
GKO,cuda,CG,none,25,1,1.540561,1,1668
GKO,cuda,CG,none,25,1,1.54416,1,1668
GKO,cuda,CG,none,25,1,1.540149,1,1668
GKO,cuda,CG,none,25,1,1.547168,1,1668
GKO,cuda,CG,none,25,1,1.545005,1,1668
GKO,cuda,CG,none,25,1,1.543131,1,1668
GKO,cuda,CG,none,25,1,1.540203,1,1668
GKO,cuda,CG,none,25,1,1.562411,1,1668
GKO,cuda,CG,none,25,1,1.551485,1,1668
GKO,cuda,CG,none,25,1,1.53451,1,1668
GKO,cuda,CG,none,25,1,1.548738,1,1668
GKO,cuda,CG,none,25,1,1.537814,1,1668
GKO,cuda,CG,none,25,1,1.539913,1,1668
GKO,cuda,CG,none,25,1,1.54171,1,1668
GKO,cuda,CG,none,25,1,1.536025,1,1668
GKO,cuda,CG,none,25,1,1.542767,1,1668
GKO,cuda,CG,none,25,1,1.539668,1,1668
GKO,cuda,CG,none,25,1,1.538459,1,1668
GKO,cuda,CG,none,25,1,1.541518,1,1668
GKO,cuda,CG,none,25,1,1.532144,1,1668
GKO,cuda,CG,none,25,1,1.536295,1,1668
GKO,cuda,CG,none,25,1,1.537569,1,1668
GKO,cuda,CG,none,25,1,1.547803,1,1668
GKO,cuda,CG,none,25,1,1.5404,1,1668
GKO,cuda,CG,none,25,1,1.538789,1,1668
GKO,cuda,CG,none,25,1,1.5333,1,1668
GKO,cuda,CG,none,25,1,1.544927,1,1668
GKO,cuda,CG,none,25,1,1.541201,1,1668
GKO,cuda,CG,none,25,1,1.540903,1,1668
GKO,cuda,CG,none,25,1,1.542824,1,1668
GKO,cuda,CG,none,25,1,1.538757,1,1668
GKO,cuda,BiCGStab,none,25,1,1.734569,1,1353
GKO,cuda,BiCGStab,none,25,1,1.745242,1,1353
GKO,cuda,BiCGStab,none,25,1,1.735366,1,1353
GKO,cuda,BiCGStab,none,25,1,1.74146,1,1353
GKO,cuda,BiCGStab,none,25,1,1.750024,1,1353
GKO,cuda,BiCGStab,none,25,1,1.8526,1,1353
GKO,cuda,BiCGStab,none,25,1,1.848626,1,1353
GKO,cuda,BiCGStab,none,25,1,1.758051,1,1353
GKO,cuda,BiCGStab,none,25,1,1.736681,1,1353
GKO,cuda,BiCGStab,none,25,1,1.737187,1,1353
GKO,cuda,BiCGStab,none,25,1,1.734185,1,1353
GKO,cuda,BiCGStab,none,25,1,1.743217,1,1353
GKO,cuda,BiCGStab,none,25,1,1.741934,1,1353
GKO,cuda,BiCGStab,none,25,1,1.746277,1,1353
GKO,cuda,BiCGStab,none,25,1,1.741563,1,1353
GKO,cuda,BiCGStab,none,25,1,1.732876,1,1353
GKO,cuda,BiCGStab,none,25,1,1.749576,1,1353
GKO,cuda,BiCGStab,none,25,1,1.74007,1,1353
