backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,BJ,25,1,1.742669,1,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.734172,1,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.722232,1,1681
GKO,cuda,CG,BiCGStab,BJ,25,1,1.737324,1,1681
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.884843,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.821236,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.806992,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.808394,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.806567,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.8042,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.812469,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.807409,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.807818,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.807913,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.814626,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.811561,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.800415,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.802119,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.816331,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.812605,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.801307,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.815238,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.826322,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.80861,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.809855,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.809484,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.806939,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.80818,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.835394,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.823224,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.835621,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.788634,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.786872,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.786495,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.800628,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.783406,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.836007,1,1192
GKO,cuda,BiCGStab,BiCGStab,BJ,25,1,1.7938,1,1192
GKO,cuda,CG,BiCGStab,BJ,50,1,5.358347,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.311715,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.328426,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.33543,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.320726,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.314055,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.341876,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.352237,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.354439,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.342571,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.373213,1,3445
GKO,cuda,CG,BiCGStab,BJ,50,1,5.389931,1,3445
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.653637,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.666658,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.606907,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.647889,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.693325,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.604986,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.582223,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.597014,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.657063,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.647138,1,2477
GKO,cuda,BiCGStab,BiCGStab,BJ,50,1,5.618876,1,2477
GKO,cuda,CG,BiCGStab,BJ,75,1,18.356367,1,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,18.320047,1,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,18.189995,1,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,18.429516,1,5122
GKO,cuda,CG,BiCGStab,BJ,75,1,18.348976,1,5122
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,20.013358,1,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,20.089064,1,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,19.831226,1,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,19.938008,1,3466
GKO,cuda,BiCGStab,BiCGStab,BJ,75,1,19.620669,1,3466
GKO,cuda,CG,BiCGStab,BJ,100,1,43.982866,1,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,44.53327,1,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,43.463645,1,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,44.20916,1,6980
GKO,cuda,CG,BiCGStab,BJ,100,1,44.125944,1,6980
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,47.231323,1,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,47.157018,1,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,46.456089,1,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,46.581709,1,4471
GKO,cuda,BiCGStab,BiCGStab,BJ,100,1,46.892431,1,4471
