backend,executor,solver_p,solver_U,preconditioner,resolution,processes,run_time,success,number_of_iterations
GKO,cuda,CG,BiCGStab,none,25,1,1.789049,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.777628,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.775098,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.779389,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.787099,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.77777,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.786681,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.79021,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.761032,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.759747,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.757208,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.84091,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.789744,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.775621,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.797876,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.784128,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.772339,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.785507,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.787487,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.77261,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.818062,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.780495,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.779928,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.777306,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.77993,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.790083,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.832692,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.788334,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.772849,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.779246,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.7792,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.792176,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.773337,1,1931
GKO,cuda,CG,BiCGStab,none,25,1,1.791134,1,1931
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.984621,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,2.012877,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.966181,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.962159,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.982214,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.966508,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.982639,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.97145,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.963019,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.963633,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.956119,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.984362,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.974977,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.959216,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.960693,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.96671,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.965905,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.971155,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.959633,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.974029,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.966392,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.970721,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,2.006421,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.978519,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.955779,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.957934,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.995225,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.974815,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,2.019175,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.977143,1,1591
GKO,cuda,BiCGStab,BiCGStab,none,25,1,1.961436,1,1591
GKO,cuda,CG,BiCGStab,none,50,1,5.34008,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.423259,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.288639,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.295721,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.313691,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.347029,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.330019,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.307086,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.32331,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.295002,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.308777,1,3872
GKO,cuda,CG,BiCGStab,none,50,1,5.306467,1,3872
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.756894,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.769133,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.691061,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.701645,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.728993,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.927035,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.718567,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.657448,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.877717,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.914749,1,3121
GKO,cuda,BiCGStab,BiCGStab,none,50,1,5.692575,1,3121
GKO,cuda,CG,BiCGStab,none,75,1,18.11555,1,5739
GKO,cuda,CG,BiCGStab,none,75,1,18.286744,1,5739
GKO,cuda,CG,BiCGStab,none,75,1,18.068689,1,5739
GKO,cuda,CG,BiCGStab,none,75,1,18.276883,1,5739
GKO,cuda,CG,BiCGStab,none,75,1,18.226866,1,5739
GKO,cuda,BiCGStab,BiCGStab,none,75,1,20.516455,1,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,20.406578,1,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,20.577428,1,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,20.335485,1,4449
GKO,cuda,BiCGStab,BiCGStab,none,75,1,20.298062,1,4449
GKO,cuda,CG,BiCGStab,none,100,1,43.98762,1,7635
GKO,cuda,CG,BiCGStab,none,100,1,43.881347,1,7635
GKO,cuda,CG,BiCGStab,none,100,1,43.532726,1,7635
GKO,cuda,CG,BiCGStab,none,100,1,43.902811,1,7635
GKO,cuda,CG,BiCGStab,none,100,1,44.080013,1,7635
GKO,cuda,BiCGStab,BiCGStab,none,100,1,44.9317,1,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,44.591643,1,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,44.613462,1,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,44.447863,1,4552
GKO,cuda,BiCGStab,BiCGStab,none,100,1,44.623776,1,4552
