backend,executor,solver_p,preconditioner,resolution,processes,setup_time,run_time,number_of_iterations
#{'OBR_VERSION': '0.0.0'}
OF,reference,CG,DIC,25,1,0.159765,0.398177,518
OF,reference,CG,DIC,25,1,0.159765,0.446627,518
OF,reference,CG,DIC,25,1,0.159765,0.402493,518
OF,reference,CG,DIC,25,1,0.159765,0.399998,518
OF,reference,CG,DIC,25,1,0.159765,0.39935,518
OF,reference,CG,DIC,25,1,0.159765,0.39988,518
OF,reference,CG,DIC,25,1,0.159765,0.397684,518
OF,reference,CG,DIC,25,1,0.159765,0.397228,518
OF,reference,CG,DIC,25,1,0.159765,0.390344,518
OF,reference,CG,DIC,25,1,0.159765,0.394924,518
OF,reference,CG,DIC,25,1,0.159765,0.401528,518
OF,reference,CG,DIC,25,1,0.159765,0.394322,518
OF,reference,CG,DIC,25,1,0.159765,0.3894,518
OF,reference,CG,DIC,25,1,0.159765,0.388705,518
OF,reference,CG,DIC,25,1,0.159765,0.396156,518
OF,reference,CG,DIC,25,1,0.159765,0.400864,518
OF,reference,CG,DIC,25,1,0.159765,0.397772,518
OF,reference,CG,DIC,25,1,0.159765,0.389835,518
OF,reference,CG,DIC,25,1,0.159765,0.389711,518
OF,reference,CG,DIC,25,1,0.159765,0.398042,518
OF,reference,CG,DIC,25,1,0.159765,0.395692,518
OF,reference,CG,DIC,25,1,0.159765,0.392536,518
OF,reference,CG,DIC,25,1,0.159765,0.391158,518
OF,reference,CG,DIC,25,1,0.159765,0.38792,518
OF,reference,CG,DIC,25,1,0.159765,0.392303,518
OF,reference,CG,DIC,25,1,0.159765,0.404621,518
OF,reference,CG,DIC,25,1,0.159765,0.396813,518
OF,reference,CG,DIC,25,1,0.159765,0.393284,518
OF,reference,CG,DIC,25,1,0.159765,0.391047,518
OF,reference,CG,DIC,25,1,0.159765,0.388312,518
OF,reference,CG,DIC,25,1,0.159765,0.387617,518
OF,reference,CG,DIC,25,1,0.159765,0.394981,518
OF,reference,CG,DIC,25,1,0.159765,0.395594,518
OF,reference,CG,DIC,25,1,0.159765,0.400728,518
OF,reference,CG,DIC,25,1,0.159765,0.394683,518
OF,reference,CG,DIC,25,1,0.159765,0.401609,518
OF,reference,CG,DIC,25,1,0.159765,0.394638,518
OF,reference,CG,DIC,25,1,0.159765,0.389398,518
OF,reference,CG,DIC,25,1,0.159765,0.389375,518
OF,reference,CG,DIC,25,1,0.159765,0.387767,518
OF,reference,CG,DIC,25,1,0.159765,0.393073,518
OF,reference,CG,DIC,25,1,0.159765,0.400353,518
OF,reference,CG,DIC,25,1,0.159765,0.388764,518
OF,reference,CG,DIC,25,1,0.159765,0.389212,518
OF,reference,CG,DIC,25,1,0.159765,0.386868,518
OF,reference,CG,DIC,25,1,0.159765,0.391684,518
OF,reference,CG,DIC,25,1,0.159765,0.39472,518
OF,reference,CG,DIC,25,1,0.159765,0.389596,518
